pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.215,0.226,0.0,1.0,0.018,0.532,13.5,13.5,26.4,675.0,675.0,281,423,0.97,26.804
0.303,1.203,0.0,23.0,0.018,0.548,13.5,13.5,26.4,675.0,675.0,288,432,0.973,26.721
0.213,0.241,0.0,1.0,0.019,0.588,13.5,13.5,26.4,675.0,675.0,270,407,0.98,27.562
0.252,0.956,0.0,18.7,0.02,0.556,13.5,13.5,26.4,675.0,675.0,278,403,0.975,27.494
0.306,2.034,0.0,40.5,0.019,0.567,13.5,13.5,26.4,675.0,675.0,267,382,0.973,27.168
0.23,0.23,0.0,1.25,0.02,0.585,13.5,13.5,26.4,675.0,675.0,243,383,0.975,27.517
0.211,0.23,0.0,1.0,0.019,0.541,13.5,13.5,26.4,675.0,675.0,264,405,0.973,27.002
0.313,1.751,0.0,34.75,0.019,0.582,13.5,13.5,26.4,675.0,675.0,274,409,0.968,27.498
0.219,0.238,0.0,1.0,0.02,0.571,13.5,13.5,26.4,675.0,675.0,269,387,0.968,27.524
0.214,0.236,0.0,1.0,0.018,0.542,13.5,13.5,26.4,675.0,675.0,268,401,0.97,26.703
0.214,0.233,0.0,1.0,0.019,0.555,13.5,13.5,26.4,675.0,675.0,272,389,0.98,26.883
0.283,1.426,0.0,28.25,0.019,0.536,13.5,13.5,26.4,675.0,675.0,283,401,0.973,27.0
0.204,0.235,0.0,1.0,0.018,0.539,13.5,13.5,26.4,675.0,675.0,261,408,0.97,26.627
0.217,0.23,0.0,1.0,0.019,0.571,13.5,13.5,26.4,675.0,675.0,265,399,0.978,27.206
0.234,0.244,0.0,1.25,0.019,0.526,13.5,13.5,26.4,675.0,675.0,284,403,0.975,26.848
0.209,0.232,0.0,1.0,0.018,0.544,13.5,13.5,26.4,675.0,675.0,289,397,0.978,26.903
0.224,0.33,0.0,5.0,0.018,0.511,13.5,13.5,26.4,675.0,675.0,279,400,0.97,26.561
0.406,3.244,0.0,63.8,0.019,0.58,13.5,13.5,26.4,675.0,675.0,291,418,0.975,27.229
0.309,1.949,0.0,38.75,0.019,0.57,13.5,13.5,26.4,675.0,675.0,283,386,0.968,27.019
0.224,0.235,0.0,1.0,0.02,0.57,13.5,13.5,26.4,675.0,675.0,295,411,0.968,27.316
