f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_std,perc_correct_fields_mean,perc_correct_fields_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo,num_fields_active_mean,num_fields_active_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo
0.05,54.538,39.936,96.539,14.568,50.257,45.383,59.424,69.429,39.936,43.327,32.203,59.546,7.985,43.586,36.702,47.568,59.546,32.203,0.0,0.0,0.0,0.0,156.312,106.75,197.75,22.775,309.0,234,361,30.093,309.5,295.25,330.0,361,248,0.023,0.003,0.482,0.052,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,3.0,0.0,150.0,150.0,150.0,0.0,150.0,150.0,150.0,150.0,150.0,969.698,46.625,969.472,940.853,1014.24,1048.494,892.476,150.0,0.0,24581.9,23706,26206,623.929,24609.0,24147.5,24903.25,25757,23706,334.45,285,383,30.782,334.0,311.0,358.5,383,285,0.239,0.2,0.278,0.019,0.238,0.227,0.251,0.278,0.2
0.1,53.779,38.062,73.634,9.296,53.102,46.732,59.081,73.634,38.062,45.876,30.689,60.635,8.574,46.297,40.878,51.167,60.635,30.689,0.0,0.0,0.0,0.0,161.488,107.5,195.0,20.871,295.6,227,348,31.128,294.0,276.0,320.0,348,227,0.021,0.003,0.483,0.044,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,6.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,578.896,35.773,575.603,552.282,608.43,643.913,514.963,300.0,0.0,20265.75,18109,22860,1009.467,20455.0,19807.75,20817.5,21059,18763,654.9,552,742,60.52,658.5,592.75,706.5,742,552,0.592,0.54,0.642,0.024,0.589,0.582,0.601,0.62,0.572
0.15,51.352,30.891,88.97,14.792,49.913,39.993,57.872,83.236,30.891,45.819,32.047,62.021,8.417,44.81,38.661,51.119,62.021,32.047,0.0,0.0,0.0,0.0,166.912,112.0,197.75,23.871,276.7,170,331,43.014,281.0,251.75,316.0,331,170,0.02,0.002,0.441,0.043,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,9.0,0.0,450.0,450.0,450.0,0.0,450.0,450.0,450.0,450.0,450.0,415.612,20.484,413.879,403.0,429.551,459.777,376.787,450.0,0.0,15739.8,14677,16852,496.808,15834.0,15538.5,16021.5,16200,14882,1108.4,899,1277,88.21,1104.5,1070.25,1167.25,1277,975,0.762,0.728,0.802,0.02,0.764,0.747,0.776,0.802,0.728
0.2,49.564,35.535,67.376,8.237,48.329,42.936,54.955,67.376,35.535,48.583,36.966,59.511,5.998,48.033,44.328,53.234,59.511,36.966,0.0,0.0,0.0,0.0,175.525,143.0,193.5,12.33,264.2,197,319,34.541,263.5,240.75,292.0,319,197,0.021,0.003,0.411,0.045,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,12.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,330.851,21.401,327.156,320.291,341.85,368.37,302.653,600.0,0.0,12224.3,10677,13254,717.808,12344.5,11765.75,12719.25,13254,10677,1464.85,1261,1654,105.857,1475.0,1400.5,1539.0,1654,1261,0.883,0.85,0.918,0.016,0.885,0.872,0.894,0.918,0.85
0.25,59.979,35.689,85.266,10.789,60.108,54.125,66.302,75.901,42.128,52.914,37.094,61.244,6.767,54.707,49.081,57.847,61.244,37.094,0.0,0.0,0.0,0.0,180.575,158.0,197.0,11.495,287.85,202,338,37.902,289.5,274.5,323.25,338,202,0.016,0.004,0.317,0.063,7.5,7.5,7.5,0.0,7.5,7.5,7.5,7.5,7.5,7.5,0.0,15.0,0.0,750.0,750.0,750.0,0.0,750.0,750.0,750.0,750.0,750.0,275.056,19.513,274.283,265.791,283.514,303.847,244.311,750.0,0.0,9192.65,8179,10513,676.362,9146.0,8604.25,9606.5,10513,8179,2226.45,1800,2612,221.082,2185.5,2132.5,2385.0,2612,1800,0.875,0.855,0.895,0.009,0.876,0.87,0.882,0.895,0.855
0.3,55.132,34.737,86.524,12.279,53.994,47.712,62.236,76.083,34.737,48.517,30.562,58.114,7.177,51.497,44.389,53.962,58.114,30.562,0.0,0.0,0.0,0.0,177.612,141.5,195.5,16.6,282.8,180,356,49.687,275.0,263.0,316.0,356,206,0.015,0.004,0.28,0.059,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,18.0,0.0,900.0,900.0,900.0,0.0,900.0,900.0,900.0,900.0,900.0,238.62,20.91,239.13,219.408,254.47,273.244,202.587,900.0,0.0,7564.7,5511,9580,907.219,7617.0,6985.25,8137.25,9580,5511,2834.25,2414,3309,276.44,2819.0,2605.0,3038.25,3309,2414,0.977,0.965,0.99,0.007,0.979,0.972,0.982,0.99,0.965
0.35,52.533,29.384,98.003,17.042,48.013,43.904,60.015,63.905,29.384,47.643,33.376,60.146,6.979,47.878,43.197,51.747,60.146,33.376,0.0,0.0,0.0,0.0,175.33,139.5,197.5,16.578,272.45,184,375,49.102,275.0,242.25,295.5,375,184,0.014,0.003,0.263,0.049,10.5,10.5,10.5,0.0,10.5,10.5,10.5,10.5,10.5,10.5,0.0,21.0,0.0,1050.0,1050.0,1050.0,0.0,1050.0,1050.0,1050.0,1050.0,1050.0,199.72,17.471,195.689,189.092,206.618,218.216,175.863,1050.0,0.0,6181.75,4848,7766,655.473,6271.0,6005.5,6467.25,6803,5732,3427.1,2985,4060,262.555,3410.5,3284.75,3531.5,3654,2985,0.986,0.968,0.998,0.007,0.988,0.984,0.99,0.998,0.98
0.4,43.635,24.386,61.23,9.808,44.881,38.024,50.948,61.23,24.386,46.473,35.931,58.128,6.282,45.748,41.887,50.797,58.128,35.931,0.0,0.0,0.0,0.0,177.7,143.75,192.0,11.484,234.2,126,325,46.711,231.0,209.75,259.75,325,173,0.017,0.004,0.291,0.057,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,24.0,0.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,1200.0,1200.0,171.38,8.092,172.087,165.612,177.52,184.176,156.103,1200.0,0.0,5342.7,4301,6532,564.674,5300.5,5008.25,5778.5,6532,4301,3497.3,3089,4204,290.756,3443.0,3278.5,3622.0,4122,3089,0.993,0.985,1.0,0.004,0.992,0.992,0.996,1.0,0.992
0.45,46.086,24.284,77.458,15.089,47.041,33.268,53.665,77.458,24.284,47.042,29.961,59.774,7.961,47.566,44.196,52.624,59.774,37.605,0.0,0.0,0.0,0.0,172.675,136.0,191.25,16.568,244.5,145,346,65.622,252.0,183.0,308.0,346,145,0.014,0.005,0.255,0.074,13.5,13.5,13.5,0.0,13.5,13.5,13.5,13.5,13.5,13.5,0.0,27.0,0.0,1350.0,1350.0,1350.0,0.0,1350.0,1350.0,1350.0,1350.0,1350.0,153.831,9.296,152.907,146.992,160.161,172.676,138.93,1350.0,0.0,4130.2,2226,5214,620.852,4267.5,3739.0,4507.0,5214,3536,4489.55,3830,5609,467.986,4577.0,3992.0,4799.0,5609,3830,0.995,0.988,1.0,0.004,0.995,0.992,0.998,1.0,0.988
0.5,40.34,11.843,65.159,12.348,40.675,32.066,50.44,65.159,11.843,44.095,27.23,54.502,6.818,45.037,41.083,47.458,54.502,32.839,0.0,0.0,0.0,0.0,167.588,128.5,195.0,19.665,222.7,78,354,73.19,222.0,164.0,274.25,354,78,0.015,0.004,0.272,0.07,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,30.0,0.0,1500.0,1500.0,1500.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,139.363,12.962,135.597,128.864,148.731,174.418,123.759,1500.0,0.0,3727.45,3025,4699,482.649,3675.0,3311.5,4012.75,4699,3025,4789.65,4036,5994,471.075,4671.0,4483.25,5001.0,5543,4036,0.996,0.992,1.0,0.003,0.996,0.994,0.998,1.0,0.992
