pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
6.006,16.24,0.0,182.5,0.032,1.0,2.4,18.0,120.0
7.484,24.56,0.0,165.5,0.033,1.0,2.4,18.0,120.0
8.638,19.259,0.0,95.75,0.032,1.0,2.4,18.0,120.0
4.766,11.881,0.0,81.25,0.031,1.0,2.4,18.0,120.0
7.589,18.95,0.0,125.0,0.032,1.0,2.4,18.0,120.0
2.912,7.193,0.0,72.0,0.03,1.0,2.4,18.0,120.0
4.53,10.06,0.0,55.25,0.031,1.0,2.4,18.0,120.0
5.528,21.46,0.0,192.0,0.03,1.0,2.4,18.0,120.0
10.447,33.86,0.0,174.25,0.031,1.0,2.4,18.0,120.0
9.792,20.149,0.0,134.5,0.032,1.0,2.4,18.0,120.0
7.522,23.468,0.0,192.0,0.031,1.0,2.4,18.0,120.0
6.014,16.76,0.0,96.0,0.032,1.0,2.4,18.0,120.0
14.148,44.04,0.0,187.0,0.032,1.0,2.4,18.0,120.0
3.787,10.356,0.0,140.25,0.03,1.0,2.4,18.0,120.0
4.205,14.216,0.0,108.25,0.03,1.0,2.4,18.0,120.0
7.133,21.15,0.0,116.0,0.031,1.0,2.4,18.0,120.0
3.376,5.458,0.0,65.25,0.032,1.0,2.4,18.0,120.0
8.506,26.819,0.0,188.0,0.032,1.0,2.4,18.0,120.0
4.129,10.902,0.0,81.75,0.03,1.0,2.4,18.0,120.0
3.173,6.936,0.0,94.75,0.032,1.0,2.4,18.0,120.0
