f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,1.801,0.697,3.924,0.918,1.531,1.02,2.382,3.924,0.697,7.485,0.53,21.114,4.93,7.237,3.682,9.916,15.715,0.53,0.0,0.0,0.0,0.0,71.931,2.0,174.75,40.795,8.25,0,22,6.891,6.0,3.0,13.5,22,0,0.03,1.0,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,150.0,150.0,150.0,0.0,150.0,150.0,150.0,150.0,150.0,14.939,0.002,14.939,14.938,14.94,14.942,14.935
0.1,0.376,0.348,0.556,0.047,0.362,0.354,0.372,0.378,0.348,0.653,0.379,3.891,0.833,0.392,0.385,0.401,0.407,0.379,0.0,0.0,0.0,0.0,7.375,1.5,77.5,18.339,0.1,0,1,0.3,0.0,0.0,0.0,0,0,0.03,1.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,29.847,0.002,29.847,29.845,29.848,29.85,29.843
0.15,0.29,0.277,0.308,0.008,0.29,0.285,0.295,0.308,0.277,0.266,0.252,0.276,0.006,0.265,0.262,0.27,0.276,0.252,0.0,0.0,0.0,0.0,1.075,1.0,1.5,0.16,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.03,1.0,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,450.0,450.0,450.0,0.0,450.0,450.0,450.0,450.0,450.0,44.791,0.002,44.791,44.789,44.792,44.794,44.786
0.2,0.103,0.087,0.122,0.009,0.102,0.098,0.109,0.122,0.087,0.208,0.188,0.224,0.011,0.206,0.202,0.216,0.224,0.188,0.0,0.0,0.0,0.0,0.938,0.5,1.0,0.156,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,59.585,0.002,59.584,59.584,59.586,59.588,59.583
0.25,0.156,0.134,0.171,0.009,0.158,0.148,0.161,0.171,0.134,0.221,0.205,0.227,0.006,0.222,0.216,0.225,0.227,0.205,0.0,0.0,0.0,0.0,0.938,0.5,1.0,0.134,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.03,1.0,7.5,7.5,7.5,0.0,7.5,7.5,7.5,7.5,7.5,750.0,750.0,750.0,0.0,750.0,750.0,750.0,750.0,750.0,74.57,0.002,74.57,74.569,74.57,74.572,74.567
0.3,0.184,0.168,0.203,0.007,0.184,0.181,0.186,0.188,0.176,0.249,0.242,0.254,0.004,0.249,0.245,0.252,0.254,0.242,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,900.0,900.0,900.0,0.0,900.0,900.0,900.0,900.0,900.0,89.464,0.003,89.464,89.463,89.465,89.468,89.46
0.35,0.161,0.144,0.174,0.009,0.162,0.155,0.168,0.174,0.144,0.244,0.232,0.256,0.006,0.243,0.241,0.247,0.252,0.236,0.0,0.0,0.0,0.0,0.975,0.5,1.0,0.109,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.03,1.0,10.5,10.5,10.5,0.0,10.5,10.5,10.5,10.5,10.5,1050.0,1050.0,1050.0,0.0,1050.0,1050.0,1050.0,1050.0,1050.0,104.362,0.002,104.362,104.36,104.363,104.367,104.357
0.4,0.096,0.087,0.109,0.006,0.095,0.092,0.1,0.109,0.087,0.198,0.19,0.207,0.005,0.199,0.195,0.202,0.207,0.19,0.0,0.0,0.0,0.0,0.725,0.5,1.0,0.249,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,1200.0,1200.0,119.063,0.002,119.063,119.062,119.065,119.067,119.06
0.45,0.136,0.121,0.152,0.008,0.136,0.132,0.141,0.152,0.121,0.225,0.214,0.238,0.006,0.224,0.221,0.229,0.238,0.214,0.0,0.0,0.0,0.0,0.8,0.5,1.0,0.245,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,13.5,13.5,13.5,0.0,13.5,13.5,13.5,13.5,13.5,1350.0,1350.0,1350.0,0.0,1350.0,1350.0,1350.0,1350.0,1350.0,134.14,0.002,134.139,134.139,134.141,134.141,134.137
0.5,0.119,0.098,0.144,0.011,0.118,0.115,0.124,0.129,0.101,0.214,0.199,0.229,0.007,0.213,0.21,0.218,0.229,0.199,0.0,0.0,0.0,0.0,0.625,0.5,1.0,0.217,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,1500.0,1500.0,1500.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,149.031,0.002,149.031,149.029,149.032,149.033,149.026
0.55,0.138,0.124,0.157,0.01,0.134,0.13,0.149,0.157,0.124,0.225,0.216,0.236,0.006,0.223,0.221,0.229,0.236,0.216,0.0,0.0,0.0,0.0,0.75,0.5,1.0,0.25,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,1.0,16.5,16.5,16.5,0.0,16.5,16.5,16.5,16.5,16.5,1650.0,1650.0,1650.0,0.0,1650.0,1650.0,1650.0,1650.0,1650.0,163.926,0.002,163.926,163.926,163.927,163.928,163.924
0.6,0.102,0.083,0.125,0.011,0.1,0.093,0.11,0.125,0.083,0.202,0.186,0.217,0.009,0.202,0.196,0.208,0.217,0.186,0.0,0.0,0.0,0.0,0.65,0.5,1.0,0.229,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,1.0,18.0,18.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0,1800.0,1800.0,1800.0,0.0,1800.0,1800.0,1800.0,1800.0,1800.0,178.813,0.002,178.814,178.812,178.815,178.817,178.809
0.65,0.121,0.109,0.136,0.008,0.119,0.117,0.126,0.136,0.109,0.215,0.206,0.228,0.006,0.214,0.212,0.219,0.228,0.206,0.0,0.0,0.0,0.0,0.675,0.5,1.0,0.238,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,0.999,19.5,19.5,19.5,0.0,19.5,19.5,19.5,19.5,19.5,1950.0,1950.0,1950.0,0.0,1950.0,1950.0,1950.0,1950.0,1950.0,193.71,0.002,193.709,193.708,193.711,193.714,193.706
0.7,0.146,0.126,0.162,0.009,0.145,0.141,0.152,0.162,0.135,0.23,0.217,0.241,0.006,0.229,0.226,0.232,0.241,0.222,0.0,0.0,0.0,0.0,0.825,0.5,1.0,0.238,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,0.999,21.0,21.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,2100.0,2100.0,2100.0,0.0,2100.0,2100.0,2100.0,2100.0,2100.0,208.599,0.002,208.599,208.598,208.6,208.604,208.595
0.75,0.124,0.1,0.139,0.011,0.123,0.12,0.134,0.139,0.1,0.217,0.2,0.226,0.007,0.218,0.214,0.224,0.226,0.2,0.0,0.0,0.0,0.0,0.75,0.5,1.0,0.25,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.033,0.999,22.5,22.5,22.5,0.0,22.5,22.5,22.5,22.5,22.5,2250.0,2250.0,2250.0,0.0,2250.0,2250.0,2250.0,2250.0,2250.0,223.491,0.004,223.49,223.488,223.493,223.498,223.485
0.8,0.109,0.088,0.124,0.01,0.107,0.104,0.117,0.124,0.088,0.207,0.191,0.219,0.008,0.208,0.204,0.213,0.219,0.193,0.0,0.0,0.0,0.0,0.65,0.5,1.0,0.229,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.033,0.999,24.0,24.0,24.0,0.0,24.0,24.0,24.0,24.0,24.0,2400.0,2400.0,2400.0,0.0,2400.0,2400.0,2400.0,2400.0,2400.0,238.405,0.002,238.405,238.404,238.407,238.409,238.401
0.85,0.121,0.1,0.136,0.008,0.121,0.118,0.127,0.136,0.109,0.215,0.2,0.223,0.005,0.216,0.213,0.219,0.223,0.206,0.0,0.0,0.0,0.0,0.625,0.5,1.0,0.217,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.033,0.999,25.5,25.5,25.5,0.0,25.5,25.5,25.5,25.5,25.5,2550.0,2550.0,2550.0,0.0,2550.0,2550.0,2550.0,2550.0,2550.0,253.273,0.003,253.272,253.271,253.275,253.278,253.268
0.9,0.125,0.104,0.154,0.01,0.126,0.121,0.129,0.138,0.117,0.218,0.203,0.236,0.007,0.219,0.215,0.221,0.226,0.207,0.0,0.0,0.0,0.0,0.725,0.5,1.0,0.249,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.034,0.999,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,27.0,2700.0,2700.0,2700.0,0.0,2700.0,2700.0,2700.0,2700.0,2700.0,268.161,0.003,268.161,268.158,268.163,268.165,268.155
0.95,0.127,0.114,0.143,0.009,0.126,0.122,0.135,0.143,0.114,0.219,0.21,0.229,0.005,0.218,0.216,0.223,0.229,0.21,0.0,0.0,0.0,0.0,0.8,0.5,1.0,0.245,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.034,0.999,28.5,28.5,28.5,0.0,28.5,28.5,28.5,28.5,28.5,2850.0,2850.0,2850.0,0.0,2850.0,2850.0,2850.0,2850.0,2850.0,283.052,0.003,283.052,283.049,283.054,283.056,283.045
