pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
0.105,0.293,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.101,0.291,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.109,0.294,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.096,0.288,0.0,3.0,0.031,0.999,2.4,18.0,9600.0
0.096,0.288,0.0,3.0,0.031,0.999,2.4,18.0,9600.0
0.101,0.293,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.11,0.295,0.0,3.0,0.032,1.0,2.4,18.0,9600.0
0.085,0.282,0.0,3.0,0.031,0.999,2.4,18.0,9600.0
0.096,0.288,0.0,3.0,0.031,0.999,2.4,18.0,9600.0
0.106,0.293,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.093,0.287,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.098,0.289,0.0,3.0,0.031,0.999,2.4,18.0,9600.0
0.1,0.29,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.098,0.289,0.0,3.0,0.031,0.999,2.4,18.0,9600.0
0.097,0.289,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.102,0.291,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.097,0.289,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.09,0.285,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.093,0.287,0.0,3.0,0.031,1.0,2.4,18.0,9600.0
0.088,0.284,0.0,3.0,0.031,0.999,2.4,18.0,9600.0
