pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
0.641,1.373,0.0,18.0,0.071,0.894,2.4,18.0,9600.0
1.61,13.015,0.0,151.0,0.071,0.897,2.4,18.0,9600.0
0.823,4.822,0.0,68.5,0.069,0.889,2.4,18.0,9600.0
1.064,5.892,0.0,60.0,0.068,0.89,2.4,18.0,9600.0
1.229,10.626,0.0,151.0,0.069,0.878,2.4,18.0,9600.0
1.516,12.193,0.0,141.5,0.07,0.889,2.4,18.0,9600.0
2.256,15.638,0.0,141.5,0.072,0.894,2.4,18.0,9600.0
0.684,2.289,0.0,32.5,0.072,0.898,2.4,18.0,9600.0
0.524,0.875,0.0,10.0,0.07,0.895,2.4,18.0,9600.0
1.857,15.789,0.0,183.0,0.069,0.884,2.4,18.0,9600.0
1.984,14.579,0.0,147.0,0.07,0.884,2.4,18.0,9600.0
1.223,9.109,0.0,128.5,0.069,0.89,2.4,18.0,9600.0
1.299,10.811,0.0,153.0,0.07,0.887,2.4,18.0,9600.0
1.895,16.352,0.0,189.5,0.072,0.901,2.4,18.0,9600.0
1.011,5.043,0.0,51.5,0.069,0.888,2.4,18.0,9600.0
0.663,2.343,0.0,33.0,0.069,0.892,2.4,18.0,9600.0
2.303,17.779,0.0,180.0,0.07,0.875,2.4,18.0,9600.0
1.436,7.607,0.0,64.0,0.071,0.887,2.4,18.0,9600.0
1.199,6.897,0.0,83.5,0.069,0.883,2.4,18.0,9600.0
1.154,7.861,0.0,91.5,0.071,0.898,2.4,18.0,9600.0
