f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_std,perc_correct_fields_mean,perc_correct_fields_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo,num_fields_active_mean,num_fields_active_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo
0.05,6.309,2.558,12.742,3.578,4.949,3.163,9.76,12.742,2.558,18.791,3.738,39.571,13.038,13.824,6.444,31.829,39.571,3.738,0.0,0.0,0.0,0.0,109.625,31.0,174.0,53.305,24.0,12,39,6.565,22.5,21.0,28.5,39,12,0.176,0.009,0.986,0.012,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.0,2.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,73731.257,30.206,73724.315,73707.136,73746.456,73803.003,73691.885,600.0,0.0,1449332.0,1444196,1453971,2603.89,1448726.0,1447858.0,1451683.5,1453971,1444196,134.4,15,417,91.207,129.5,75.25,172.0,231,15,0.031,0.018,0.058,0.009,0.03,0.027,0.033,0.042,0.018
0.1,4.831,2.006,10.176,2.223,4.31,3.367,5.233,7.081,2.006,15.524,2.314,33.753,8.687,14.69,10.06,18.829,29.377,2.314,0.0,0.0,0.0,0.0,114.45,16.5,171.5,49.415,19.4,9,45,7.372,18.5,15.5,22.25,26,9,0.176,0.005,0.987,0.007,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,4.0,0.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,1200.0,1200.0,68026.448,52.656,68033.346,67999.265,68058.557,68129.625,67935.406,1200.0,0.0,1316775.85,1305133,1325266,5329.006,1318262.0,1313492.0,1320555.75,1325266,1305133,304.0,83,771,149.144,293.5,192.75,380.75,457,83,0.088,0.052,0.138,0.019,0.085,0.077,0.1,0.112,0.052
0.15,5.346,1.987,11.107,2.677,4.761,3.119,6.963,11.107,1.987,17.463,2.648,38.315,10.138,14.313,10.485,25.248,38.315,2.648,0.0,0.0,0.0,0.0,109.55,19.0,177.5,47.967,19.2,5,33,6.867,19.5,15.0,25.0,33,5,0.17,0.004,0.983,0.006,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.45,0.0,6.0,0.0,1800.0,1800.0,1800.0,0.0,1800.0,1800.0,1800.0,1800.0,1800.0,62576.591,75.051,62578.117,62497.938,62633.253,62742.281,62468.786,1800.0,0.0,1213180.95,1194035,1234824,9784.219,1213820.5,1207794.5,1217652.25,1226736,1194035,658.4,322,976,169.338,666.5,549.5,762.5,976,322,0.122,0.072,0.145,0.019,0.124,0.117,0.135,0.145,0.102
0.2,4.778,1.941,8.347,1.74,5.037,3.265,5.935,8.347,1.941,17.473,2.981,29.894,7.657,15.222,13.864,23.891,29.894,2.981,0.0,0.0,0.0,0.0,113.6,21.5,171.5,45.077,14.85,4,23,5.003,14.0,12.0,19.0,23,4,0.162,0.003,0.982,0.004,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.0,8.0,0.0,2400.0,2400.0,2400.0,0.0,2400.0,2400.0,2400.0,2400.0,2400.0,57493.38,160.108,57465.281,57373.729,57597.684,57902.488,57288.6,2400.0,0.0,1164656.05,1138738,1189804,15579.585,1165630.5,1153521.75,1174225.25,1189804,1138738,887.7,606,1194,171.825,898.5,753.25,1035.0,1194,606,0.163,0.112,0.212,0.027,0.162,0.142,0.181,0.212,0.112
0.25,3.95,1.616,7.408,1.679,4.398,2.342,5.098,7.408,1.616,15.158,2.592,30.864,8.67,18.684,6.578,21.886,30.864,2.592,0.0,0.0,0.0,0.0,111.525,18.5,171.0,55.927,11.95,8,19,3.106,10.0,10.0,14.0,19,8,0.151,0.003,0.983,0.004,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,10.0,0.0,3000.0,3000.0,3000.0,0.0,3000.0,3000.0,3000.0,3000.0,3000.0,52761.908,127.056,52771.911,52691.895,52842.968,53039.059,52598.156,3000.0,0.0,1117401.8,1102598,1134643,8178.671,1119068.5,1112246.0,1123444.75,1134643,1102598,1099.25,674,1751,290.079,1042.5,886.75,1230.75,1623,674,0.195,0.11,0.23,0.025,0.202,0.185,0.209,0.23,0.172
0.3,3.36,1.547,6.933,1.397,3.341,2.447,3.759,5.076,1.547,13.317,2.396,29.909,7.892,13.056,7.902,18.495,29.909,2.396,0.0,0.0,0.0,0.0,100.025,18.5,175.5,54.246,10.7,5,20,2.951,11.0,9.0,12.0,13,5,0.141,0.002,0.978,0.005,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.0,12.0,0.0,3600.0,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,3600.0,3600.0,48568.768,85.772,48563.116,48491.988,48639.5,48703.903,48428.266,3600.0,0.0,1062226.55,1044855,1080482,8483.324,1064926.5,1055823.75,1067926.0,1080482,1044855,1580.2,1027,2288,388.534,1474.5,1352.75,1834.75,2288,1027,0.231,0.172,0.288,0.028,0.235,0.218,0.245,0.27,0.182
0.35,3.446,1.626,5.778,1.256,3.495,2.34,4.331,5.778,1.626,14.926,2.601,26.427,7.369,15.784,9.148,20.034,26.427,2.601,0.0,0.0,0.0,0.0,119.5,19.5,172.0,48.359,9.5,2,14,2.636,10.0,8.75,11.0,14,6,0.129,0.004,0.968,0.009,1.05,1.05,1.05,0.0,1.05,1.05,1.05,1.05,1.05,1.05,0.0,14.0,0.0,4200.0,4200.0,4200.0,0.0,4200.0,4200.0,4200.0,4200.0,4200.0,44678.594,229.73,44734.317,44508.705,44819.03,45062.754,44130.26,4200.0,0.0,1027977.7,996231,1052307,14307.243,1028760.5,1015763.25,1037751.75,1052307,996231,2605.35,1282,4594,751.189,2507.5,2120.25,3072.0,3705,1282,0.269,0.218,0.318,0.024,0.269,0.252,0.283,0.318,0.218
0.4,2.951,1.422,6.638,1.366,2.569,1.848,3.645,5.157,1.422,12.402,2.426,27.595,8.06,11.236,4.893,18.725,27.595,2.426,0.0,0.0,0.0,0.0,101.2,19.0,173.0,59.427,10.0,7,15,2.302,9.0,8.0,11.5,15,7,0.121,0.002,0.96,0.007,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,1.2,0.0,16.0,0.0,4800.0,4800.0,4800.0,0.0,4800.0,4800.0,4800.0,4800.0,4800.0,41295.082,174.01,41229.415,41183.733,41416.025,41646.526,41029.187,4800.0,0.0,1005853.05,986017,1027408,11260.502,1006519.5,997651.25,1015227.5,1027408,986017,3539.15,2340,5108,718.958,3351.0,3191.5,4304.5,5108,2340,0.31,0.28,0.355,0.019,0.306,0.3,0.318,0.338,0.28
0.45,2.391,1.375,4.687,0.861,2.176,1.657,2.801,3.723,1.375,9.567,2.365,22.102,6.291,7.081,3.816,15.696,22.102,2.365,0.0,0.0,0.0,0.0,82.325,20.0,170.5,53.342,8.35,5,16,2.67,7.5,7.0,10.0,12,5,0.113,0.002,0.957,0.009,1.35,1.35,1.35,0.0,1.35,1.35,1.35,1.35,1.35,1.35,0.0,18.0,0.0,5400.0,5400.0,5400.0,0.0,5400.0,5400.0,5400.0,5400.0,5400.0,38175.622,151.632,38176.175,38046.459,38253.394,38491.3,37916.034,5400.0,0.0,982761.5,963190,998922,8918.511,982603.0,977966.75,988607.5,998922,963190,4238.05,2941,5737,733.81,4292.0,3867.0,4547.75,5367,2941,0.337,0.302,0.388,0.025,0.34,0.317,0.351,0.388,0.302
0.5,2.584,1.111,5.001,1.058,2.162,1.771,3.387,5.001,1.111,11.77,1.898,24.202,7.198,10.748,5.659,18.346,24.202,1.898,0.0,0.0,0.0,0.0,105.275,17.5,185.0,56.72,7.95,4,13,2.061,8.5,6.75,9.0,10,4,0.105,0.002,0.953,0.01,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,20.0,0.0,6000.0,6000.0,6000.0,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,35431.575,136.939,35445.641,35351.362,35527.144,35678.999,35092.008,6000.0,0.0,929317.9,917625,940567,6332.634,931082.0,922928.5,933801.75,940567,917625,4959.45,3506,6627,811.242,4715.0,4433.75,5544.25,6627,3506,0.346,0.298,0.382,0.023,0.352,0.332,0.361,0.382,0.298
