pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
1.131,3.735,0.0,43.75,0.024,0.867,2.4,2.4,18.0,120.0,120.0,980,70,0.427,21.474
0.913,0.797,0.0,5.0,0.024,0.908,2.4,2.4,18.0,120.0,120.0,1337,82,0.427,21.243
0.814,0.64,0.0,3.25,0.022,0.875,2.4,2.4,18.0,120.0,120.0,972,96,0.44,20.949
0.919,0.875,0.0,6.5,0.023,0.858,2.4,2.4,18.0,120.0,120.0,1169,102,0.43,21.285
0.939,1.102,0.0,12.25,0.023,0.883,2.4,2.4,18.0,120.0,120.0,1305,87,0.435,21.147
0.885,0.695,0.0,3.5,0.023,0.867,2.4,2.4,18.0,120.0,120.0,1316,77,0.435,21.315
0.824,0.632,0.0,3.25,0.022,0.883,2.4,2.4,18.0,120.0,120.0,1397,73,0.443,20.725
0.851,0.673,0.0,4.0,0.025,0.883,2.4,2.4,18.0,120.0,120.0,1115,69,0.427,22.096
0.889,0.735,0.0,5.75,0.024,0.917,2.4,2.4,18.0,120.0,120.0,919,75,0.415,21.779
0.853,0.673,0.0,3.75,0.022,0.925,2.4,2.4,18.0,120.0,120.0,1174,65,0.445,21.976
0.919,0.854,0.0,9.227,0.023,0.85,2.4,2.4,18.0,120.0,120.0,1115,61,0.427,21.537
0.896,0.666,0.0,3.25,0.023,0.867,2.4,2.4,18.0,120.0,120.0,780,70,0.438,22.39
0.952,2.665,0.0,52.353,0.021,0.858,2.4,2.4,18.0,120.0,120.0,1377,89,0.445,20.962
0.948,0.773,0.0,5.5,0.023,0.892,2.4,2.4,18.0,120.0,120.0,793,70,0.438,22.481
1.088,3.232,0.0,63.437,0.023,0.85,2.4,2.4,18.0,120.0,120.0,1108,108,0.432,21.101
0.828,0.616,0.0,2.75,0.023,0.867,2.4,2.4,18.0,120.0,120.0,1012,64,0.44,21.668
1.066,2.376,0.0,29.256,0.022,0.817,2.4,2.4,18.0,120.0,120.0,1110,127,0.43,20.156
0.917,0.769,0.0,5.0,0.023,0.808,2.4,2.4,18.0,120.0,120.0,1375,111,0.422,20.662
0.992,1.24,0.0,18.187,0.023,0.875,2.4,2.4,18.0,120.0,120.0,1026,96,0.427,21.114
1.053,1.08,0.0,7.276,0.024,0.825,2.4,2.4,18.0,120.0,120.0,1145,167,0.42,20.793
