pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.179,0.215,0.0,1.0,0.02,0.683,12.0,12.0,24.0,600.0,600.0,453,209,0.988,25.122
0.568,7.698,0.0,153.5,0.019,0.652,12.0,12.0,24.0,600.0,600.0,399,215,0.973,24.964
0.25,0.855,0.0,16.667,0.021,0.68,12.0,12.0,24.0,600.0,600.0,395,228,0.983,25.675
0.246,0.673,0.0,9.4,0.02,0.673,12.0,12.0,24.0,600.0,600.0,405,228,0.988,25.439
0.334,1.981,0.0,28.667,0.02,0.683,12.0,12.0,24.0,600.0,600.0,391,205,0.98,25.347
0.345,2.897,0.0,57.75,0.021,0.675,12.0,12.0,24.0,600.0,600.0,411,232,0.983,25.684
0.229,0.676,0.0,12.875,0.021,0.677,12.0,12.0,24.0,600.0,600.0,408,209,0.985,25.436
0.429,4.148,0.0,82.25,0.021,0.668,12.0,12.0,24.0,600.0,600.0,409,206,0.98,25.421
0.29,1.432,0.0,25.167,0.02,0.697,12.0,12.0,24.0,600.0,600.0,420,200,0.98,25.58
0.2,0.222,0.0,1.0,0.02,0.687,12.0,12.0,24.0,600.0,600.0,401,201,0.98,25.543
0.477,3.962,0.0,56.25,0.02,0.66,12.0,12.0,24.0,600.0,600.0,383,217,0.97,25.221
0.175,0.218,0.0,1.0,0.02,0.692,12.0,12.0,24.0,600.0,600.0,401,194,0.995,25.289
0.344,2.308,0.0,38.5,0.02,0.692,12.0,12.0,24.0,600.0,600.0,400,203,0.993,25.366
0.199,0.223,0.0,1.0,0.02,0.673,12.0,12.0,24.0,600.0,600.0,392,250,0.988,25.186
0.383,2.728,0.0,45.5,0.02,0.685,12.0,12.0,24.0,600.0,600.0,402,221,0.98,25.527
0.316,2.109,0.0,36.75,0.02,0.687,12.0,12.0,24.0,600.0,600.0,398,210,0.968,25.493
0.288,1.826,0.0,36.333,0.02,0.7,12.0,12.0,24.0,600.0,600.0,418,198,0.985,25.295
0.182,0.207,0.0,0.75,0.02,0.693,12.0,12.0,24.0,600.0,600.0,371,187,0.98,25.39
0.195,0.218,0.0,1.0,0.02,0.693,12.0,12.0,24.0,600.0,600.0,410,213,0.99,25.325
0.167,0.205,0.0,1.0,0.02,0.678,12.0,12.0,24.0,600.0,600.0,420,187,0.988,25.437
