f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,16.103,15.657,22.441,1.454,15.77,15.77,15.783,15.783,15.77,11.665,10.912,16.101,1.025,11.426,11.426,11.505,11.509,11.416,0.25,0.25,0.25,0.0,87.225,43.75,93.75,11.343,250.0,248,288,8.718,248.0,248.0,248.0,248,248,0.03,1.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.15,7.5,7.5,7.5,0.0,7.5,7.5,7.5,7.5,7.5,3.737,0.001,3.737,3.736,3.737,3.738,3.735
0.1,9.95,6.027,23.681,5.215,6.95,6.027,12.156,19.616,6.027,13.83,4.196,51.976,13.407,5.766,4.196,17.942,37.338,4.196,0.25,0.25,0.25,0.0,57.2,15.25,193.75,52.112,105.8,79,139,20.992,100.0,87.0,132.25,139,79,0.031,1.0,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,9.694,0.001,9.694,9.693,9.694,9.696,9.692
0.15,3.877,3.707,5.178,0.365,3.719,3.715,3.731,3.731,3.707,2.564,2.308,4.442,0.552,2.32,2.316,2.333,2.333,2.308,0.0,0.0,0.0,0.0,12.0,10.25,20.75,3.604,5.75,1,44,10.821,1.0,1.0,1.0,1,1,0.03,1.0,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.45,0.45,22.5,22.5,22.5,0.0,22.5,22.5,22.5,22.5,22.5,13.596,0.001,13.596,13.596,13.597,13.597,13.595
0.2,2.779,2.48,4.783,0.526,2.527,2.481,2.867,3.295,2.48,2.094,1.429,6.999,1.226,1.623,1.431,2.274,2.919,1.429,0.25,0.25,0.25,0.0,11.25,4.75,29.75,6.346,6.95,0,41,10.38,1.5,0.0,10.25,22,0,0.031,1.0,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,30.0,30.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,19.371,0.001,19.371,19.371,19.372,19.373,19.369
0.25,3.181,2.937,3.726,0.17,3.186,3.071,3.259,3.331,2.937,2.306,2.049,3.715,0.35,2.242,2.131,2.339,2.61,2.049,0.175,0.0,0.25,0.115,10.525,7.75,21.25,3.047,3.15,0,23,5.199,2.0,0.0,4.0,10,0,0.031,1.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,37.5,37.5,37.5,0.0,37.5,37.5,37.5,37.5,37.5,23.195,0.001,23.195,23.194,23.195,23.196,23.193
0.3,2.365,2.215,2.568,0.112,2.339,2.277,2.463,2.568,2.215,1.737,1.573,2.21,0.159,1.677,1.612,1.846,1.939,1.573,0.0,0.0,0.0,0.0,8.375,7.0,13.75,1.646,0.5,0,8,1.775,0.0,0.0,0.0,0,0,0.031,1.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.9,45.0,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,28.903,0.001,28.903,28.902,28.903,28.905,28.901
0.35,1.849,1.609,2.41,0.2,1.844,1.699,1.898,2.143,1.609,1.416,1.072,2.5,0.316,1.413,1.193,1.489,1.741,1.072,0.0,0.0,0.0,0.0,8.062,6.5,15.5,1.922,0.55,0,11,2.397,0.0,0.0,0.0,0,0,0.031,1.0,1.05,1.05,1.05,0.0,1.05,1.05,1.05,1.05,1.05,52.5,52.5,52.5,0.0,52.5,52.5,52.5,52.5,52.5,32.698,0.001,32.697,32.697,32.698,32.699,32.695
0.4,1.53,1.336,1.915,0.154,1.496,1.399,1.617,1.915,1.336,1.167,0.884,1.816,0.246,1.093,0.966,1.296,1.663,0.884,0.16,0.0,0.25,0.111,6.9,6.25,12.25,1.388,0.25,0,5,1.09,0.0,0.0,0.0,0,0,0.032,1.0,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,60.0,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,38.375,0.001,38.375,38.374,38.375,38.377,38.373
0.45,2.329,2.218,2.705,0.101,2.31,2.276,2.331,2.356,2.218,1.58,1.459,2.101,0.134,1.549,1.515,1.584,1.654,1.459,0.0,0.0,0.0,0.0,8.5,8.25,13.0,1.034,0.3,0,6,1.308,0.0,0.0,0.0,0,0,0.031,1.0,1.35,1.35,1.35,0.0,1.35,1.35,1.35,1.35,1.35,67.5,67.5,67.5,0.0,67.5,67.5,67.5,67.5,67.5,42.17,0.001,42.17,42.17,42.171,42.172,42.169
0.5,2.118,1.995,2.269,0.075,2.094,2.061,2.162,2.269,1.995,1.438,1.315,1.665,0.099,1.41,1.362,1.503,1.665,1.315,0.183,0.0,0.25,0.097,8.05,7.75,9.75,0.64,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,75.0,75.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,47.86,0.001,47.86,47.859,47.861,47.862,47.859
0.55,1.465,1.215,1.783,0.17,1.401,1.343,1.615,1.783,1.215,1.323,1.036,1.841,0.205,1.261,1.187,1.439,1.668,1.036,0.0,0.0,0.0,0.0,7.825,7.25,11.25,1.245,0.3,0,3,0.9,0.0,0.0,0.0,0,0,0.032,1.0,1.65,1.65,1.65,0.0,1.65,1.65,1.65,1.65,1.65,82.5,82.5,82.5,0.0,82.5,82.5,82.5,82.5,82.5,51.665,0.001,51.665,51.664,51.665,51.666,51.664
0.6,2.046,1.812,2.323,0.12,2.061,1.964,2.111,2.323,1.812,1.412,1.24,1.65,0.128,1.382,1.315,1.509,1.65,1.24,0.0,0.0,0.0,0.0,7.525,7.0,9.0,0.642,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.032,1.0,1.8,1.8,1.8,0.0,1.8,1.8,1.8,1.8,1.8,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,57.363,0.001,57.363,57.362,57.364,57.365,57.361
0.65,1.802,1.668,1.97,0.086,1.768,1.731,1.881,1.97,1.668,1.32,1.171,1.658,0.122,1.288,1.229,1.378,1.505,1.171,0.037,0.0,0.25,0.089,8.275,6.75,11.75,0.915,0.2,0,4,0.872,0.0,0.0,0.0,0,0,0.032,1.0,1.95,1.95,1.95,0.0,1.95,1.95,1.95,1.95,1.95,97.5,97.5,97.5,0.0,97.5,97.5,97.5,97.5,97.5,61.161,0.001,61.161,61.161,61.162,61.164,61.159
