pos_error_mean,pos_error_std,pos_error_min,pos_error_max,pos_error_num_cat,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,f,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_num_cat_max,pos_error_num_cat_mean,pos_error_num_cat_median,pos_error_num_cat_min,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_std,pos_error_num_cat_whishi,pos_error_num_cat_whislo,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
5.56,13.869,0.25,80.375,26.05,0.124,0.967,0.15,150.0,18269.754,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.05,0.124,150.0,150.0,150.0,150.0,150.0,150.0,0.0,150.0,150.0,0.967,169.75,80.375,15.75,53.928,14.475,5.56,4.059,2.119,3.051,6.255,3.625,7.99,2.119,0.25,0.25,0.25,0.0,65,26.05,24.0,10,12.0,32.0,16.172,58,10,39.472,13.869,9.748,2.614,4.357,21.181,11.552,39.472,2.614,18269.754,18266.902,18249.869,18293.124,37.833,18337.343,18189.682
8.168,20.278,0.2,103.75,35.9,0.141,0.963,0.3,300.0,16880.474,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.1,0.141,300.0,300.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,0.963,187.25,103.75,21.25,54.902,20.718,8.168,6.354,3.14,4.593,9.876,5.053,14.779,3.14,0.25,0.2,0.0,0.1,78,35.9,33.0,6,24.75,44.75,18.533,53,6,53.254,20.278,15.319,3.372,9.877,33.21,14.3,53.254,3.372,16880.474,16890.178,16839.358,16909.837,45.243,16970.716,16803.825
7.606,22.654,0.0,123.325,27.55,0.148,0.962,0.45,450.0,15526.365,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.15,0.148,450.0,450.0,450.0,450.0,450.0,450.0,0.0,450.0,450.0,0.962,188.0,123.325,31.0,46.013,13.556,7.606,6.784,3.586,5.523,9.785,2.744,13.556,3.586,0.0,0.0,0.0,0.0,48,27.55,27.5,13,21.0,34.25,8.93,48,13,41.473,22.654,21.468,5.153,15.79,32.026,10.037,41.473,5.153,15526.365,15544.169,15483.827,15559.706,59.197,15657.739,15408.458
8.318,22.429,0.0,120.45,31.15,0.141,0.952,0.6,600.0,14325.134,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.2,0.141,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,0.952,181.5,120.45,28.0,46.335,31.637,8.318,6.847,3.11,5.603,7.273,6.238,9.54,3.11,0.0,0.0,0.0,0.0,95,31.15,27.0,12,16.0,35.0,20.597,46,12,59.706,22.429,23.727,4.758,13.387,26.464,12.694,36.239,4.758,14325.134,14326.205,14263.793,14394.726,80.497,14474.79,14174.942
7.799,23.456,0.0,125.025,26.25,0.138,0.949,0.75,750.0,13176.341,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.25,0.138,750.0,750.0,750.0,750.0,750.0,750.0,0.0,750.0,750.0,0.949,182.5,125.025,21.0,41.514,23.967,7.799,7.492,2.898,5.07,9.227,4.281,10.319,2.898,0.0,0.0,0.0,0.0,104,26.25,18.0,11,15.75,28.25,21.677,38,11,38.626,23.456,23.445,3.824,18.887,30.457,9.135,38.626,3.824,13176.341,13169.248,13114.045,13217.579,70.135,13312.002,13075.884
4.95,14.589,0.0,94.3,18.75,0.126,0.94,0.9,900.0,12119.118,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.3,0.126,900.0,900.0,900.0,900.0,900.0,900.0,0.0,900.0,900.0,0.94,181.5,94.3,18.5,55.17,10.551,4.95,4.155,2.263,3.269,6.375,2.175,10.551,2.263,0.0,0.0,0.0,0.0,33,18.75,18.5,7,12.75,25.0,7.615,33,7,37.322,14.589,13.119,2.843,6.826,21.12,9.169,37.322,2.843,12119.118,12130.833,12039.955,12185.026,90.237,12284.369,11934.713
5.549,18.773,0.0,110.225,16.1,0.121,0.94,1.05,1050.0,11170.341,1.05,1.05,1.05,1.05,1.05,1.05,0.0,1.05,1.05,0.35,0.121,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,0.0,1050.0,1050.0,0.94,181.0,110.225,29.0,47.475,11.687,5.549,5.82,2.319,3.652,6.682,2.354,9.521,2.319,0.0,0.0,0.0,0.0,30,16.1,15.0,7,13.0,18.75,5.281,24,7,32.828,18.773,21.654,4.401,10.877,25.002,9.331,32.828,4.401,11170.341,11167.001,11132.991,11212.185,71.282,11320.879,11034.751
4.522,16.448,0.0,107.75,12.8,0.111,0.928,1.2,1200.0,10323.209,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.2,0.4,0.111,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,0.928,169.5,107.75,19.5,54.357,7.359,4.522,5.006,1.957,2.791,5.792,1.758,7.359,1.957,0.0,0.0,0.0,0.0,22,12.8,12.5,7,10.0,14.0,3.501,19,7,30.296,16.448,20.282,2.722,5.42,24.208,9.25,30.296,2.722,10323.209,10332.087,10274.414,10358.414,61.84,10448.574,10215.384
4.102,14.345,0.0,102.05,13.05,0.108,0.924,1.35,1350.0,9529.355,1.35,1.35,1.35,1.35,1.35,1.35,0.0,1.35,1.35,0.45,0.108,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,0.0,1350.0,1350.0,0.924,164.5,102.05,18.5,48.673,6.891,4.102,3.972,1.946,2.969,4.853,1.356,6.891,1.946,0.0,0.0,0.0,0.0,21,13.05,13.5,6,9.75,15.5,4.41,21,6,24.973,14.345,15.41,2.542,8.645,18.422,7.044,24.973,2.542,9529.355,9533.691,9469.307,9589.925,73.843,9646.77,9390.352
3.591,12.713,0.0,95.925,11.35,0.102,0.93,1.5,1500.0,8841.228,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.5,0.102,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,0.0,1500.0,1500.0,0.93,181.5,95.925,18.0,57.725,7.196,3.591,3.128,1.703,2.451,4.826,1.492,7.196,1.703,0.0,0.0,0.0,0.0,19,11.35,11.0,7,8.75,13.25,3.351,19,7,28.483,12.713,11.589,2.517,5.301,20.752,8.367,28.483,2.517,8841.228,8846.443,8815.884,8881.982,72.764,8956.845,8791.2
3.555,12.942,0.0,96.025,10.25,0.098,0.924,1.65,1650.0,8211.334,1.65,1.65,1.65,1.65,1.65,1.65,0.0,1.65,1.65,0.55,0.098,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,0.0,1650.0,1650.0,0.924,183.0,96.025,12.0,56.312,6.057,3.555,3.546,1.438,2.453,4.506,1.421,6.057,1.438,0.0,0.0,0.0,0.0,21,10.25,10.0,1,6.75,13.25,5.127,21,1,26.86,12.942,13.28,1.575,6.343,19.158,7.864,26.86,1.575,8211.334,8214.565,8159.091,8263.502,79.567,8351.934,8036.668
3.614,14.096,0.0,105.475,10.25,0.095,0.919,1.8,1800.0,7648.424,1.8,1.8,1.8,1.8,1.8,1.8,0.0,1.8,1.8,0.6,0.095,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,1800.0,1800.0,0.919,183.0,105.475,19.0,60.443,8.663,3.614,2.937,1.688,2.223,4.769,1.888,6.941,1.688,0.0,0.0,0.0,0.0,17,10.25,10.0,4,8.0,13.0,3.52,17,4,34.646,14.096,12.977,2.489,4.358,23.341,9.758,34.646,2.489,7648.424,7650.636,7614.47,7674.578,56.532,7743.909,7550.084
3.733,15.884,0.0,119.25,9.75,0.093,0.92,1.95,1950.0,7083.242,1.95,1.95,1.95,1.95,1.95,1.95,0.0,1.95,1.95,0.65,0.093,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,0.0,1950.0,1950.0,0.92,183.5,119.25,16.0,55.818,6.514,3.733,3.459,1.476,2.65,4.622,1.437,6.514,1.476,0.0,0.0,0.0,0.0,19,9.75,9.0,2,7.5,11.5,4.253,15,2,29.563,15.884,16.721,2.213,7.351,22.599,8.674,29.563,2.213,7083.242,7069.862,7038.532,7139.049,59.53,7185.742,6994.088
3.423,14.442,0.0,106.65,8.3,0.092,0.916,2.1,2100.0,6581.255,2.1,2.1,2.1,2.1,2.1,2.1,0.0,2.1,2.1,0.7,0.092,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,0.0,2100.0,2100.0,0.916,188.0,106.65,9.5,68.177,6.847,3.423,3.277,1.405,1.694,4.791,1.748,6.847,1.405,0.0,0.0,0.0,0.0,13,8.3,9.0,0,7.0,10.0,3.164,13,6,30.311,14.442,16.496,1.368,2.919,24.29,10.49,30.311,1.368,6581.255,6576.115,6562.629,6608.251,67.667,6647.139,6521.878
2.413,8.736,0.0,84.8,8.85,0.087,0.903,2.25,2250.0,6129.11,2.25,2.25,2.25,2.25,2.25,2.25,0.0,2.25,2.25,0.75,0.087,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,0.0,2250.0,2250.0,0.903,181.0,84.8,16.0,56.406,4.117,2.413,2.468,1.341,1.624,2.811,0.817,4.117,1.341,0.0,0.0,0.0,0.0,18,8.85,8.5,2,5.75,10.25,4.43,17,2,20.379,8.736,7.943,1.859,4.284,10.727,5.678,20.379,1.859,6129.11,6132.386,6100.794,6149.079,35.191,6194.046,6053.75
2.294,7.571,0.0,61.3,9.2,0.086,0.895,2.4,2400.0,5712.706,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.8,0.086,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0.0,2400.0,2400.0,0.895,177.0,61.3,14.5,59.451,6.03,2.294,1.781,1.308,1.546,2.19,1.281,2.598,1.308,0.0,0.0,0.0,0.0,24,9.2,8.5,4,6.0,11.0,4.479,15,4,28.682,7.571,4.645,1.73,1.999,7.937,8.082,16.547,1.73,5712.706,5703.334,5694.456,5728.766,38.398,5774.55,5649.63
2.555,10.124,0.0,77.2,8.25,0.084,0.89,2.55,2550.0,5329.513,2.55,2.55,2.55,2.55,2.55,2.55,0.0,2.55,2.55,0.85,0.084,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0,0.0,2550.0,2550.0,0.89,186.0,77.2,14.5,56.64,4.706,2.555,1.864,1.199,1.412,4.046,1.255,4.706,1.199,0.0,0.0,0.0,0.0,15,8.25,9.0,2,7.75,10.0,2.998,11,5,24.229,10.124,5.209,1.576,2.666,19.803,8.335,24.229,1.576,5329.513,5325.45,5313.377,5341.25,27.681,5372.931,5274.691
2.098,7.358,0.0,55.675,7.65,0.082,0.872,2.7,2700.0,5001.278,2.7,2.7,2.7,2.7,2.7,2.7,0.0,2.7,2.7,0.9,0.082,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,0.0,2700.0,2700.0,0.872,165.5,55.675,10.5,58.835,4.598,2.098,1.458,1.109,1.309,2.524,1.192,3.979,1.109,0.0,0.0,0.0,0.0,13,7.65,7.0,1,6.0,9.25,2.937,13,5,23.374,7.358,3.104,1.352,2.266,8.303,8.194,8.303,1.352,5001.278,4990.695,4981.583,5028.805,33.126,5069.375,4941.122
1.971,6.866,0.0,53.075,7.0,0.081,0.876,2.85,2850.0,4684.627,2.85,2.85,2.85,2.85,2.85,2.85,0.0,2.85,2.85,0.95,0.081,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,0.0,2850.0,2850.0,0.876,176.0,53.075,12.0,54.56,5.188,1.971,1.446,1.081,1.228,1.816,1.233,1.854,1.081,0.0,0.0,0.0,0.0,16,7.0,6.5,1,4.0,9.25,3.647,16,1,27.11,6.866,3.207,1.429,1.814,5.14,8.117,5.985,1.429,4684.627,4690.962,4670.964,4700.169,24.463,4721.996,4632.96
