pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.205,0.302,0.0,1.375,0.031,1.0,8.8,440.0,59.231,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,2.0,1.375,1.0,0.256,0.253,0.205,0.205,0.174,0.188,0.215,0.019,0.253,0.174,0.0,0.0,0.0,0.0,0.349,0.302,0.298,0.283,0.292,0.305,0.015,0.322,0.283,0.0,59.231,59.231,59.23,59.231,0.002,59.234,59.229
0.281,0.57,0.0,5.663,0.031,1.0,8.8,440.0,56.828,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,38.5,5.663,1.5,10.633,0.465,0.281,0.266,0.222,0.255,0.289,0.051,0.321,0.222,0.0,0.0,0.0,0.0,2.714,0.57,0.361,0.308,0.346,0.366,0.594,0.377,0.328,0.05,56.828,56.795,56.491,57.083,0.536,57.806,55.932
0.435,1.822,0.0,24.338,0.031,1.0,8.8,440.0,53.614,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,153.0,24.338,1.5,44.832,1.506,0.435,0.34,0.269,0.308,0.38,0.277,0.463,0.269,0.0,0.0,0.0,0.0,13.199,1.822,0.401,0.351,0.38,0.825,3.222,0.825,0.351,0.1,53.614,53.442,53.021,54.154,0.924,55.649,52.352
0.644,3.405,0.0,48.175,0.031,1.0,8.8,440.0,51.015,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,128.0,48.175,1.5,45.083,1.739,0.644,0.517,0.352,0.379,0.745,0.361,1.217,0.352,0.0,0.0,0.0,0.0,11.292,3.405,2.394,0.392,0.434,6.177,3.23,11.292,0.392,0.15,51.015,51.14,50.447,51.574,0.968,53.171,48.976
0.929,5.308,0.0,69.625,0.031,1.0,8.8,440.0,47.434,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,186.0,69.625,2.25,55.879,1.919,0.929,0.903,0.438,0.499,1.29,0.432,1.919,0.438,0.0,0.0,0.0,0.0,15.995,5.308,5.943,0.463,0.584,8.237,4.299,15.995,0.463,0.2,47.434,47.462,46.958,48.469,1.248,49.028,45.213
1.446,8.009,0.0,94.325,0.031,1.0,8.8,440.0,44.662,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,176.5,94.325,3.0,48.89,2.781,1.446,1.427,0.46,0.788,1.923,0.708,2.781,0.46,0.0,0.0,0.0,0.0,16.504,8.009,8.108,0.527,3.748,11.136,4.759,16.504,0.527,0.25,44.662,44.752,44.29,45.362,1.203,46.247,43.398
2.329,12.54,0.0,127.662,0.031,1.0,8.8,440.0,41.193,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,190.0,127.662,4.0,45.81,4.611,2.329,2.074,0.519,1.598,3.296,1.03,4.611,0.519,0.0,0.0,0.0,0.0,23.214,12.54,12.18,0.548,9.257,16.983,5.427,23.214,0.548,0.3,41.193,41.193,40.493,41.622,0.983,42.962,39.768
3.825,17.297,0.0,141.325,0.031,1.0,8.8,440.0,39.47,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,189.5,141.325,69.75,26.674,6.816,3.825,3.855,1.481,2.505,5.004,1.474,6.816,1.481,0.0,0.0,0.0,0.0,25.738,17.297,17.433,5.77,13.958,20.074,4.673,25.738,5.77,0.35,39.47,39.333,38.745,40.093,1.063,41.692,37.706
4.726,19.203,0.0,152.525,0.031,1.0,8.8,440.0,35.079,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,181.5,152.525,107.0,19.397,8.373,4.726,4.676,2.054,3.21,5.952,1.69,8.373,2.054,0.0,0.0,0.0,0.0,30.909,19.203,18.698,11.925,15.145,21.238,5.12,27.952,11.925,0.4,35.079,35.425,34.525,35.825,1.321,37.19,32.955
6.883,23.697,0.0,156.55,0.031,1.0,8.8,440.0,33.258,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,197.5,156.55,116.0,20.34,11.26,6.883,6.718,2.51,5.301,7.739,2.073,11.26,2.51,0.0,0.0,0.0,0.0,33.204,23.697,24.967,10.015,20.301,27.024,5.155,33.204,17.61,0.45,33.258,33.656,31.797,34.861,1.821,35.815,29.965
10.751,28.866,0.0,158.167,0.031,1.0,8.8,440.0,29.54,8.8,8.8,8.8,8.8,8.8,8.8,0.0,8.8,8.8,0.031,440.0,440.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,1.0,192.0,158.167,95.25,23.369,17.96,10.751,11.731,3.995,7.844,12.878,3.755,17.96,3.995,0.0,0.0,0.0,0.0,39.128,28.866,31.1,14.367,24.143,33.377,7.286,39.128,14.367,0.5,29.54,29.578,28.602,30.687,1.241,31.826,27.487
