pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
26.079,45.19,0.0,187.5,0.029,0.725,12.0,12.0,24.0,600.0,600.0,10325,403,0.988,176.252
23.042,43.207,0.0,191.5,0.028,0.723,12.0,12.0,24.0,600.0,600.0,10001,430,0.97,179.718
15.803,31.813,0.0,189.5,0.031,0.74,12.0,12.0,24.0,600.0,600.0,10493,391,0.978,173.606
18.631,43.278,0.0,181.25,0.034,0.813,12.0,12.0,24.0,600.0,600.0,9474,213,0.985,167.957
16.86,32.873,0.0,164.5,0.029,0.767,12.0,12.0,24.0,600.0,600.0,9807,317,0.978,176.017
27.698,44.71,0.0,188.5,0.031,0.78,12.0,12.0,24.0,600.0,600.0,10057,377,0.98,183.959
23.305,41.472,0.0,196.0,0.03,0.792,12.0,12.0,24.0,600.0,600.0,9721,283,0.988,175.218
9.577,27.095,0.0,174.5,0.031,0.767,12.0,12.0,24.0,600.0,600.0,10717,310,0.985,167.186
26.489,44.351,0.0,180.0,0.03,0.737,12.0,12.0,24.0,600.0,600.0,9870,422,0.985,182.036
15.051,29.299,0.0,159.0,0.03,0.777,12.0,12.0,24.0,600.0,600.0,10516,272,0.973,174.54
44.03,43.568,0.0,166.5,0.024,0.64,12.0,12.0,24.0,600.0,600.0,9387,655,0.983,195.363
18.509,42.747,0.0,166.0,0.032,0.793,12.0,12.0,24.0,600.0,600.0,10240,319,0.988,167.303
19.571,44.314,0.0,162.0,0.031,0.802,12.0,12.0,24.0,600.0,600.0,10099,270,0.985,166.755
20.622,35.193,0.0,145.75,0.03,0.783,12.0,12.0,24.0,600.0,600.0,9984,275,0.983,174.623
17.66,44.262,0.0,163.0,0.033,0.815,12.0,12.0,24.0,600.0,600.0,10917,244,0.973,163.616
24.657,47.325,0.0,186.5,0.031,0.748,12.0,12.0,24.0,600.0,600.0,9786,394,0.983,177.138
39.256,51.556,0.0,174.0,0.03,0.71,12.0,12.0,24.0,600.0,600.0,10023,425,0.985,181.211
17.246,38.9,0.0,180.0,0.03,0.74,12.0,12.0,24.0,600.0,600.0,10249,371,0.985,179.444
20.503,36.286,0.0,188.25,0.029,0.707,12.0,12.0,24.0,600.0,600.0,10464,442,0.988,182.277
19.528,35.75,0.0,138.5,0.032,0.755,12.0,12.0,24.0,600.0,600.0,9784,334,0.973,177.243
