prob_dead_neurons,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_max_mean,pos_error_num_cat_mean,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_min,mean_field_activity_max,mean_field_activity_std,mean_field_activity_median,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_whishi,mean_field_activity_whislo,perc_correct_fields_mean,perc_correct_fields_min,perc_correct_fields_max,perc_correct_fields_std,perc_correct_fields_median,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_whishi,perc_correct_fields_whislo,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_std,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.025,0.011,0.0,0.0,0.006,0.006,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0,0,0.028,0.028,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.872,0.865,0.88,0.004,0.873,0.868,0.876,0.88,0.865,140.6,0.0,140.6,0.0,56.4,0.0,9968.3,9906,10010,28.144,9970.0,9947.25,9994.25,10010,9906,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,140.817,0.005,140.817,140.813,140.82,140.826,140.808
0.05,0.019,0.0,0.217,0.058,0.0,0.0,0.001,0.003,0.0,0.386,0.0,4.316,1.143,0.0,0.0,0.025,0.035,0.0,0.0,7.675,0.1,0.0,0.0,0.0,0,0,0.028,0.028,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.871,0.864,0.881,0.004,0.87,0.867,0.873,0.881,0.864,140.6,0.0,133.568,0.063,56.4,0.0,9569.9,9504,9638,34.521,9571.0,9548.5,9590.5,9638,9504,400.65,387,421,8.557,400.0,392.75,406.5,421,387,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,135.197,0.074,135.192,135.153,135.242,135.364,135.066
0.1,0.05,0.0,0.27,0.084,0.003,0.001,0.067,0.124,0.0,0.913,0.0,4.366,1.506,0.035,0.025,1.324,2.459,0.0,0.0,17.7,0.35,0.0,0.0,1.0,2,0,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.029,0.028,0.872,0.862,0.881,0.005,0.871,0.867,0.876,0.881,0.862,140.6,0.0,125.212,0.139,56.4,0.0,8960.95,8864,9080,54.787,8949.0,8917.5,8992.25,9080,8864,1000.3,962,1021,15.605,1001.5,991.75,1012.25,1021,962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,126.75,0.17,126.729,126.626,126.878,127.017,126.435
0.15,0.049,0.0,0.361,0.084,0.004,0.001,0.05,0.114,0.0,0.945,0.0,7.127,1.661,0.043,0.025,0.935,2.233,0.0,0.0,18.75,0.45,0.0,0.0,1.0,1,0,0.028,0.028,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.872,0.859,0.88,0.005,0.874,0.869,0.876,0.88,0.863,140.6,0.0,119.658,0.17,56.4,0.0,8574.65,8478,8655,40.981,8573.5,8548.75,8604.0,8655,8478,1408.0,1372,1452,20.83,1400.5,1397.5,1418.5,1445,1372,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,121.139,0.2,121.122,120.953,121.267,121.499,120.781
0.2,0.257,0.004,0.551,0.167,0.28,0.123,0.389,0.551,0.004,4.065,0.043,7.67,2.598,4.68,1.69,5.958,7.67,0.043,0.0,74.65,1.55,2.0,1.0,2.0,3,0,0.028,0.028,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.871,0.858,0.88,0.005,0.871,0.868,0.874,0.88,0.858,140.6,0.0,111.35,0.144,56.4,0.0,7970.5,7893,8033,30.155,7978.5,7957.5,7986.0,8009,7926,2013.6,1987,2040,15.986,2015.0,1999.0,2027.25,2040,1987,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,112.695,0.179,112.714,112.608,112.791,113.018,112.349
0.25,0.608,0.0,1.213,0.368,0.737,0.252,0.852,1.213,0.0,6.74,0.0,10.363,3.282,8.408,4.549,9.246,10.363,0.0,0.0,101.825,3.35,3.0,1.0,5.0,7,0,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.029,0.028,0.872,0.861,0.884,0.006,0.872,0.87,0.876,0.884,0.861,140.6,0.0,105.747,0.17,56.4,0.0,7564.75,7447,7657,51.829,7579.0,7538.75,7596.75,7657,7486,2416.85,2364,2462,24.053,2416.0,2399.75,2439.0,2462,2364,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,107.032,0.195,107.026,106.89,107.156,107.234,106.73
0.3,1.662,0.874,2.591,0.554,1.664,1.215,2.045,2.591,0.874,12.493,7.48,18.285,2.863,12.935,10.711,14.043,18.285,7.48,0.0,146.225,8.85,8.0,7.0,11.0,15,5,0.028,0.028,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.871,0.859,0.879,0.006,0.872,0.866,0.876,0.879,0.859,140.6,0.0,97.363,0.167,56.4,0.0,6974.05,6901,7024,39.515,6982.0,6946.5,7007.25,7024,6901,3013.85,2972,3052,21.939,3010.5,3003.75,3027.75,3052,2972,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,98.55,0.216,98.523,98.4,98.694,98.997,98.197
0.35,2.962,1.692,4.913,0.833,2.984,2.475,3.292,4.025,1.692,16.668,10.963,22.535,2.605,16.482,15.215,18.218,22.535,10.963,0.0,162.375,16.3,16.0,12.0,18.5,25,9,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.028,0.028,0.871,0.863,0.884,0.005,0.87,0.867,0.872,0.878,0.863,140.6,0.0,91.802,0.176,56.4,0.0,6569.65,6523,6656,36.371,6561.5,6544.0,6575.75,6605,6523,3415.85,3375,3454,22.573,3413.0,3399.0,3435.0,3454,3375,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,92.93,0.192,92.901,92.807,93.044,93.138,92.656
0.4,6.029,3.357,8.206,1.367,6.025,5.196,7.035,8.206,3.357,22.923,16.458,27.319,2.82,23.229,21.141,25.404,27.319,16.458,0.0,162.675,33.95,33.0,30.75,36.0,36,23,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.029,0.028,0.871,0.863,0.882,0.005,0.871,0.869,0.874,0.877,0.863,140.6,0.0,83.345,0.206,56.4,0.0,5985.2,5914,6047,32.566,5979.0,5963.0,6009.25,6047,5914,4020.6,3952,4068,27.751,4024.0,4005.5,4035.75,4068,3976,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,84.361,0.258,84.367,84.137,84.533,84.853,83.886
0.45,9.221,6.746,11.66,1.487,8.815,7.95,10.144,11.66,6.746,28.517,21.646,35.54,3.263,27.526,26.914,30.213,33.868,23.952,0.0,170.75,49.8,49.0,47.5,53.75,61,39,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.028,0.028,0.871,0.861,0.882,0.005,0.871,0.87,0.874,0.878,0.864,140.6,0.0,77.885,0.17,56.4,0.0,5579.35,5505,5641,34.368,5583.5,5568.0,5595.25,5633,5537,4417.7,4367,4482,27.017,4418.0,4402.75,4432.5,4468,4367,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,78.827,0.201,78.845,78.654,78.971,79.21,78.511
