pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
20.081,44.17,0.0,180.25,0.04,0.633,2.4,18.0,120.0
30.655,49.296,0.0,165.5,0.042,0.725,2.4,18.0,120.0
35.498,38.418,0.0,125.5,0.026,0.558,2.4,18.0,120.0
25.723,40.576,0.0,157.0,0.031,0.617,2.4,18.0,120.0
47.09,36.876,0.0,135.0,0.025,0.508,2.4,18.0,120.0
34.301,54.291,0.0,169.0,0.029,0.633,2.4,18.0,120.0
37.9,37.31,0.0,155.75,0.029,0.633,2.4,18.0,120.0
47.247,34.242,0.0,118.0,0.023,0.567,2.4,18.0,120.0
13.648,26.565,0.0,163.25,0.025,0.567,2.4,18.0,120.0
56.563,38.741,0.0,136.75,0.032,0.675,2.4,18.0,120.0
31.451,54.145,0.0,196.75,0.027,0.542,2.4,18.0,120.0
83.16,59.83,0.0,188.25,0.023,0.483,2.4,18.0,120.0
45.705,53.888,0.0,184.75,0.033,0.65,2.4,18.0,120.0
40.121,36.571,0.0,138.5,0.024,0.558,2.4,18.0,120.0
27.533,34.567,0.0,140.5,0.03,0.6,2.4,18.0,120.0
38.357,34.128,0.0,106.0,0.032,0.617,2.4,18.0,120.0
43.429,43.844,0.0,152.0,0.034,0.6,2.4,18.0,120.0
36.653,43.169,0.0,176.75,0.022,0.533,2.4,18.0,120.0
25.075,36.545,0.0,144.5,0.029,0.608,2.4,18.0,120.0
30.747,44.019,0.0,180.0,0.035,0.658,2.4,18.0,120.0
