pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.213,0.576,0.0,7.225,0.031,1.0,10.0,500.0,59.535,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,119.0,7.225,1.0,25.644,0.496,0.213,0.201,0.179,0.193,0.206,0.066,0.214,0.179,0.0,0.0,0.0,0.0,5.97,0.576,0.295,0.276,0.282,0.302,1.237,0.315,0.276,0.0,59.535,59.534,59.533,59.536,0.002,59.538,59.532
0.288,1.203,0.0,18.138,0.031,1.0,10.0,500.0,57.253,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,137.5,18.138,1.25,40.443,0.662,0.288,0.239,0.205,0.223,0.253,0.132,0.266,0.205,0.0,0.0,0.0,0.0,6.896,1.203,0.325,0.3,0.313,0.342,2.104,0.352,0.3,0.05,57.253,57.316,56.925,57.486,0.397,58.038,56.444
0.448,2.321,0.0,35.425,0.031,1.0,10.0,500.0,53.647,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,156.25,35.425,1.5,44.892,1.461,0.448,0.323,0.272,0.302,0.53,0.261,0.635,0.272,0.0,0.0,0.0,0.0,13.485,2.321,0.749,0.34,0.362,3.679,3.088,5.492,0.34,0.1,53.647,53.565,53.285,54.055,0.663,54.464,52.536
0.514,2.782,0.0,44.65,0.031,1.0,10.0,500.0,51.292,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,142.5,44.65,1.5,43.252,1.179,0.514,0.475,0.311,0.343,0.621,0.212,0.77,0.311,0.0,0.0,0.0,0.0,7.146,2.782,2.508,0.361,0.392,4.846,2.348,7.146,0.361,0.15,51.292,51.151,50.867,51.632,0.521,52.304,50.569
0.88,5.687,0.0,87.012,0.031,1.0,10.0,500.0,47.627,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,175.5,87.012,2.5,49.337,1.507,0.88,0.775,0.377,0.641,1.11,0.339,1.507,0.377,0.0,0.0,0.0,0.0,11.385,5.687,4.833,0.47,3.62,8.291,3.104,11.385,0.47,0.2,47.627,47.682,47.068,48.056,0.799,48.52,46.359
1.383,8.329,0.0,105.538,0.031,1.0,10.0,500.0,45.264,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,174.5,105.538,2.0,52.517,3.359,1.383,1.318,0.4,0.855,1.543,0.76,2.42,0.4,0.0,0.0,0.0,0.0,16.555,8.329,8.665,0.406,5.653,10.719,4.537,16.555,0.406,0.25,45.264,45.418,44.629,45.833,0.976,47.516,43.339
2.33,12.041,0.0,122.138,0.031,1.0,10.0,500.0,41.523,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,182.0,122.138,60.0,32.387,6.855,2.33,2.228,1.205,1.399,2.732,1.267,3.722,1.205,0.0,0.0,0.0,0.0,25.503,12.041,11.459,6.169,9.23,13.47,4.404,14.394,6.169,0.3,41.523,41.61,40.931,42.264,0.881,43.229,39.899
2.802,13.895,0.0,127.675,0.031,1.0,10.0,500.0,39.3,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,182.5,127.675,46.0,38.201,4.908,2.802,2.912,0.79,1.867,3.462,1.077,4.908,0.79,0.0,0.0,0.0,0.0,21.955,13.895,14.664,2.775,10.211,16.897,4.649,21.955,2.775,0.35,39.3,39.556,38.515,40.193,0.963,40.838,37.627
4.749,18.929,0.0,146.362,0.031,1.0,10.0,500.0,35.465,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,191.0,146.362,90.0,30.55,8.543,4.749,4.595,2.495,3.79,5.837,1.424,8.543,2.495,0.0,0.0,0.0,0.0,26.374,18.929,18.859,11.513,15.788,21.33,4.153,26.374,11.513,0.4,35.465,35.256,34.735,36.375,0.995,37.253,34.015
7.601,24.925,0.0,156.575,0.031,1.0,10.0,500.0,33.544,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.031,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,1.0,187.5,156.575,98.0,25.828,11.33,7.601,8.069,3.321,6.396,9.069,2.103,11.33,3.321,0.0,0.0,0.0,0.0,33.168,24.925,25.966,13.497,21.535,28.456,5.307,33.168,13.497,0.45,33.544,33.709,33.194,33.926,0.839,34.729,32.634
