pos_error_mean,pos_error_std,pos_error_min,pos_error_max,pos_error_num_cat,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,f,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_num_cat_max,pos_error_num_cat_mean,pos_error_num_cat_median,pos_error_num_cat_min,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_std,pos_error_num_cat_whishi,pos_error_num_cat_whislo,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
12.47,13.967,0.25,61.175,154.4,0.059,0.913,0.15,15.0,1804.615,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.05,0.059,15.0,15.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.913,153.75,61.175,33.75,41.769,33.244,12.47,7.982,7.982,7.982,12.518,7.38,13.905,7.982,0.25,0.25,0.25,0.0,215,154.4,135.0,135,135.0,170.0,26.223,215,135,45.16,13.967,6.861,6.861,6.861,16.4,11.566,28.655,6.861,1804.615,1793.075,1793.072,1811.226,14.004,1828.726,1793.065
11.961,21.682,0.25,92.525,65.25,0.038,0.827,0.3,30.0,1636.107,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.1,0.038,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,0.827,153.75,92.525,13.75,49.661,30.021,11.961,8.912,3.071,4.943,18.542,8.623,30.021,3.071,0.25,0.25,0.25,0.0,151,65.25,58.0,6,31.75,94.0,44.21,151,6,46.528,21.682,17.672,2.341,6.361,38.955,15.92,46.528,2.341,1636.107,1622.465,1620.698,1654.156,24.175,1683.825,1604.451
17.053,27.056,0.0,110.762,110.2,0.039,0.794,0.45,45.0,1494.796,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.15,0.039,45.0,45.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0.794,187.0,110.762,16.25,50.755,35.013,17.053,17.898,4.252,9.33,22.3,9.167,35.013,4.252,0.0,0.0,0.0,0.0,205,110.2,113.0,40,70.75,132.25,46.316,205,40,48.181,27.056,28.539,3.613,12.022,39.026,15.02,48.181,3.613,1494.796,1495.846,1474.841,1516.12,25.969,1534.236,1453.815
19.262,31.999,0.225,131.425,103.7,0.044,0.803,0.6,60.0,1379.581,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.2,0.044,60.0,60.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0.803,176.25,131.425,22.25,41.98,39.048,19.262,19.803,3.569,8.082,29.456,11.107,39.048,3.569,0.25,0.225,0.0,0.075,220,103.7,101.5,11,54.25,152.75,59.153,220,11,56.698,31.999,35.62,4.076,16.821,41.234,15.522,56.698,4.076,1379.581,1383.553,1365.531,1402.684,33.353,1432.925,1324.91
19.358,31.594,0.2,132.725,104.25,0.052,0.83,0.75,75.0,1258.38,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.25,0.052,75.0,75.0,75.0,75.0,75.0,75.0,0.0,75.0,75.0,0.83,191.75,132.725,71.25,34.433,50.38,19.358,15.564,5.356,11.312,19.298,12.7,19.797,5.356,0.25,0.2,0.0,0.1,233,104.25,83.5,38,69.5,111.75,59.594,132,38,55.112,31.594,31.548,8.894,26.091,37.445,12.252,43.723,12.11,1258.38,1260.268,1233.469,1280.038,32.337,1349.56,1215.066
24.299,38.644,0.0,146.925,125.65,0.055,0.816,0.9,90.0,1183.467,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.3,0.055,90.0,90.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,0.816,192.0,146.925,92.0,30.439,49.072,24.299,24.072,5.654,18.612,30.486,10.079,41.85,5.654,0.0,0.0,0.0,0.0,220,125.65,136.5,17,94.25,157.75,48.593,220,17,63.745,38.644,37.254,13.804,31.865,46.777,10.777,63.745,13.804,1183.467,1190.722,1170.61,1198.247,28.72,1226.658,1145.177
16.893,33.248,0.0,145.088,92.1,0.06,0.822,1.05,105.0,1076.376,1.05,1.05,1.05,1.05,1.05,1.05,0.0,1.05,1.05,0.35,0.06,105.0,105.0,105.0,105.0,105.0,105.0,0.0,105.0,105.0,0.822,188.75,145.088,37.5,41.659,40.837,16.893,15.325,4.521,9.684,20.12,8.921,29.997,4.521,0.0,0.0,0.0,0.0,245,92.1,80.0,29,59.0,127.25,53.072,166,29,55.43,33.248,35.671,6.055,25.707,42.056,12.559,55.43,6.055,1076.376,1073.627,1061.5,1096.139,32.78,1119.36,1011.636
19.037,30.386,0.0,127.75,104.9,0.062,0.785,1.2,120.0,1016.401,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.2,0.4,0.062,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,0.785,190.0,127.75,17.5,46.548,62.228,19.037,14.714,3.335,8.53,25.878,13.872,38.606,3.335,0.0,0.0,0.0,0.0,232,104.9,94.5,16,59.5,141.0,60.925,232,16,64.678,30.386,30.093,3.725,18.825,41.043,16.136,64.678,3.725,1016.401,1014.671,995.278,1046.19,34.376,1071.086,943.883
18.56,33.051,0.0,136.962,99.05,0.066,0.79,1.35,135.0,940.196,1.35,1.35,1.35,1.35,1.35,1.35,0.0,1.35,1.35,0.45,0.066,135.0,135.0,135.0,135.0,135.0,135.0,0.0,135.0,135.0,0.79,187.5,136.962,15.25,39.918,45.721,18.56,17.132,2.942,12.225,21.548,9.9,25.544,2.942,0.0,0.0,0.0,0.0,251,99.05,96.0,8,66.75,113.5,53.099,172,8,62.677,33.051,34.733,2.471,26.515,36.664,12.659,49.874,17.923,940.196,942.739,920.975,963.523,32.321,1000.478,868.025
14.07,27.082,0.175,129.825,78.0,0.071,0.813,1.5,150.0,864.925,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.5,0.071,150.0,150.0,150.0,150.0,150.0,150.0,0.0,150.0,150.0,0.813,185.25,129.825,23.75,44.607,41.063,14.07,14.525,3.91,6.807,16.826,8.69,24.935,3.91,0.25,0.175,0.0,0.115,173,78.0,73.0,5,47.75,94.5,42.282,161,5,50.453,27.082,29.198,4.937,17.345,36.638,12.997,50.453,4.937,864.925,863.749,844.997,890.176,33.867,920.458,799.497
18.287,29.21,0.0,132.512,106.95,0.066,0.788,1.65,165.0,826.802,1.65,1.65,1.65,1.65,1.65,1.65,0.0,1.65,1.65,0.55,0.066,165.0,165.0,165.0,165.0,165.0,165.0,0.0,165.0,165.0,0.788,189.5,132.512,17.0,41.815,57.751,18.287,13.197,2.292,10.427,23.665,13.224,39.813,2.292,0.0,0.0,0.0,0.0,261,106.95,83.0,4,49.5,135.25,73.276,261,4,58.037,29.21,30.471,2.193,21.089,35.194,13.315,49.536,2.193,826.802,825.941,809.248,853.457,26.116,867.532,773.087
