pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
8.202,23.092,0.0,132.0,0.062,0.817,2.4,2.4,18.0,9600.0,9600.0,937681,17322,0.492,27798.904
12.621,35.749,0.0,171.0,0.062,0.818,2.4,2.4,18.0,9600.0,9600.0,943707,17514,0.525,27587.744
1.247,5.478,0.0,56.0,0.061,0.811,2.4,2.4,18.0,9600.0,9600.0,934684,18186,0.477,27770.388
0.711,2.22,0.0,21.5,0.065,0.845,2.4,2.4,18.0,9600.0,9600.0,919730,15120,0.477,27088.405
9.428,26.673,0.0,145.5,0.063,0.831,2.4,2.4,18.0,9600.0,9600.0,942798,17123,0.53,27636.329
3.086,7.681,0.0,28.0,0.061,0.811,2.4,2.4,18.0,9600.0,9600.0,934725,19257,0.515,27605.488
10.328,28.629,0.0,174.0,0.062,0.832,2.4,2.4,18.0,9600.0,9600.0,931560,17396,0.547,27189.715
0.919,5.111,0.0,58.5,0.062,0.828,2.4,2.4,18.0,9600.0,9600.0,939806,16004,0.54,27541.66
0.888,4.481,0.0,58.5,0.061,0.822,2.4,2.4,18.0,9600.0,9600.0,937898,17366,0.537,27442.855
10.289,28.359,0.0,140.5,0.062,0.815,2.4,2.4,18.0,9600.0,9600.0,930014,17629,0.472,27588.293
8.91,25.984,0.0,143.0,0.063,0.829,2.4,2.4,18.0,9600.0,9600.0,931070,16478,0.51,27397.839
1.018,5.747,0.0,58.5,0.062,0.825,2.4,2.4,18.0,9600.0,9600.0,933733,17757,0.472,27541.979
0.904,4.479,0.0,58.5,0.063,0.827,2.4,2.4,18.0,9600.0,9600.0,932304,16106,0.515,27286.195
4.181,10.446,0.0,35.0,0.062,0.825,2.4,2.4,18.0,9600.0,9600.0,934427,16535,0.527,27605.783
1.087,3.387,0.0,55.0,0.062,0.817,2.4,2.4,18.0,9600.0,9600.0,930826,18663,0.497,27438.188
1.133,5.914,0.0,58.5,0.064,0.833,2.4,2.4,18.0,9600.0,9600.0,927406,15687,0.542,27152.418
8.617,24.722,0.0,85.5,0.064,0.834,2.4,2.4,18.0,9600.0,9600.0,934934,15860,0.515,27008.295
9.643,27.381,0.0,144.0,0.061,0.811,2.4,2.4,18.0,9600.0,9600.0,930928,17000,0.547,27772.277
7.429,20.818,0.0,72.0,0.063,0.817,2.4,2.4,18.0,9600.0,9600.0,938442,18376,0.495,27549.958
1.182,4.33,0.0,55.0,0.065,0.828,2.4,2.4,18.0,9600.0,9600.0,930644,16513,0.458,27193.962
