pos_error_mean,pos_error_std,pos_error_min,pos_error_max,pos_error_num_cat,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,f,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_num_cat_max,pos_error_num_cat_mean,pos_error_num_cat_median,pos_error_num_cat_min,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_std,pos_error_num_cat_whishi,pos_error_num_cat_whislo,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
24.186,16.205,0.25,78.65,285.7,0.068,0.967,0.15,7.5,944.836,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.05,0.068,7.5,7.5,7.5,7.5,7.5,7.5,0.0,7.5,7.5,0.967,193.75,78.65,46.75,37.219,95.081,24.186,20.624,17.412,19.288,21.96,16.329,21.96,17.412,0.25,0.25,0.25,0.0,368,285.7,283.0,252,276.0,290.0,21.121,290,276,57.023,16.205,14.72,13.181,13.181,14.72,9.403,15.968,13.181,944.836,943.003,942.879,943.014,5.678,943.014,942.871
18.028,26.119,0.25,109.85,163.65,0.053,0.837,0.3,15.0,816.418,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.1,0.053,15.0,15.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.837,153.75,109.85,33.75,47.215,32.994,18.028,17.875,7.982,11.529,23.717,7.958,32.994,7.982,0.25,0.25,0.25,0.0,219,163.65,162.0,120,136.5,183.5,27.449,219,120,48.373,26.119,25.771,6.861,15.693,38.502,13.868,48.373,6.861,816.418,811.48,811.172,828.365,15.475,830.056,793.271
15.11,19.691,0.0,75.813,117.3,0.035,0.767,0.45,22.5,757.848,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.15,0.035,22.5,22.5,22.5,22.5,22.5,22.5,0.0,22.5,22.5,0.767,136.5,75.813,10.25,38.672,31.571,15.11,15.275,3.737,6.993,20.849,8.807,31.571,3.737,0.0,0.0,0.0,0.0,205,117.3,123.0,1,77.0,154.25,53.536,205,1,42.032,19.691,21.007,2.348,8.168,30.918,12.471,42.032,2.348,757.848,756.762,748.341,767.564,16.816,783.002,732.038
22.96,35.121,0.25,136.475,138.95,0.032,0.737,0.6,30.0,673.233,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.2,0.032,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,0.737,183.75,136.475,28.75,36.746,51.51,22.96,21.354,4.745,16.398,29.523,10.757,40.427,4.745,0.25,0.25,0.25,0.0,210,138.95,143.5,48,98.5,180.75,50.368,210,48,67.201,35.121,34.625,4.705,30.408,39.024,12.164,46.345,19.648,673.233,672.879,654.016,698.198,28.063,714.539,622.101
29.677,36.79,0.137,133.962,189.65,0.03,0.712,0.75,37.5,633.441,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.25,0.03,37.5,37.5,37.5,37.5,37.5,37.5,0.0,37.5,37.5,0.712,182.75,133.962,25.75,39.109,56.107,29.677,29.593,7.482,17.243,39.553,13.9,56.107,7.482,0.25,0.137,0.0,0.124,288,189.65,192.5,105,156.5,226.25,51.915,288,105,60.347,36.79,37.15,5.412,27.828,48.53,15.102,60.347,5.412,633.441,632.739,622.03,642.25,18.259,669.304,597.302
30.233,37.601,0.013,132.95,189.1,0.034,0.744,0.9,45.0,576.99,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.3,0.034,45.0,45.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0.744,183.75,132.95,37.5,33.992,49.478,30.233,30.393,7.545,22.366,38.507,11.706,49.478,7.545,0.25,0.013,0.0,0.054,334,189.1,189.5,86,143.75,239.0,65.618,334,86,55.141,37.601,40.817,8.069,30.082,46.817,11.944,55.141,8.069,576.99,573.538,566.412,590.859,22.642,619.468,539.359
24.503,35.281,0.0,140.225,154.65,0.036,0.775,1.05,52.5,548.884,1.05,1.05,1.05,1.05,1.05,1.05,0.0,1.05,1.05,0.35,0.036,52.5,52.5,52.5,52.5,52.5,52.5,0.0,52.5,52.5,0.775,189.0,140.225,88.25,29.341,46.251,24.503,22.372,13.627,16.721,28.628,9.008,46.251,13.627,0.0,0.0,0.0,0.0,275,154.65,145.5,64,116.75,189.25,51.717,275,64,50.035,35.281,34.123,23.874,27.893,39.383,8.183,50.035,23.874,548.884,554.294,531.659,570.272,25.449,582.817,484.891
30.977,40.314,0.236,149.55,164.25,0.039,0.77,1.2,60.0,485.31,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.2,0.4,0.039,60.0,60.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0.77,191.25,149.55,106.25,23.715,65.505,30.977,24.1,12.678,17.627,42.069,15.517,65.505,12.678,0.25,0.236,0.0,0.055,287,164.25,159.0,64,106.25,227.0,66.788,287,64,56.483,40.314,39.538,19.741,33.999,48.286,10.654,56.483,19.741,485.31,489.162,474.812,497.214,17.753,518.22,444.001
26.425,39.004,0.0,150.7,143.0,0.043,0.778,1.35,67.5,462.269,1.35,1.35,1.35,1.35,1.35,1.35,0.0,1.35,1.35,0.45,0.043,67.5,67.5,67.5,67.5,67.5,67.5,0.0,67.5,67.5,0.778,184.5,150.7,90.0,25.633,48.931,26.425,29.212,10.699,15.641,31.705,11.105,48.931,10.699,0.0,0.0,0.0,0.0,229,143.0,139.5,61,93.0,192.25,57.677,229,61,55.486,39.004,38.744,18.879,30.419,48.534,10.114,55.486,18.879,462.269,465.323,445.331,472.948,23.937,514.045,414.714
29.262,38.442,0.233,150.2,157.85,0.047,0.777,1.5,75.0,417.542,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.5,0.047,75.0,75.0,75.0,75.0,75.0,75.0,0.0,75.0,75.0,0.777,183.75,150.2,47.75,37.014,62.24,29.262,30.488,4.248,15.182,37.158,16.143,62.24,4.248,0.25,0.233,0.0,0.057,280,157.85,152.5,15,93.75,233.5,79.13,280,15,60.522,38.442,41.877,9.63,30.59,53.075,15.281,60.522,9.63,417.542,416.099,391.598,439.039,29.453,463.349,371.319
