f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,7.664,6.027,22.742,3.948,6.027,6.027,6.409,6.965,6.027,8.977,4.196,52.19,11.738,4.196,4.196,4.823,5.168,4.196,0.25,0.25,0.25,0.0,38.325,15.25,193.75,46.738,93.6,87,116,10.288,87.0,87.0,95.0,95.0,87,0.03,1.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.15,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,9.704,0.001,9.704,9.703,9.704,9.706,9.702
0.1,2.59,2.48,2.89,0.168,2.485,2.48,2.679,2.89,2.48,1.708,1.429,2.348,0.397,1.438,1.429,2.253,2.348,1.429,0.25,0.25,0.25,0.0,10.0,4.75,35.25,7.425,2.9,0,11,4.504,0.0,0.0,4.75,11,0,0.031,1.0,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,30.0,30.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,19.381,0.002,19.382,19.38,19.383,19.384,19.379
0.15,2.32,2.21,2.563,0.1,2.298,2.248,2.355,2.512,2.21,1.675,1.565,2.043,0.123,1.645,1.588,1.693,1.706,1.565,0.0,0.0,0.0,0.0,7.988,7.0,11.0,1.177,0.3,0,4,0.954,0.0,0.0,0.0,0,0,0.03,1.0,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.45,0.45,45.0,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,28.913,0.002,28.913,28.912,28.914,28.916,28.91
0.2,1.399,1.318,1.519,0.053,1.379,1.359,1.431,1.519,1.318,0.974,0.859,1.143,0.082,0.938,0.914,1.018,1.143,0.859,0.231,0.0,0.25,0.061,6.325,6.25,7.75,0.327,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,60.0,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,38.388,0.002,38.388,38.387,38.389,38.39,38.385
0.25,2.071,1.951,2.165,0.042,2.07,2.057,2.093,2.116,2.005,1.356,1.31,1.491,0.048,1.341,1.323,1.365,1.417,1.31,0.192,0.0,0.25,0.099,7.75,7.75,7.75,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,75.0,75.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,47.873,0.001,47.872,47.872,47.873,47.875,47.87
0.3,1.987,1.831,2.11,0.083,1.978,1.922,2.062,2.11,1.831,1.331,1.157,1.725,0.141,1.316,1.2,1.433,1.725,1.157,0.0,0.0,0.0,0.0,7.575,7.0,12.0,1.186,0.2,0,4,0.872,0.0,0.0,0.0,0,0,0.031,1.0,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.9,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,57.375,0.001,57.375,57.374,57.376,57.377,57.373
0.35,1.234,1.094,1.444,0.094,1.202,1.168,1.313,1.444,1.094,1.177,0.956,1.455,0.104,1.168,1.123,1.21,1.335,1.053,0.0,0.0,0.0,0.0,7.913,6.5,9.25,0.544,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,1.05,1.05,1.05,0.0,1.05,1.05,1.05,1.05,1.05,105.0,105.0,105.0,0.0,105.0,105.0,105.0,105.0,105.0,66.865,0.001,66.865,66.864,66.866,66.868,66.863
0.4,1.022,0.871,1.291,0.097,1.006,0.963,1.056,1.107,0.871,1.108,0.976,1.375,0.095,1.075,1.053,1.146,1.23,0.976,0.0,0.0,0.0,0.0,7.444,6.25,10.0,0.726,0.05,0,1,0.218,0.0,0.0,0.0,0,0,0.031,1.0,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,120.0,120.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,76.342,0.002,76.342,76.341,76.343,76.345,76.339
0.45,1.115,0.984,1.342,0.089,1.083,1.062,1.198,1.342,0.984,1.178,1.08,1.344,0.066,1.17,1.143,1.227,1.344,1.08,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,1.35,1.35,1.35,0.0,1.35,1.35,1.35,1.35,1.35,135.0,135.0,135.0,0.0,135.0,135.0,135.0,135.0,135.0,85.834,0.002,85.834,85.833,85.835,85.837,85.83
0.5,0.954,0.833,1.106,0.071,0.956,0.907,1.009,1.106,0.833,1.083,0.987,1.311,0.074,1.072,1.034,1.118,1.167,0.987,0.108,0.0,0.25,0.121,7.85,7.75,9.75,0.436,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.031,1.0,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,150.0,150.0,150.0,0.0,150.0,150.0,150.0,150.0,150.0,95.312,0.002,95.313,95.311,95.313,95.315,95.309
