pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
1.016,2.931,0.0,19.0,0.031,1.0,2.4,18.0,9600.0
0.994,2.826,0.0,18.0,0.031,1.0,2.4,18.0,9600.0
1.136,4.653,0.0,76.5,0.031,1.0,2.4,18.0,9600.0
0.991,3.248,0.0,24.5,0.031,0.999,2.4,18.0,9600.0
1.069,3.06,0.0,19.0,0.031,0.999,2.4,18.0,9600.0
1.053,3.063,0.0,19.0,0.031,1.0,2.4,18.0,9600.0
1.054,3.023,0.0,19.0,0.032,1.0,2.4,18.0,9600.0
1.016,3.026,0.0,19.0,0.031,0.999,2.4,18.0,9600.0
1.078,3.059,0.0,19.0,0.031,0.999,2.4,18.0,9600.0
1.133,3.14,0.0,19.5,0.031,1.0,2.4,18.0,9600.0
1.044,3.098,0.0,20.0,0.031,1.0,2.4,18.0,9600.0
1.039,3.027,0.0,19.0,0.031,0.999,2.4,18.0,9600.0
1.104,3.198,0.0,20.0,0.031,1.0,2.4,18.0,9600.0
1.015,2.981,0.0,19.0,0.031,0.999,2.4,18.0,9600.0
1.015,3.142,0.0,20.5,0.031,1.0,2.4,18.0,9600.0
1.042,3.079,0.0,20.0,0.031,1.0,2.4,18.0,9600.0
1.0,2.89,0.0,18.5,0.031,1.0,2.4,18.0,9600.0
1.035,2.977,0.0,19.0,0.031,1.0,2.4,18.0,9600.0
1.101,3.206,0.0,20.0,0.031,1.0,2.4,18.0,9600.0
1.028,3.103,0.0,21.0,0.031,0.999,2.4,18.0,9600.0
