f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,54.329,32.225,75.624,13.912,48.893,44.915,70.495,75.624,32.225,48.469,31.528,64.166,11.291,49.749,37.372,60.188,64.166,31.528,0.0,0.0,0.0,0.0,159.75,100.5,197.0,28.215,277.85,185,322,34.386,286.0,266.5,300.75,322,224,0.024,0.601,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,1865.65,54.41,1855.818,1830.656,1894.773,1965.819,1758.22
0.1,46.3,30.998,68.581,10.055,45.481,40.238,53.817,68.581,30.998,46.272,33.79,62.48,8.055,44.994,39.973,51.77,62.48,33.79,0.0,0.0,0.0,0.0,167.85,120.0,192.5,20.956,255.2,175,332,37.448,266.5,232.25,277.5,332,175,0.025,0.526,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,1209.435,43.253,1211.318,1176.43,1238.059,1311.891,1136.829
0.15,48.348,26.32,85.002,14.544,43.429,39.753,58.033,85.002,26.32,47.902,34.471,59.356,8.112,50.478,40.798,55.244,59.356,34.471,0.0,0.0,0.0,0.0,173.038,114.5,192.0,19.548,250.15,166,347,48.362,257.0,205.0,283.25,347,166,0.024,0.456,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,900.0,900.0,900.0,0.0,900.0,900.0,900.0,900.0,900.0,879.958,29.826,880.663,863.981,892.152,924.514,830.815
0.2,46.255,15.73,84.895,13.243,44.045,37.711,52.965,59.797,15.73,47.746,34.579,59.501,6.741,47.936,42.863,52.658,59.501,34.579,0.0,0.0,0.0,0.0,175.975,139.0,193.0,14.113,242.55,93,363,60.03,248.5,210.25,282.0,363,148,0.022,0.408,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,1200.0,1200.0,696.775,47.987,684.643,667.261,714.345,745.408,654.593
0.25,46.476,28.884,71.277,12.253,48.498,35.026,53.214,71.277,28.884,47.348,30.857,57.545,6.191,46.899,43.835,51.004,57.545,40.916,0.0,0.0,0.0,0.0,168.462,114.5,196.0,21.243,248.6,159,353,66.963,247.5,172.75,314.75,353,159,0.019,0.357,7.5,7.5,7.5,0.0,7.5,7.5,7.5,7.5,7.5,1500.0,1500.0,1500.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,569.337,25.968,574.073,551.384,583.646,616.678,504.896
0.3,29.297,10.943,73.532,14.588,25.486,19.809,31.343,39.668,10.943,44.212,29.412,67.444,9.525,41.889,37.371,47.747,63.202,29.412,0.0,0.0,0.0,0.0,176.1,148.5,195.0,14.058,137.8,53,254,52.754,130.0,103.75,155.75,228,53,0.023,0.411,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,1800.0,1800.0,1800.0,0.0,1800.0,1800.0,1800.0,1800.0,1800.0,451.096,12.479,447.148,441.311,460.476,473.156,432.857
0.35,23.679,6.936,50.624,12.729,21.665,12.07,31.582,50.624,6.936,38.505,25.287,58.825,9.437,38.343,30.242,41.202,51.758,25.287,0.0,0.0,0.0,0.0,169.2,130.25,196.5,19.02,127.35,31,283,69.76,123.5,71.25,175.5,283,31,0.022,0.41,10.5,10.5,10.5,0.0,10.5,10.5,10.5,10.5,10.5,2100.0,2100.0,2100.0,0.0,2100.0,2100.0,2100.0,2100.0,2100.0,383.021,13.992,384.726,373.079,392.074,408.275,359.906
0.4,9.485,3.305,25.243,5.903,7.591,5.632,11.547,17.538,3.305,25.591,13.251,42.603,8.155,22.58,19.638,31.022,42.603,13.251,0.0,0.0,0.0,0.0,154.65,97.5,189.5,25.278,51.25,12,137,31.747,42.5,28.0,60.25,99,12,0.024,0.449,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,2400.0,2400.0,2400.0,0.0,2400.0,2400.0,2400.0,2400.0,2400.0,327.219,13.937,326.355,316.571,337.365,349.419,301.788
0.45,5.74,1.155,35.211,7.024,4.544,2.494,6.24,7.378,1.155,19.771,5.801,54.929,9.978,20.193,12.68,23.056,26.511,5.801,0.0,0.0,0.0,0.0,152.7,56.0,193.0,30.723,25.65,4,143,28.472,20.0,14.25,29.5,34,4,0.023,0.45,13.5,13.5,13.5,0.0,13.5,13.5,13.5,13.5,13.5,2700.0,2700.0,2700.0,0.0,2700.0,2700.0,2700.0,2700.0,2700.0,284.016,9.778,281.914,277.834,286.967,291.105,272.826
0.5,2.813,0.44,9.809,2.335,1.764,1.26,3.863,6.707,0.44,13.094,0.334,27.854,7.004,10.814,8.747,17.463,27.854,0.334,0.0,0.0,0.0,0.0,123.85,1.5,178.5,41.217,12.55,0,50,12.69,7.5,3.75,16.25,35,0,0.023,0.456,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,3000.0,3000.0,3000.0,0.0,3000.0,3000.0,3000.0,3000.0,3000.0,250.306,4.611,251.162,246.441,253.273,259.199,241.926
