f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_std,perc_correct_fields_mean,perc_correct_fields_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo,num_fields_active_mean,num_fields_active_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo
0.05,13.911,3.232,32.944,8.456,10.975,7.987,17.671,28.02,3.232,28.549,5.495,49.633,12.05,25.316,22.006,35.231,49.633,5.495,0.246,0.167,0.25,0.018,131.65,33.75,192.75,40.876,73.45,24,167,40.457,62.0,38.75,100.0,167,24,0.032,0.003,0.731,0.053,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.0,3.0,0.0,80.0,80.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,3102.215,35.131,3117.58,3078.696,3122.686,3158.958,3027.775,80.0,0.0,74481.3,72929,76296,885.54,74250.5,73669.0,75147.0,76296,72929,269.35,199,353,54.793,261.5,222.25,329.75,353,199,0.066,0.048,0.082,0.012,0.065,0.055,0.078,0.082,0.048
0.1,16.566,3.247,33.202,8.688,15.743,11.556,22.931,33.202,3.247,29.026,5.639,49.732,11.554,30.292,23.805,35.092,49.732,7.514,0.187,0.0,0.25,0.108,125.75,44.25,173.25,36.78,96.8,16,231,51.275,104.5,60.5,119.25,162,16,0.039,0.004,0.776,0.05,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,6.0,0.0,160.0,160.0,160.0,0.0,160.0,160.0,160.0,160.0,160.0,2505.279,63.946,2485.333,2465.064,2556.213,2636.162,2372.484,160.0,0.0,66314.6,64631,67763,763.822,66210.5,65741.25,66719.0,67763,64631,422.0,268,649,110.41,417.0,329.0,499.5,649,268,0.155,0.125,0.198,0.018,0.154,0.143,0.166,0.198,0.125
0.15,27.278,8.811,70.729,14.985,23.646,17.384,30.166,45.742,8.811,37.803,21.516,64.24,11.132,37.13,32.719,42.333,54.207,21.516,0.0,0.0,0.0,0.0,145.15,105.5,189.5,26.424,151.5,42,316,71.906,148.5,104.75,194.5,316,42,0.044,0.005,0.722,0.044,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,1.2,0.0,9.0,0.0,240.0,240.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,2148.39,49.45,2148.977,2113.494,2180.01,2269.946,2072.406,240.0,0.0,57646.45,55755,59816,1065.785,57714.5,56567.75,58322.75,59816,55755,879.35,562,1120,132.975,894.5,770.0,982.5,1120,562,0.296,0.225,0.352,0.031,0.29,0.278,0.319,0.352,0.225
0.2,19.96,6.187,34.375,8.742,21.094,13.165,26.978,34.375,6.187,33.439,14.87,56.48,10.315,33.634,27.25,41.246,56.48,14.87,0.0,0.0,0.0,0.0,135.3,86.0,192.25,30.107,112.55,19,210,55.712,118.0,68.25,164.5,210,19,0.051,0.007,0.707,0.04,1.6,1.6,1.6,0.0,1.6,1.6,1.6,1.6,1.6,1.6,0.0,12.0,0.0,320.0,320.0,320.0,0.0,320.0,320.0,320.0,320.0,320.0,1818.248,50.16,1809.834,1788.903,1867.522,1906.907,1737.48,320.0,0.0,50417.85,47601,51994,1125.95,50561.0,49455.5,51444.25,51994,47601,1174.25,792,1474,164.363,1202.5,1095.25,1290.5,1474,861,0.344,0.28,0.405,0.025,0.345,0.331,0.355,0.38,0.315
0.25,14.647,2.98,33.626,7.783,12.721,9.239,20.966,33.626,2.98,29.185,5.058,47.441,11.852,28.74,23.97,39.458,47.441,5.058,0.0,0.0,0.0,0.0,140.588,46.0,173.0,38.104,85.1,21,163,42.988,82.0,45.25,110.75,163,21,0.051,0.005,0.689,0.043,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,15.0,0.0,400.0,400.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,1575.832,44.585,1574.971,1558.789,1598.104,1646.637,1532.681,400.0,0.0,45168.05,43048,47505,1018.948,45162.5,44680.75,45607.25,46604,43309,1576.05,1251,2095,225.817,1532.0,1401.75,1778.75,2095,1251,0.443,0.39,0.518,0.029,0.441,0.429,0.458,0.482,0.39
0.3,16.274,2.864,44.193,11.663,13.281,6.898,20.997,35.44,2.864,33.01,8.288,58.381,15.224,34.856,20.948,42.991,58.381,8.288,0.0,0.0,0.0,0.0,143.375,47.5,193.5,39.376,78.85,10,212,60.689,57.0,33.75,107.25,212,10,0.051,0.009,0.679,0.061,2.4,2.4,2.4,0.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,18.0,0.0,480.0,480.0,480.0,0.0,480.0,480.0,480.0,480.0,480.0,1386.074,46.381,1390.457,1342.724,1426.323,1448.577,1308.151,480.0,0.0,40481.2,36103,43674,1515.74,40318.0,39965.5,41033.25,42618,38403,1984.8,1329,2558,391.515,2040.5,1697.0,2312.5,2558,1329,0.53,0.492,0.592,0.025,0.532,0.51,0.543,0.592,0.492
0.35,14.167,2.479,66.265,13.801,8.922,7.444,14.41,24.37,2.479,27.286,3.185,51.89,12.501,27.029,20.819,32.065,46.961,4.606,0.0,0.0,0.0,0.0,136.3,21.5,191.5,48.046,76.25,16,324,67.565,59.5,37.5,85.25,122,16,0.049,0.007,0.666,0.063,2.8,2.8,2.8,0.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,21.0,0.0,560.0,560.0,560.0,0.0,560.0,560.0,560.0,560.0,560.0,1214.402,39.755,1213.823,1187.891,1246.714,1301.89,1126.887,560.0,0.0,36729.15,31570,38899,1795.359,37191.5,35675.5,38105.75,38899,34253,2405.9,1920,4271,501.717,2240.0,2104.0,2539.25,2918,1920,0.595,0.518,0.632,0.027,0.599,0.584,0.616,0.632,0.542
0.4,10.328,2.113,27.532,8.041,7.61,3.311,18.511,27.532,2.113,23.771,5.808,52.922,14.233,22.111,13.002,30.57,52.922,5.808,0.0,0.0,0.0,0.0,136.05,55.5,197.0,40.04,50.8,2,145,43.992,36.5,15.75,71.5,145,2,0.05,0.005,0.66,0.055,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,3.2,3.2,0.0,24.0,0.0,640.0,640.0,640.0,0.0,640.0,640.0,640.0,640.0,640.0,1083.991,39.81,1085.329,1061.964,1103.76,1164.39,1011.388,640.0,0.0,32995.4,31424,35576,1213.501,32712.5,31992.75,33937.0,35576,31424,2556.7,2001,3627,433.961,2400.0,2281.0,2683.25,3136,2001,0.634,0.59,0.68,0.023,0.638,0.614,0.648,0.68,0.59
0.45,10.377,1.55,48.932,9.797,9.088,4.634,12.021,17.568,1.55,24.602,1.41,46.674,10.553,22.925,18.796,31.98,46.674,1.41,0.0,0.0,0.0,0.0,141.638,8.0,196.5,41.112,51.05,0,278,60.345,25.0,14.0,64.25,103,0,0.046,0.006,0.651,0.055,3.6,3.6,3.6,0.0,3.6,3.6,3.6,3.6,3.6,3.6,0.0,27.0,0.0,720.0,720.0,720.0,0.0,720.0,720.0,720.0,720.0,720.0,965.018,30.905,969.659,936.352,994.194,1011.432,905.954,720.0,0.0,29519.3,27016,32643,1252.353,29271.0,28625.25,30321.5,32643,27016,3155.35,2376,4717,547.677,2963.0,2731.25,3446.0,3920,2376,0.691,0.618,0.745,0.029,0.695,0.669,0.704,0.745,0.662
0.5,5.963,1.368,17.759,4.457,4.732,2.383,6.612,12.754,1.368,17.945,1.946,37.291,9.195,17.787,11.6,23.325,37.291,1.946,0.0,0.0,0.0,0.0,125.25,20.25,198.5,43.876,24.25,2,78,24.037,15.0,7.0,25.25,26,2,0.048,0.003,0.674,0.033,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,30.0,0.0,800.0,800.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,867.21,22.558,862.488,854.178,881.517,918.874,831.139,800.0,0.0,26757.35,24461,28370,920.227,26749.0,26347.0,27158.0,28370,25468,3227.95,2647,3972,354.549,3195.5,2974.5,3393.75,3972,2647,0.664,0.63,0.705,0.019,0.661,0.651,0.674,0.705,0.63
0.55,5.396,1.325,15.605,3.836,3.81,2.836,6.385,10.989,1.325,17.137,1.851,39.578,11.127,14.741,9.468,22.62,39.578,1.851,0.0,0.0,0.0,0.0,122.925,21.5,192.0,52.141,24.0,3,76,21.253,16.5,8.75,29.75,38,3,0.046,0.004,0.673,0.033,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.4,4.4,4.4,0.0,33.0,0.0,880.0,880.0,880.0,0.0,880.0,880.0,880.0,880.0,880.0,785.045,26.579,777.902,768.54,801.565,818.966,736.662,880.0,0.0,23666.45,21752,26272,1065.061,23791.5,23096.25,24250.0,25115,21752,3618.35,3016,4610,378.179,3516.5,3373.5,3831.75,4137,3016,0.748,0.71,0.782,0.02,0.742,0.737,0.768,0.782,0.71
