f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_std,perc_correct_fields_mean,perc_correct_fields_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo,num_fields_active_mean,num_fields_active_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo
0.05,5.359,2.509,11.467,2.613,4.763,3.239,6.653,11.467,2.509,10.805,1.479,33.122,8.945,6.884,3.241,16.395,33.122,1.479,0.25,0.25,0.25,0.0,74.85,5.75,163.75,55.309,30.05,0,83,23.176,29.5,12.5,45.75,83,0,0.043,0.005,0.905,0.071,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.0,2.0,0.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,3614.316,20.188,3612.292,3603.868,3622.649,3638.862,3586.982,30.0,0.0,78664.0,77820,79200,388.824,78690.0,78500.0,78860.0,79200,78140,73.25,0,164,49.073,64.5,54.75,100.0,164,0,0.024,0.015,0.035,0.007,0.025,0.018,0.028,0.035,0.015
0.1,8.107,3.121,23.919,5.325,7.196,4.134,10.094,16.297,3.121,16.081,3.549,50.97,12.739,14.541,4.146,24.153,50.97,3.549,0.228,0.0,0.25,0.067,86.05,20.25,166.25,55.12,46.75,16,130,26.546,40.0,26.75,53.75,86,16,0.056,0.008,0.863,0.053,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,4.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,3300.618,31.232,3305.163,3281.874,3325.39,3356.974,3238.078,60.0,0.0,75649.15,74675,76563,446.908,75573.0,75441.75,75931.5,76563,74869,174.25,67,307,60.396,172.5,131.75,207.5,307,67,0.058,0.035,0.078,0.012,0.059,0.048,0.068,0.078,0.035
0.15,15.823,4.359,46.005,10.492,14.484,7.965,19.461,25.027,4.359,27.385,3.26,52.203,14.0,26.788,18.215,39.129,52.203,3.26,0.0,0.0,0.0,0.0,127.675,14.5,185.5,45.217,91.2,22,228,52.43,91.0,51.5,112.25,189,22,0.067,0.01,0.845,0.053,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.45,0.0,6.0,0.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,3039.614,39.352,3037.75,3008.033,3065.678,3107.651,2973.16,90.0,0.0,71077.15,69039,72293,863.421,71034.0,70835.5,71799.0,72293,69713,313.8,113,561,119.926,314.0,224.75,386.0,561,113,0.105,0.078,0.138,0.015,0.104,0.092,0.116,0.138,0.078
0.2,12.533,4.891,29.091,6.386,11.732,7.92,14.357,19.109,4.891,27.697,7.047,55.286,13.522,24.145,17.84,41.67,55.286,7.047,0.0,0.0,0.0,0.0,124.4,35.5,187.5,47.551,60.45,21,109,26.101,53.5,43.25,77.75,109,21,0.079,0.012,0.869,0.038,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.0,8.0,0.0,120.0,120.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,2808.708,42.577,2799.493,2788.649,2835.748,2895.439,2722.365,120.0,0.0,66530.65,64523,68528,1117.393,66736.0,65587.25,67458.5,68528,64523,327.25,156,524,102.915,299.5,268.0,383.0,524,156,0.126,0.085,0.152,0.014,0.128,0.118,0.134,0.152,0.112
0.25,13.539,3.085,37.096,9.247,9.565,7.914,16.729,27.707,3.085,26.431,3.168,57.265,15.204,24.121,16.678,33.417,57.265,3.168,0.196,0.0,0.25,0.1,124.05,17.75,181.75,46.658,73.0,13,151,39.534,71.0,45.0,96.75,151,13,0.086,0.014,0.86,0.045,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,10.0,0.0,150.0,150.0,150.0,0.0,150.0,150.0,150.0,150.0,150.0,2581.706,42.071,2591.705,2562.999,2613.744,2633.518,2498.997,150.0,0.0,61244.55,57047,64914,2301.405,61557.5,59334.75,62760.75,64914,57047,436.45,210,691,138.207,443.5,314.5,531.25,691,210,0.158,0.122,0.188,0.014,0.159,0.151,0.166,0.188,0.14
0.3,10.611,3.556,19.315,5.181,7.565,6.403,15.312,19.315,3.556,23.507,7.173,44.111,11.198,19.696,14.472,33.37,44.111,7.173,0.0,0.0,0.0,0.0,122.725,42.5,192.0,36.527,52.0,4,136,33.422,53.0,23.75,72.0,136,4,0.084,0.01,0.85,0.037,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.0,12.0,0.0,180.0,180.0,180.0,0.0,180.0,180.0,180.0,180.0,180.0,2386.006,33.482,2392.352,2372.99,2401.421,2440.719,2337.537,180.0,0.0,58647.95,55855,62240,1999.695,58202.5,56981.5,60279.25,62240,55855,622.4,246,994,165.445,620.5,539.5,749.75,994,246,0.225,0.17,0.26,0.023,0.228,0.208,0.246,0.26,0.17
0.35,12.505,4.157,26.54,7.011,10.829,6.159,16.044,26.54,4.157,26.085,5.36,43.573,11.401,24.289,17.963,35.751,43.573,5.36,0.0,0.0,0.0,0.0,125.0,30.0,180.5,38.781,68.0,11,148,40.444,59.5,33.0,100.0,148,11,0.087,0.013,0.856,0.044,1.05,1.05,1.05,0.0,1.05,1.05,1.05,1.05,1.05,1.05,0.0,14.0,0.0,210.0,210.0,210.0,0.0,210.0,210.0,210.0,210.0,210.0,2234.496,43.707,2238.357,2205.448,2267.27,2305.25,2147.61,210.0,0.0,55041.6,52051,57746,1551.387,55325.5,53831.5,56371.5,57746,52051,648.35,305,1054,185.55,636.5,533.75,764.0,1054,305,0.272,0.228,0.312,0.021,0.274,0.257,0.283,0.312,0.228
0.4,8.328,2.994,17.274,3.976,8.594,5.077,10.601,17.274,2.994,18.218,3.11,30.436,9.982,17.295,10.219,28.171,30.436,3.11,0.0,0.0,0.0,0.0,101.2,20.0,194.5,52.871,48.2,12,101,25.365,45.0,29.5,63.25,101,12,0.09,0.01,0.863,0.038,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,1.2,0.0,16.0,0.0,240.0,240.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,2040.651,36.161,2041.945,2021.904,2062.122,2108.392,1991.811,240.0,0.0,51465.45,48450,55205,1915.36,51395.0,50046.75,52823.75,55205,48450,678.75,346,991,154.764,673.0,567.75,769.25,991,346,0.274,0.225,0.31,0.02,0.276,0.261,0.288,0.31,0.225
0.45,8.483,2.564,29.191,6.246,6.304,4.211,9.941,16.97,2.564,19.263,2.123,45.864,13.591,15.64,6.254,28.367,45.864,2.123,0.0,0.0,0.0,0.0,103.325,12.0,192.0,64.549,41.5,1,124,31.882,33.0,19.25,51.0,96,1,0.083,0.009,0.827,0.059,1.35,1.35,1.35,0.0,1.35,1.35,1.35,1.35,1.35,1.35,0.0,18.0,0.0,270.0,270.0,270.0,0.0,270.0,270.0,270.0,270.0,270.0,1909.26,41.236,1920.247,1881.591,1937.657,1981.989,1820.79,270.0,0.0,48573.5,41901,51153,2194.116,49212.0,48171.0,49667.0,51153,46712,1010.55,372,1716,343.902,982.0,755.0,1289.25,1716,372,0.353,0.308,0.385,0.022,0.356,0.339,0.371,0.385,0.308
0.5,8.705,3.021,19.601,5.063,7.803,4.021,12.027,19.601,3.021,20.724,3.366,41.097,12.822,22.149,7.614,31.186,41.097,3.366,0.187,0.0,0.25,0.108,100.925,20.25,168.25,46.596,35.05,12,88,19.805,32.5,19.25,42.75,67,12,0.085,0.007,0.854,0.032,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,20.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,1763.49,39.35,1751.449,1737.864,1789.251,1865.675,1703.5,300.0,0.0,45953.75,43725,47705,1041.846,46207.0,45578.75,46579.25,47705,44084,921.4,537,1243,178.929,938.5,815.5,1030.75,1243,537,0.324,0.302,0.342,0.009,0.324,0.32,0.329,0.34,0.312
