f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,42.871,13.357,98.005,19.498,37.71,32.428,48.1,51.013,13.357,31.12,12.4,62.073,13.061,28.176,26.716,28.623,29.746,25.234,0.25,0.25,0.25,0.0,111.9,91.25,196.75,35.708,316.55,192,374,47.066,330.0,300.5,352.5,374,230,0.042,0.666,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,880.577,16.722,883.576,864.144,888.544,903.58,844.179
0.1,39.096,10.311,59.246,14.29,40.71,26.477,49.672,59.246,10.311,41.413,16.953,61.867,12.163,42.017,33.498,51.938,61.867,16.953,0.25,0.25,0.25,0.0,142.575,92.75,188.75,30.664,229.75,99,318,54.0,249.0,193.75,265.75,318,99,0.034,0.609,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,40.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,622.903,29.372,626.164,605.214,639.624,681.375,567.926
0.15,40.759,21.341,65.96,11.529,39.52,32.771,44.458,57.164,21.341,44.425,31.499,63.822,8.634,42.552,38.277,49.035,63.822,31.499,0.0,0.0,0.0,0.0,152.962,99.5,194.75,25.463,223.2,147,330,51.217,218.0,188.0,264.75,330,147,0.028,0.676,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,60.0,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,537.688,29.794,542.639,522.584,549.536,586.214,494.119
0.2,35.23,20.872,54.213,9.036,34.172,29.048,42.552,54.213,20.872,43.591,32.29,56.372,6.975,41.934,39.963,46.787,56.372,32.29,0.237,0.0,0.25,0.054,150.625,107.75,196.75,21.971,200.6,115,318,53.802,196.0,160.0,235.75,318,115,0.028,0.619,1.6,1.6,1.6,0.0,1.6,1.6,1.6,1.6,1.6,80.0,80.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,439.028,24.638,441.435,424.674,458.923,475.683,380.919
0.25,37.165,15.864,57.664,12.827,40.528,24.844,46.946,57.664,15.864,41.737,26.625,58.256,9.757,40.29,33.938,51.194,58.256,26.625,0.037,0.0,0.25,0.089,144.742,94.083,182.25,26.453,214.35,75,328,63.998,215.5,161.5,255.0,328,75,0.028,0.615,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,388.16,21.735,384.692,375.411,400.227,436.182,345.01
0.3,36.634,10.1,71.7,14.919,36.396,25.079,46.997,71.7,10.1,42.582,22.026,57.984,9.816,42.226,36.433,51.148,57.984,22.026,0.012,0.0,0.25,0.054,155.538,112.0,190.0,24.123,201.1,83,342,69.482,204.0,158.0,249.25,342,83,0.028,0.578,2.4,2.4,2.4,0.0,2.4,2.4,2.4,2.4,2.4,120.0,120.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,328.62,19.61,330.393,318.292,338.465,357.483,293.812
0.35,32.977,14.489,51.667,10.046,32.161,26.035,40.862,51.667,14.489,44.311,31.342,60.789,8.271,43.344,40.461,48.58,57.387,31.342,0.0,0.0,0.0,0.0,164.538,101.75,195.25,22.701,182.65,104,281,50.681,176.5,148.25,231.0,281,104,0.03,0.572,2.8,2.8,2.8,0.0,2.8,2.8,2.8,2.8,2.8,140.0,140.0,140.0,0.0,140.0,140.0,140.0,140.0,140.0,302.545,22.996,306.995,280.497,317.374,343.752,270.482
0.4,36.293,13.985,61.33,14.571,31.959,26.003,45.158,61.33,13.985,44.292,27.599,63.938,10.396,40.359,37.503,53.638,63.938,27.599,0.246,0.167,0.25,0.018,166.25,120.25,196.25,23.527,199.0,70,356,73.262,205.5,157.5,237.0,356,70,0.031,0.538,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,3.2,160.0,160.0,160.0,0.0,160.0,160.0,160.0,160.0,160.0,258.806,20.946,256.857,243.672,267.876,302.689,222.576
0.45,31.402,15.065,53.363,10.772,30.515,21.323,37.485,53.363,15.065,41.445,23.126,63.042,10.34,39.065,35.673,48.462,63.042,23.126,0.0,0.0,0.0,0.0,154.15,89.5,190.0,25.288,183.85,101,276,50.546,171.5,147.75,220.5,276,101,0.032,0.561,3.6,3.6,3.6,0.0,3.6,3.6,3.6,3.6,3.6,180.0,180.0,180.0,0.0,180.0,180.0,180.0,180.0,180.0,244.086,16.265,244.845,234.387,251.459,268.804,229.136
0.5,27.184,14.145,59.731,9.267,25.351,23.0,28.531,32.743,15.223,40.664,29.277,66.413,7.235,39.202,37.448,42.645,47.296,32.56,0.0,0.0,0.0,0.0,158.062,121.5,196.0,20.499,152.45,75,277,48.931,136.5,126.25,183.0,233,75,0.036,0.55,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,209.638,12.958,206.747,201.815,221.557,235.36,188.851
