f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_std,perc_correct_fields_mean,perc_correct_fields_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo,num_fields_active_mean,num_fields_active_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo
0.05,42.073,17.448,68.205,14.379,39.543,31.801,51.916,68.205,17.448,39.658,17.855,61.301,11.283,36.489,31.564,49.63,61.301,17.855,0.116,0.0,0.25,0.122,143.775,89.25,197.75,35.22,273.55,194,366,50.779,265.0,234.25,307.75,366,194,0.022,0.003,0.52,0.028,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,2.4,0.0,75.0,75.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,684.771,20.788,682.809,663.087,702.739,722.721,642.767,75.0,0.0,13517.25,12680,14276,415.453,13483.0,13088.25,13875.25,14276,12680,113.7,96,130,8.747,114.5,107.75,120.0,130,96,0.13,0.122,0.14,0.005,0.13,0.127,0.133,0.14,0.122
0.1,60.468,33.415,78.359,12.618,64.398,49.032,70.743,78.359,33.415,47.917,33.97,64.177,8.459,49.745,40.272,53.832,64.177,33.97,0.062,0.0,0.25,0.108,164.712,129.75,197.75,18.404,318.45,245,352,21.967,322.0,309.25,329.0,352,299,0.015,0.003,0.325,0.032,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,6.0,0.0,150.0,150.0,150.0,0.0,150.0,150.0,150.0,150.0,150.0,325.427,32.684,332.642,305.614,338.903,342.636,266.073,150.0,0.0,7892.35,6775,10128,779.966,7816.5,7448.0,8187.75,8303,6775,450.15,413,492,19.129,448.5,438.75,462.5,492,413,0.386,0.365,0.4,0.011,0.385,0.381,0.396,0.4,0.365
0.15,62.166,50.985,79.561,8.27,59.783,55.57,67.985,79.561,50.985,50.333,34.145,58.672,5.461,50.618,48.285,54.533,58.672,43.495,0.0,0.0,0.0,0.0,172.55,122.5,195.0,17.206,312.8,272,346,22.378,317.0,299.75,329.75,346,272,0.017,0.003,0.361,0.042,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,8.4,0.0,225.0,225.0,225.0,0.0,225.0,225.0,225.0,225.0,225.0,244.039,17.188,249.06,232.935,255.665,275.104,202.731,225.0,0.0,7156.25,5597,8205,627.947,7114.0,6889.0,7613.5,8205,6090,630.35,574,696,38.027,637.5,602.5,657.0,696,574,0.639,0.618,0.655,0.009,0.639,0.635,0.645,0.655,0.63
0.2,55.896,47.271,74.445,7.13,53.898,50.643,59.639,68.602,47.271,46.817,33.156,62.17,7.328,47.643,42.293,51.239,62.17,33.156,0.0,0.0,0.0,0.0,171.038,134.5,197.0,16.167,305.05,253,342,24.955,305.5,284.75,325.5,342,253,0.017,0.003,0.353,0.052,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,12.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,157.611,16.983,157.639,146.49,160.579,164.663,136.487,300.0,0.0,5386.9,4418,6581,496.608,5297.0,5199.5,5538.0,5639,5012,842.55,704,981,70.811,838.5,796.0,880.25,981,704,0.823,0.802,0.835,0.007,0.825,0.82,0.828,0.835,0.815
0.25,56.895,39.751,78.088,10.762,53.262,48.38,64.613,78.088,39.751,49.277,37.76,62.39,6.158,49.461,45.277,52.735,62.39,37.76,0.0,0.0,0.0,0.0,173.6,142.25,197.0,14.32,293.2,222,345,30.194,302.0,270.75,313.25,345,222,0.016,0.004,0.348,0.066,7.5,7.5,7.5,0.0,7.5,7.5,7.5,7.5,7.5,7.5,0.0,14.4,0.0,375.0,375.0,375.0,0.0,375.0,375.0,375.0,375.0,375.0,139.548,10.883,141.744,130.62,146.329,160.276,119.956,375.0,0.0,4912.65,4209,6116,454.412,4912.5,4531.25,5158.0,5440,4209,1071.55,819,1256,102.569,1090.5,1026.5,1121.0,1256,885,0.894,0.878,0.91,0.008,0.892,0.889,0.898,0.91,0.878
0.3,55.537,39.171,72.198,8.583,54.275,49.6,62.939,72.198,39.171,48.207,31.512,57.541,6.645,50.507,44.572,52.823,57.541,36.344,0.012,0.0,0.25,0.054,177.612,118.25,196.25,19.694,299.45,220,353,35.437,304.0,278.5,324.5,353,220,0.015,0.004,0.299,0.06,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,18.0,0.0,450.0,450.0,450.0,0.0,450.0,450.0,450.0,450.0,450.0,110.87,10.14,109.778,103.782,117.874,130.699,94.4,450.0,0.0,3662.5,3018,4441,342.559,3736.5,3407.5,3861.5,4441,3018,1431.3,1231,1695,109.912,1406.0,1374.25,1465.25,1567,1275,0.859,0.85,0.87,0.006,0.858,0.854,0.862,0.87,0.85
0.35,49.955,37.345,76.133,9.126,47.982,43.616,52.688,62.969,37.345,46.752,35.286,55.59,5.841,46.849,42.171,52.265,55.59,35.286,0.0,0.0,0.0,0.0,175.325,147.5,190.0,11.344,274.55,210,346,33.317,275.5,251.75,300.5,346,210,0.017,0.002,0.324,0.042,10.5,10.5,10.5,0.0,10.5,10.5,10.5,10.5,10.5,10.5,0.0,20.4,0.0,525.0,525.0,525.0,0.0,525.0,525.0,525.0,525.0,525.0,96.842,6.72,96.013,91.868,100.105,109.766,85.897,525.0,0.0,3255.85,2794,3753,246.486,3238.5,3163.0,3452.5,3753,2794,1590.8,1382,1707,86.359,1621.0,1538.5,1654.75,1707,1382,0.886,0.87,0.898,0.006,0.885,0.882,0.89,0.898,0.88
0.4,50.819,38.871,73.997,9.828,47.849,43.125,55.857,73.997,38.871,45.724,32.028,59.753,6.925,45.714,40.768,50.034,59.753,32.028,0.0,0.0,0.0,0.0,173.575,136.0,197.0,16.686,282.4,220,348,37.608,279.5,254.75,315.0,348,220,0.015,0.005,0.27,0.074,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,24.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,83.846,9.823,81.289,77.911,86.433,95.51,72.764,600.0,0.0,2432.05,1623,2880,278.801,2436.0,2260.5,2605.25,2880,2192,1879.8,1684,2335,186.866,1821.5,1754.75,1904.25,1937,1684,0.981,0.972,0.995,0.006,0.98,0.977,0.983,0.99,0.972
0.45,52.806,37.969,78.501,10.497,52.705,45.283,57.373,68.416,37.969,46.498,37.538,55.856,4.985,46.349,42.817,50.743,55.856,37.538,0.012,0.0,0.25,0.054,180.05,150.75,193.5,10.365,291.85,226,355,37.223,298.5,264.0,313.25,355,226,0.013,0.004,0.24,0.066,13.5,13.5,13.5,0.0,13.5,13.5,13.5,13.5,13.5,13.5,0.0,26.4,0.0,675.0,675.0,675.0,0.0,675.0,675.0,675.0,675.0,675.0,79.155,6.849,77.658,73.732,83.449,93.917,68.721,675.0,0.0,2123.1,1238,2813,323.609,2182.5,1980.5,2349.5,2813,1667,2305.2,2059,2704,195.369,2262.5,2161.5,2329.25,2579,2059,0.972,0.962,0.978,0.004,0.972,0.969,0.975,0.978,0.962
0.5,56.786,34.2,78.011,11.811,55.807,48.709,64.371,78.011,34.2,47.229,32.195,58.661,6.787,46.679,45.283,50.061,56.751,38.431,0.043,0.0,0.5,0.12,179.905,129.5,193.5,14.826,309.65,208,357,40.86,315.5,287.5,342.5,357,208,0.01,0.004,0.191,0.075,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,30.0,0.0,750.0,750.0,750.0,0.0,750.0,750.0,750.0,750.0,750.0,72.715,10.042,71.059,66.305,75.897,83.068,58.749,750.0,0.0,1538.85,1109,2079,229.845,1557.5,1381.0,1680.0,2079,1109,2752.55,2315,3124,233.978,2780.5,2629.0,2966.25,3124,2315,0.928,0.918,0.938,0.004,0.929,0.925,0.93,0.938,0.918
