f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,5.63,2.343,17.693,3.715,4.313,3.55,6.099,8.01,2.343,16.461,3.822,47.366,10.83,13.332,8.919,20.787,31.767,3.822,0.0,0.0,0.0,0.0,104.538,35.0,177.5,48.393,25.1,9,45,9.969,25.0,18.0,28.25,43,9,0.18,0.986,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.15,600.0,600.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,73719.188,52.673,73716.114,73679.122,73743.059,73832.371,73628.528
0.1,6.075,2.295,11.785,2.821,5.249,3.957,9.081,11.785,2.295,19.751,3.854,38.75,10.055,19.023,12.447,29.67,38.75,3.854,0.0,0.0,0.0,0.0,111.2,31.0,175.5,47.231,20.15,9,32,5.935,19.5,15.75,25.0,32,9,0.178,0.988,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,1200.0,1200.0,68012.524,67.866,68003.445,67963.759,68075.875,68136.606,67898.494
0.15,4.619,2.087,11.53,2.49,3.654,2.92,6.58,11.53,2.087,14.916,2.523,36.417,10.155,13.657,5.732,24.929,36.417,2.523,0.0,0.0,0.0,0.0,96.45,17.0,170.5,56.901,16.0,9,32,5.254,15.5,12.0,19.25,21,9,0.17,0.985,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.45,0.45,1800.0,1800.0,1800.0,0.0,1800.0,1800.0,1800.0,1800.0,1800.0,62563.161,113.291,62557.48,62492.019,62623.654,62769.914,62372.805
0.2,4.242,1.917,8.168,1.849,4.06,2.561,5.257,8.168,1.917,14.639,2.952,29.586,8.978,14.507,5.086,22.504,29.586,2.952,0.0,0.0,0.0,0.0,105.5,24.0,178.5,52.835,14.95,10,19,3.5,14.0,11.75,19.0,19,10,0.163,0.983,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,2400.0,2400.0,2400.0,0.0,2400.0,2400.0,2400.0,2400.0,2400.0,57490.612,119.95,57490.87,57397.235,57569.145,57761.282,57306.048
0.25,5.206,1.795,7.539,1.704,5.321,3.693,6.737,7.539,1.795,20.932,3.196,31.516,8.487,22.385,15.981,28.232,31.516,3.196,0.0,0.0,0.0,0.0,134.9,22.0,179.5,41.797,13.45,6,19,2.889,13.5,12.0,15.0,19,10,0.151,0.981,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,3000.0,3000.0,3000.0,0.0,3000.0,3000.0,3000.0,3000.0,3000.0,52783.905,125.771,52790.341,52710.955,52859.353,53024.034,52518.802
0.3,3.73,1.838,5.633,1.239,3.806,2.677,4.605,5.633,1.838,15.573,2.566,27.354,7.653,17.899,9.173,21.868,27.354,2.566,0.0,0.0,0.0,0.0,119.125,22.5,177.0,46.927,11.8,7,19,3.28,11.0,9.0,13.25,19,7,0.141,0.978,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.9,3600.0,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,3600.0,3600.0,48509.444,113.422,48485.621,48408.115,48589.74,48762.663,48329.889
0.35,3.272,1.731,5.341,1.174,3.306,2.175,4.247,5.341,1.731,13.731,2.693,26.916,7.799,16.861,5.406,20.776,26.916,2.693,0.0,0.0,0.0,0.0,107.225,22.0,174.5,55.823,10.9,6,19,3.74,10.0,8.0,13.0,19,6,0.13,0.969,1.05,1.05,1.05,0.0,1.05,1.05,1.05,1.05,1.05,4200.0,4200.0,4200.0,0.0,4200.0,4200.0,4200.0,4200.0,4200.0,44684.105,122.57,44681.748,44628.144,44733.419,44885.272,44526.78
0.4,3.3,1.563,5.655,1.29,3.29,2.021,4.36,5.655,1.563,14.575,2.47,27.42,8.092,17.075,5.754,21.181,27.42,2.47,0.0,0.0,0.0,0.0,117.075,18.0,174.5,56.411,10.2,3,18,3.172,11.0,8.75,11.25,14,5,0.119,0.956,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,4800.0,4800.0,4800.0,0.0,4800.0,4800.0,4800.0,4800.0,4800.0,41285.789,172.841,41327.072,41216.312,41360.456,41458.165,41075.88
0.45,2.528,1.342,5.169,1.167,2.077,1.735,3.012,4.79,1.342,9.848,2.363,24.86,7.606,5.315,4.046,15.972,24.86,2.363,0.0,0.0,0.0,0.0,79.55,19.0,179.5,58.361,10.1,7,19,2.809,9.5,8.0,11.0,13,7,0.111,0.951,1.35,1.35,1.35,0.0,1.35,1.35,1.35,1.35,1.35,5400.0,5400.0,5400.0,0.0,5400.0,5400.0,5400.0,5400.0,5400.0,38197.335,146.074,38188.0,38063.088,38309.005,38525.2,37950.715
0.5,2.475,1.326,5.686,1.219,1.823,1.606,3.403,5.686,1.326,9.938,2.386,25.962,7.414,5.819,3.7,17.152,25.962,2.386,0.0,0.0,0.0,0.0,80.725,19.0,156.0,52.724,8.75,6,14,2.142,8.0,7.0,10.0,14,6,0.106,0.956,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,6000.0,6000.0,6000.0,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,35424.843,122.945,35413.299,35347.468,35532.792,35675.372,35243.549
