pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.874,0.67,0.0,3.5,0.023,0.875,2.4,2.4,18.0,120.0,120.0,845,95,0.432,21.133
0.927,0.96,0.0,7.75,0.021,0.783,2.4,2.4,18.0,120.0,120.0,1596,138,0.44,19.702
1.376,3.86,0.0,53.929,0.023,0.875,2.4,2.4,18.0,120.0,120.0,1193,116,0.435,20.985
0.796,0.58,0.0,2.5,0.023,0.95,2.4,2.4,18.0,120.0,120.0,1099,50,0.45,22.249
1.044,1.436,0.0,13.526,0.023,0.825,2.4,2.4,18.0,120.0,120.0,1274,116,0.427,20.847
0.808,0.608,0.0,3.0,0.022,0.858,2.4,2.4,18.0,120.0,120.0,1364,75,0.443,21.238
0.847,0.653,0.0,3.5,0.022,0.883,2.4,2.4,18.0,120.0,120.0,1324,102,0.44,21.159
1.493,7.12,0.0,107.5,0.023,0.925,2.4,2.4,18.0,120.0,120.0,849,72,0.438,21.473
1.397,4.461,0.0,52.25,0.023,0.883,2.4,2.4,18.0,120.0,120.0,1051,83,0.432,21.264
0.82,0.631,0.0,4.0,0.023,0.892,2.4,2.4,18.0,120.0,120.0,1145,84,0.43,20.458
0.821,0.638,0.0,3.6,0.023,0.867,2.4,2.4,18.0,120.0,120.0,1217,95,0.438,21.362
0.885,0.663,0.0,2.875,0.023,0.85,2.4,2.4,18.0,120.0,120.0,1062,69,0.43,21.974
0.892,0.745,0.0,4.5,0.023,0.842,2.4,2.4,18.0,120.0,120.0,1408,104,0.42,21.047
0.835,0.952,0.0,11.5,0.023,0.833,2.4,2.4,18.0,120.0,120.0,1167,111,0.427,20.481
1.303,3.618,0.0,39.5,0.025,0.85,2.4,2.4,18.0,120.0,120.0,1279,105,0.425,21.298
1.006,1.128,0.0,12.25,0.024,0.883,2.4,2.4,18.0,120.0,120.0,1090,85,0.432,22.719
0.845,0.679,0.0,3.5,0.023,0.908,2.4,2.4,18.0,120.0,120.0,965,41,0.427,21.491
0.794,0.661,0.0,5.0,0.023,0.883,2.4,2.4,18.0,120.0,120.0,1019,88,0.435,22.176
1.106,2.919,0.0,34.0,0.023,0.85,2.4,2.4,18.0,120.0,120.0,1426,95,0.425,20.902
0.868,0.772,0.0,5.25,0.023,0.858,2.4,2.4,18.0,120.0,120.0,1173,99,0.427,20.96
