pos_error_mean,pos_error_std,pos_error_min,pos_error_max,pos_error_num_cat,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,f,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_num_cat_max,pos_error_num_cat_mean,pos_error_num_cat_median,pos_error_num_cat_min,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_std,pos_error_num_cat_whishi,pos_error_num_cat_whislo,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
8.543,23.924,0.0,135.3,29.85,0.084,0.861,1.65,330.0,1628.617,1.65,1.65,1.65,1.65,1.65,1.65,0.0,1.65,1.65,0.55,0.084,330.0,330.0,330.0,330.0,330.0,330.0,0.0,330.0,330.0,0.861,191.0,135.3,22.5,48.024,19.59,8.543,7.36,2.635,5.276,10.421,4.673,18.112,2.635,0.0,0.0,0.0,0.0,81,29.85,22.5,2,14.75,43.5,21.237,81,2,46.192,23.924,25.016,3.573,16.975,32.027,11.73,46.192,3.573,1628.617,1623.247,1614.794,1651.037,34.649,1687.288,1578.537
6.619,17.522,0.0,106.35,28.65,0.083,0.848,1.8,360.0,1525.028,1.8,1.8,1.8,1.8,1.8,1.8,0.0,1.8,1.8,0.6,0.083,360.0,360.0,360.0,360.0,360.0,360.0,0.0,360.0,360.0,0.848,193.0,106.35,16.5,61.007,14.534,6.619,6.619,2.533,3.826,8.205,3.037,14.534,2.533,0.0,0.0,0.0,0.0,66,28.65,25.0,6,18.0,35.0,15.173,53,6,35.116,17.522,20.358,2.544,5.944,25.519,10.302,35.116,2.544,1525.028,1523.62,1508.389,1544.961,34.362,1587.266,1457.306
7.469,21.735,0.0,126.85,27.25,0.079,0.836,1.95,390.0,1424.648,1.95,1.95,1.95,1.95,1.95,1.95,0.0,1.95,1.95,0.65,0.079,390.0,390.0,390.0,390.0,390.0,390.0,0.0,390.0,390.0,0.836,183.0,126.85,31.0,44.002,14.487,7.469,6.735,3.72,5.587,9.339,2.787,14.487,3.72,0.0,0.0,0.0,0.0,56,27.25,25.0,9,14.5,34.25,14.574,56,9,38.912,21.735,22.068,4.454,16.559,25.605,8.408,38.912,4.454,1424.648,1425.329,1398.339,1445.708,38.32,1499.052,1348.588
5.925,15.229,0.0,88.85,26.45,0.08,0.854,2.1,420.0,1320.778,2.1,2.1,2.1,2.1,2.1,2.1,0.0,2.1,2.1,0.7,0.08,420.0,420.0,420.0,420.0,420.0,420.0,0.0,420.0,420.0,0.854,186.0,88.85,18.0,58.046,17.117,5.925,4.628,2.686,3.353,8.148,3.473,10.973,2.686,0.0,0.0,0.0,0.0,93,26.45,19.0,9,13.75,38.25,19.195,47,9,43.621,15.229,11.633,2.934,4.966,21.448,11.553,43.621,2.934,1320.778,1316.175,1296.54,1331.857,28.21,1361.722,1285.024
6.433,15.701,0.0,99.0,25.0,0.08,0.855,2.25,450.0,1229.321,2.25,2.25,2.25,2.25,2.25,2.25,0.0,2.25,2.25,0.75,0.08,450.0,450.0,450.0,450.0,450.0,450.0,0.0,450.0,450.0,0.855,181.5,99.0,11.0,56.279,34.75,6.433,4.25,2.237,2.78,6.802,7.063,10.512,2.237,0.0,0.0,0.0,0.0,205,25.0,12.5,2,7.75,22.25,43.494,27,2,43.393,15.701,16.363,2.059,5.875,22.936,11.178,43.393,2.059,1229.321,1233.04,1207.381,1245.839,31.928,1291.412,1166.852
4.52,12.498,0.0,76.4,12.1,0.08,0.851,2.4,480.0,1147.306,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.8,0.08,480.0,480.0,480.0,480.0,480.0,480.0,0.0,480.0,480.0,0.851,176.5,76.4,10.0,59.482,11.564,4.52,3.089,2.085,2.424,5.718,2.824,9.616,2.085,0.0,0.0,0.0,0.0,28,12.1,10.0,1,6.75,16.5,7.176,28,1,39.272,12.498,8.047,1.743,2.527,19.595,11.613,39.272,1.743,1147.306,1149.561,1134.555,1159.991,15.466,1182.216,1120.219
5.329,15.534,0.0,91.7,17.75,0.076,0.816,2.55,510.0,1068.94,2.55,2.55,2.55,2.55,2.55,2.55,0.0,2.55,2.55,0.85,0.076,510.0,510.0,510.0,510.0,510.0,510.0,0.0,510.0,510.0,0.816,182.0,91.7,13.0,61.872,13.458,5.329,4.437,2.136,2.711,6.483,3.149,10.876,2.136,0.0,0.0,0.0,0.0,55,17.75,13.0,6,10.75,20.5,11.924,32,6,42.688,15.534,12.196,2.17,3.705,25.016,11.862,42.688,2.17,1068.94,1066.51,1048.072,1090.949,22.289,1107.471,1040.13
3.868,11.371,0.0,76.925,13.05,0.079,0.857,2.7,540.0,995.154,2.7,2.7,2.7,2.7,2.7,2.7,0.0,2.7,2.7,0.9,0.079,540.0,540.0,540.0,540.0,540.0,540.0,0.0,540.0,540.0,0.857,180.5,76.925,10.5,63.086,12.213,3.868,3.362,1.684,1.929,4.796,2.405,6.04,1.684,0.0,0.0,0.0,0.0,30,13.05,12.0,1,5.0,17.0,8.795,30,1,39.359,11.371,9.494,1.659,2.138,16.844,10.225,26.157,1.659,995.154,994.902,986.535,1000.861,12.245,1016.629,968.571
4.272,14.638,0.0,104.125,12.7,0.077,0.833,2.85,570.0,934.844,2.85,2.85,2.85,2.85,2.85,2.85,0.0,2.85,2.85,0.95,0.077,570.0,570.0,570.0,570.0,570.0,570.0,0.0,570.0,570.0,0.833,192.0,104.125,17.0,60.889,8.318,4.272,3.786,2.128,2.497,5.326,1.972,8.318,2.128,0.0,0.0,0.0,0.0,21,12.7,13.0,2,9.75,16.0,5.129,21,2,33.013,14.638,13.232,2.08,4.537,22.552,10.273,33.013,2.08,934.844,933.375,924.129,943.25,12.129,962.641,918.539
3.74,12.013,0.0,82.438,9.9,0.077,0.843,3.0,600.0,881.414,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,0.077,600.0,600.0,600.0,600.0,600.0,600.0,0.0,600.0,600.0,0.843,182.0,82.438,9.25,67.625,11.554,3.74,2.468,1.638,1.933,4.654,2.645,7.548,1.638,0.0,0.0,0.0,0.0,27,9.9,10.0,0,4.5,13.25,6.826,22,0,40.1,12.013,6.611,1.554,1.951,19.782,11.47,40.1,1.554,881.414,882.505,872.95,889.85,11.364,903.335,861.297
