pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
5.144,23.132,0.0,119.75,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1380182,6699,0.492,3100.783
5.145,23.16,0.0,119.75,0.028,0.9,2.4,2.4,18.0,9600.0,9600.0,1381007,6692,0.525,3100.707
5.1,22.968,0.0,119.25,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1381131,6653,0.477,3100.782
5.421,23.519,0.0,119.25,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1377710,7008,0.477,3100.459
5.121,23.032,0.0,119.25,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1380229,6655,0.53,3100.807
5.144,23.16,0.0,119.75,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1381715,6642,0.515,3100.695
5.157,23.157,0.0,119.75,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1380123,6657,0.547,3100.662
5.152,23.158,0.0,119.75,0.028,0.9,2.4,2.4,18.0,9600.0,9600.0,1381525,6676,0.54,3100.667
5.136,23.162,0.0,119.75,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1381690,6694,0.537,3100.655
4.814,22.309,0.0,119.25,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1385047,6258,0.472,3100.479
5.449,23.644,0.0,119.25,0.028,0.9,2.4,2.4,18.0,9600.0,9600.0,1377923,6998,0.51,3100.763
5.081,22.883,0.0,119.75,0.028,0.9,2.4,2.4,18.0,9600.0,9600.0,1382359,6617,0.472,3100.761
5.129,23.129,0.0,119.75,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1381784,6653,0.515,3100.78
4.825,22.333,0.0,119.25,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1383349,6285,0.527,3100.658
5.086,22.953,0.0,119.25,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1380126,6663,0.497,3100.484
5.086,22.917,0.0,119.25,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1381764,6666,0.542,3100.494
5.449,23.855,0.0,119.75,0.028,0.898,2.4,2.4,18.0,9600.0,9600.0,1378493,7025,0.515,3100.933
4.556,21.718,0.0,119.25,0.028,0.9,2.4,2.4,18.0,9600.0,9600.0,1386390,5891,0.547,3100.642
4.776,22.159,0.0,119.25,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1385159,6253,0.495,3100.471
5.144,23.16,0.0,119.75,0.028,0.899,2.4,2.4,18.0,9600.0,9600.0,1380760,6617,0.458,3100.657
