pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
0.208,0.326,0.0,3.0,0.036,0.938,2.4,18.0,9600.0
0.205,0.327,0.0,3.0,0.036,0.94,2.4,18.0,9600.0
0.201,0.323,0.0,3.0,0.035,0.939,2.4,18.0,9600.0
0.213,0.328,0.0,3.0,0.036,0.941,2.4,18.0,9600.0
0.196,0.326,0.0,3.0,0.036,0.929,2.4,18.0,9600.0
0.215,0.33,0.0,3.0,0.036,0.932,2.4,18.0,9600.0
0.22,0.331,0.0,3.0,0.037,0.937,2.4,18.0,9600.0
0.213,0.328,0.0,3.0,0.036,0.938,2.4,18.0,9600.0
0.194,0.326,0.0,3.0,0.036,0.943,2.4,18.0,9600.0
0.21,0.336,0.0,3.0,0.036,0.937,2.4,18.0,9600.0
0.198,0.328,0.0,3.0,0.036,0.938,2.4,18.0,9600.0
0.207,0.324,0.0,3.0,0.036,0.934,2.4,18.0,9600.0
0.213,0.33,0.0,3.0,0.036,0.936,2.4,18.0,9600.0
0.205,0.329,0.0,3.0,0.036,0.941,2.4,18.0,9600.0
0.206,0.324,0.0,3.0,0.036,0.934,2.4,18.0,9600.0
0.206,0.326,0.0,3.0,0.036,0.941,2.4,18.0,9600.0
0.198,0.326,0.0,3.0,0.036,0.93,2.4,18.0,9600.0
0.21,0.326,0.0,3.0,0.036,0.938,2.4,18.0,9600.0
0.212,0.324,0.0,3.0,0.036,0.939,2.4,18.0,9600.0
0.203,0.329,0.0,3.0,0.036,0.942,2.4,18.0,9600.0
