f,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,pos_error_num_cat_mean,pos_error_num_cat_min,pos_error_num_cat_max,pos_error_num_cat_std,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.05,33.375,14.987,78.725,13.669,32.487,25.366,36.472,47.304,14.987,41.574,24.738,64.03,11.818,40.096,30.204,49.164,64.03,24.738,0.25,0.25,0.25,0.0,150.425,104.75,196.75,31.405,198.85,137,296,47.205,200.5,154.75,229.5,296,137,0.041,0.691,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,40.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,1573.04,24.886,1567.012,1552.386,1586.583,1600.525,1534.787
0.1,22.349,7.556,42.747,8.51,21.487,18.685,26.505,33.691,7.556,33.544,12.194,48.221,8.444,33.346,30.0,40.535,48.221,20.904,0.237,0.0,0.25,0.054,134.525,68.75,172.75,26.454,143.4,61,236,52.624,149.5,99.0,169.0,236,61,0.028,0.693,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,80.0,80.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,1243.608,35.827,1243.462,1218.619,1270.23,1309.716,1177.495
0.15,32.373,9.59,51.946,11.987,33.266,25.951,39.514,51.946,9.59,43.213,23.223,61.03,11.966,41.354,35.865,55.831,61.03,23.223,0.012,0.0,0.25,0.054,153.138,104.5,192.0,26.38,168.75,69,337,56.211,164.5,143.5,186.5,240,81,0.03,0.68,1.2,1.2,1.2,0.0,1.2,1.2,1.2,1.2,1.2,120.0,120.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,1050.688,29.085,1048.177,1032.776,1060.88,1089.299,995.693
0.2,29.528,11.697,58.102,11.705,28.999,21.81,36.373,58.102,11.697,41.548,20.792,59.105,9.002,41.502,37.03,48.162,59.105,20.792,0.246,0.167,0.25,0.018,151.238,101.75,195.75,26.586,164.7,90,302,59.379,143.0,118.0,211.0,302,90,0.035,0.668,1.6,1.6,1.6,0.0,1.6,1.6,1.6,1.6,1.6,160.0,160.0,160.0,0.0,160.0,160.0,160.0,160.0,160.0,889.395,28.642,898.316,869.767,909.145,925.199,822.331
0.25,27.124,11.157,43.597,10.102,26.362,18.29,36.148,43.597,11.157,41.299,25.005,60.273,9.715,41.37,34.452,46.67,60.273,25.005,0.0,0.0,0.0,0.0,157.125,115.0,192.75,23.489,141.1,52,237,51.929,135.5,95.5,177.5,237,52,0.038,0.649,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,773.54,31.252,776.021,753.188,790.809,836.024,709.439
0.3,27.66,12.879,46.678,8.925,28.048,19.69,32.265,46.678,12.879,39.983,22.334,56.57,8.955,40.661,34.331,44.528,56.57,22.334,0.0,0.0,0.0,0.0,155.038,126.0,185.5,17.849,154.05,72,214,35.469,158.5,125.25,179.0,214,72,0.041,0.619,2.4,2.4,2.4,0.0,2.4,2.4,2.4,2.4,2.4,240.0,240.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,672.611,27.912,663.959,650.879,690.873,729.544,636.149
0.35,24.121,6.317,53.574,11.724,23.087,14.692,31.54,53.574,6.317,34.81,16.887,48.959,8.894,35.737,30.925,41.37,48.959,16.887,0.0,0.0,0.0,0.0,152.988,96.25,185.75,24.564,150.4,34,343,77.681,159.0,81.75,207.25,343,34,0.04,0.589,2.8,2.8,2.8,0.0,2.8,2.8,2.8,2.8,2.8,280.0,280.0,280.0,0.0,280.0,280.0,280.0,280.0,280.0,609.601,29.112,604.817,594.582,621.335,658.862,555.259
0.4,23.86,7.567,52.472,12.65,21.258,12.85,29.938,52.472,7.567,36.66,18.266,55.02,8.512,37.203,29.535,43.074,55.02,18.266,0.013,0.0,0.25,0.054,154.162,102.25,188.25,21.232,136.85,45,315,80.78,123.0,64.25,171.75,315,45,0.039,0.576,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,3.2,320.0,320.0,320.0,0.0,320.0,320.0,320.0,320.0,320.0,537.435,23.189,542.894,523.74,555.532,568.647,492.336
0.45,25.966,8.037,86.237,17.816,21.988,12.982,30.962,47.148,8.037,38.036,14.922,58.912,13.423,34.155,26.857,52.478,58.912,14.922,0.0,0.0,0.0,0.0,152.962,66.5,195.0,30.217,128.95,55,328,66.602,120.0,77.5,152.75,244,55,0.04,0.555,3.6,3.6,3.6,0.0,3.6,3.6,3.6,3.6,3.6,360.0,360.0,360.0,0.0,360.0,360.0,360.0,360.0,360.0,488.117,28.552,483.319,466.531,501.516,528.044,448.795
0.5,17.406,3.206,36.167,9.073,16.893,10.593,25.244,36.167,3.206,33.526,13.338,58.398,12.04,38.036,23.924,41.115,58.398,13.338,0.0,0.0,0.0,0.0,152.988,79.5,198.0,35.841,90.1,11,167,44.262,79.0,55.75,129.5,167,11,0.041,0.576,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,400.0,400.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,438.984,25.228,432.991,425.11,455.118,478.007,392.571
0.55,16.218,4.342,41.263,7.866,16.232,11.234,20.393,23.473,4.342,31.03,16.919,48.8,8.565,31.721,27.095,36.139,48.8,16.919,0.0,0.0,0.0,0.0,149.112,109.0,193.5,26.846,91.7,26,230,49.278,80.5,57.75,116.0,167,26,0.04,0.577,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.4,4.4,440.0,440.0,440.0,0.0,440.0,440.0,440.0,440.0,440.0,396.958,18.326,393.977,384.162,405.734,433.999,373.002
