pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
5.676,16.164,0.0,132.731,0.007,0.123,0.838,6.68,6.68,29.797,334,334,95,1752,0.818,12.759
7.682,17.514,0.0,100.031,0.006,0.081,0.847,7.12,7.12,29.818,356,356,124,1898,0.82,11.8
6.278,16.463,0.0,100.015,0.006,0.094,0.846,7.04,7.04,29.86,352,352,126,1825,0.828,12.464
6.742,16.903,0.0,116.0,0.006,0.097,0.854,7.0,7.0,29.841,350,350,81,1912,0.818,11.623
8.008,14.997,0.0,84.125,0.005,0.084,0.844,7.14,7.14,29.864,357,357,45,2063,0.825,10.931
3.266,10.572,0.0,100.862,0.007,0.135,0.853,6.5,6.5,29.818,325,325,144,1574,0.802,14.539
9.231,22.599,0.0,155.55,0.006,0.105,0.854,7.22,7.22,29.848,361,361,50,1840,0.782,11.775
7.347,17.263,0.0,105.375,0.006,0.088,0.839,6.82,6.82,29.844,341,341,69,1805,0.81,12.056
8.606,18.366,0.0,106.306,0.006,0.087,0.844,7.36,7.36,29.84,368,368,70,1986,0.833,11.65
12.18,24.29,0.0,111.833,0.006,0.105,0.835,7.04,7.04,29.816,352,352,134,1967,0.835,12.204
5.6,17.454,0.0,136.143,0.007,0.14,0.851,6.58,6.58,29.839,329,329,150,1678,0.805,12.973
10.053,23.146,0.0,122.685,0.006,0.097,0.834,7.0,7.0,29.85,350,350,20,1945,0.805,11.419
7.917,18.792,0.0,118.8,0.006,0.095,0.85,6.96,6.96,29.832,348,348,83,1879,0.802,12.006
8.503,18.639,0.0,92.325,0.006,0.11,0.849,7.46,7.46,29.833,373,373,60,1959,0.848,11.752
12.113,20.866,0.0,107.477,0.005,0.091,0.852,7.66,7.66,29.877,383,383,79,2048,0.83,11.024
7.61,15.495,0.0,96.215,0.006,0.11,0.837,6.7,6.7,29.836,335,335,55,1824,0.818,11.983
5.163,13.724,0.0,116.411,0.006,0.116,0.848,6.9,6.9,29.832,345,345,87,1869,0.833,12.359
8.64,21.814,0.0,132.75,0.006,0.13,0.855,7.1,7.1,29.834,355,355,161,1852,0.81,12.795
6.871,14.597,0.0,102.85,0.006,0.102,0.845,7.06,7.06,29.867,353,353,50,1882,0.812,11.799
8.015,15.708,0.0,81.25,0.006,0.099,0.846,7.04,7.04,29.806,352,352,93,1909,0.807,11.78
