pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.598,0.757,0.0,9.5,0.014,0.411,0.869,7.1,7.1,29.84,355,355,489,383,0.812,26.249
1.168,5.428,0.0,65.5,0.014,0.445,0.883,7.14,7.14,29.874,357,357,712,333,0.82,28.39
0.852,2.833,0.0,28.938,0.014,0.469,0.873,7.2,7.2,29.817,360,360,535,313,0.835,26.926
0.58,0.885,0.0,13.778,0.014,0.454,0.869,7.0,7.0,29.846,350,350,586,381,0.818,26.722
2.084,11.27,0.0,106.167,0.013,0.388,0.868,7.12,7.12,29.862,356,356,655,425,0.828,26.303
0.638,0.678,0.0,4.0,0.014,0.428,0.873,6.96,6.96,29.827,348,348,672,360,0.818,27.496
2.415,17.427,0.0,175.25,0.014,0.425,0.881,7.2,7.2,29.825,360,360,717,321,0.825,28.003
0.741,2.558,0.0,50.2,0.015,0.499,0.877,7.02,7.02,29.825,351,351,781,260,0.828,29.483
1.074,4.626,0.0,45.5,0.014,0.385,0.873,7.22,7.22,29.84,361,361,613,423,0.858,26.661
1.061,6.92,0.0,135.0,0.015,0.443,0.869,6.82,6.82,29.854,341,341,764,287,0.8,28.259
0.715,0.844,0.0,6.0,0.015,0.464,0.876,6.6,6.6,29.835,330,330,781,249,0.797,29.558
0.724,1.349,0.0,16.0,0.015,0.506,0.866,6.76,6.76,29.827,338,338,752,296,0.81,27.723
0.808,1.993,0.0,18.5,0.014,0.438,0.868,6.8,6.8,29.834,340,340,629,354,0.833,27.033
0.565,0.587,0.0,4.0,0.015,0.5,0.883,7.04,7.04,29.854,352,352,705,236,0.818,28.847
0.789,2.038,0.0,28.25,0.015,0.49,0.87,6.86,6.86,29.843,343,343,724,350,0.825,28.1
0.608,0.662,0.0,4.0,0.014,0.457,0.879,7.14,7.14,29.86,357,357,641,359,0.82,27.343
0.592,0.581,0.0,3.5,0.015,0.523,0.874,6.88,6.88,29.822,344,344,691,283,0.81,28.704
1.225,4.736,0.0,43.5,0.015,0.45,0.87,6.76,6.76,29.846,338,338,803,326,0.81,28.291
0.531,0.557,0.0,4.25,0.014,0.454,0.859,7.18,7.18,29.835,359,359,546,365,0.835,26.634
0.612,1.109,0.0,14.5,0.013,0.363,0.871,7.72,7.72,29.85,386,386,529,460,0.858,26.018
