pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity,activity_false_negatives_num_max,activity_false_negatives_num_mean,activity_false_negatives_num_median,activity_false_negatives_num_min,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_std,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,activity_false_positives_num_max,activity_false_positives_num_mean,activity_false_positives_num_median,activity_false_positives_num_min,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_std,activity_false_positives_num_whishi,activity_false_positives_num_whislo,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_std,field_ratio_threshold,ignored_field_connections_ratio_mean,ignored_field_connections_ratio_median,ignored_field_connections_ratio_q1,ignored_field_connections_ratio_q3,ignored_field_connections_ratio_std,ignored_field_connections_ratio_whishi,ignored_field_connections_ratio_whislo,mean_field_activity_max,mean_field_activity_mean,mean_field_activity_median,mean_field_activity_min,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_std,mean_field_activity_whishi,mean_field_activity_whislo,num_fields_active_mean,num_fields_active_std,num_fields_total_mean,num_fields_total_std,perc_correct_fields_max,perc_correct_fields_mean,perc_correct_fields_median,perc_correct_fields_min,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_std,perc_correct_fields_whishi,perc_correct_fields_whislo,perc_unique_field_combinations_max,perc_unique_field_combinations_mean,perc_unique_field_combinations_median,perc_unique_field_combinations_min,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_std,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,pos_error_max_mean,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_mean,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
5.378,15.32,0.0,115.578,0.007,0.115,0.555,7.043,7.043,29.839,352.15,352.15,93.05,1612.7,0.821,13.513,1797,1612.7,1643.0,1307,1559.0,1718.25,145.807,1797,1322,164,93.05,81.5,32,64.75,117.5,40.531,164,32,29.839,0.019,7.043,0.246,7.043,0.246,0.5,0.555,0.558,0.549,0.564,0.013,0.578,0.536,0.008,0.007,0.007,0.006,0.007,0.007,0.001,0.008,0.006,352.15,12.289,352.15,12.289,0.14,0.115,0.115,0.073,0.109,0.132,0.02,0.14,0.08,0.86,0.821,0.822,0.785,0.807,0.827,0.019,0.852,0.785,115.578,8.498,5.378,5.306,1.437,4.516,6.96,1.764,8.498,1.437,0.0,20.391,15.32,15.522,5.702,13.371,17.958,3.642,20.391,10.354,13.513,13.519,12.653,14.079,0.929,15.264,11.96
3.224,11.292,0.0,100.301,0.007,0.129,0.609,7.076,7.076,29.837,353.8,353.8,116.0,1476.15,0.823,14.463,1699,1476.15,1487.5,1304,1420.0,1526.25,98.853,1648,1304,224,116.0,108.0,67,91.5,124.25,38.059,171,67,29.837,0.016,7.076,0.183,7.076,0.183,0.55,0.609,0.604,0.599,0.615,0.014,0.638,0.59,0.008,0.007,0.007,0.006,0.007,0.008,0.001,0.008,0.006,353.8,9.13,353.8,9.13,0.15,0.129,0.125,0.113,0.12,0.136,0.012,0.15,0.113,0.855,0.823,0.824,0.785,0.814,0.831,0.017,0.855,0.79,100.301,6.325,3.224,2.848,1.623,2.269,3.831,1.317,6.062,1.623,0.0,19.01,11.292,10.348,6.514,8.737,14.709,3.659,19.01,6.514,14.463,14.643,13.853,15.012,0.82,15.883,12.795
2.233,9.471,0.0,100.604,0.008,0.145,0.661,7.011,7.011,29.839,350.55,350.55,145.45,1270.55,0.828,15.967,1582,1270.55,1242.0,1087,1187.75,1361.0,123.698,1582,1087,284,145.45,128.0,86,112.75,168.75,49.584,223,86,29.839,0.015,7.011,0.237,7.011,0.237,0.6,0.661,0.659,0.65,0.67,0.015,0.696,0.634,0.009,0.008,0.008,0.007,0.008,0.009,0.001,0.009,0.007,350.55,11.859,350.55,11.859,0.21,0.145,0.14,0.102,0.132,0.157,0.025,0.179,0.102,0.862,0.828,0.822,0.8,0.817,0.841,0.018,0.862,0.8,100.604,3.898,2.233,2.033,0.861,1.644,2.768,0.883,3.898,0.861,0.0,18.256,9.471,8.808,3.542,6.902,10.832,4.128,13.438,3.542,15.967,16.096,15.314,16.666,1.0,17.996,13.898
1.855,7.481,0.0,77.213,0.009,0.179,0.704,7.004,7.004,29.831,350.2,350.2,215.45,1108.55,0.819,17.731,1412,1108.55,1063.0,859,1013.5,1197.75,143.666,1412,859,329,215.45,221.0,74,181.75,250.75,63.83,329,117,29.831,0.015,7.004,0.283,7.004,0.283,0.65,0.704,0.702,0.698,0.714,0.014,0.731,0.68,0.01,0.009,0.009,0.008,0.009,0.01,0.001,0.01,0.008,350.2,14.144,350.2,14.144,0.223,0.179,0.181,0.131,0.153,0.203,0.03,0.223,0.131,0.858,0.819,0.819,0.772,0.802,0.833,0.022,0.858,0.772,77.213,4.059,1.855,1.725,0.604,1.389,2.138,0.795,3.15,0.604,0.0,15.961,7.481,7.487,1.002,5.152,9.118,3.324,11.832,1.002,17.731,17.806,16.669,18.731,1.341,19.828,15.488
1.247,5.448,0.0,68.427,0.01,0.228,0.758,6.999,6.999,29.835,349.95,349.95,281.55,905.65,0.822,19.757,1119,905.65,895.5,697,816.0,966.75,101.851,1119,697,539,281.55,276.5,159,203.0,323.75,98.79,470,159,29.835,0.024,6.999,0.208,6.999,0.208,0.7,0.758,0.755,0.749,0.765,0.011,0.779,0.736,0.012,0.01,0.01,0.009,0.01,0.011,0.001,0.012,0.009,349.95,10.419,349.95,10.419,0.298,0.228,0.221,0.179,0.195,0.249,0.037,0.298,0.179,0.845,0.822,0.822,0.778,0.817,0.831,0.015,0.845,0.805,68.427,2.744,1.247,1.174,0.554,0.865,1.445,0.527,1.993,0.554,0.0,12.462,5.448,5.025,0.56,2.792,7.274,3.222,12.462,0.56,19.757,20.031,18.553,20.579,1.366,23.122,17.899
1.112,4.891,0.0,67.247,0.011,0.264,0.802,7.118,7.118,29.842,355.9,355.9,364.3,744.3,0.828,21.687,1006,744.3,735.5,555,665.75,801.5,116.598,987,555,516,364.3,361.5,207,293.25,441.25,88.474,516,207,29.842,0.022,7.118,0.181,7.118,0.181,0.75,0.802,0.801,0.799,0.805,0.008,0.814,0.792,0.013,0.011,0.011,0.01,0.011,0.012,0.001,0.013,0.01,355.9,9.071,355.9,9.071,0.331,0.264,0.266,0.199,0.248,0.283,0.035,0.331,0.199,0.86,0.828,0.831,0.8,0.817,0.839,0.016,0.86,0.8,67.247,2.411,1.112,0.964,0.613,0.837,1.215,0.45,1.552,0.613,0.0,13.254,4.891,3.831,1.266,2.808,6.6,3.047,9.296,1.266,21.687,22.115,20.503,22.454,1.38,24.324,18.822
1.129,5.172,0.0,67.596,0.013,0.358,0.846,7.027,7.027,29.838,351.35,351.35,528.55,497.3,0.821,24.95,606,497.3,488.5,364,455.75,538.25,65.72,606,364,701,528.55,543.5,387,449.0,607.25,94.532,701,387,29.838,0.018,7.027,0.239,7.027,0.239,0.8,0.846,0.844,0.842,0.849,0.005,0.855,0.837,0.014,0.013,0.013,0.012,0.013,0.013,0.001,0.014,0.012,351.35,11.964,351.35,11.964,0.451,0.358,0.357,0.287,0.333,0.381,0.039,0.451,0.287,0.85,0.821,0.82,0.8,0.814,0.831,0.013,0.85,0.8,67.596,2.81,1.129,0.933,0.497,0.825,1.313,0.517,1.795,0.497,0.0,16.413,5.172,3.818,0.454,2.594,7.23,3.943,11.866,0.454,24.95,24.983,24.33,25.615,0.913,26.347,23.334
0.975,4.226,0.0,56.34,0.015,0.512,0.887,7.027,7.027,29.828,351.35,351.35,799.0,259.65,0.825,29.381,418,259.65,240.0,152,218.5,297.5,75.834,407,152,986,799.0,795.5,630,715.0,871.0,107.531,986,630,29.828,0.014,7.027,0.248,7.027,0.248,0.85,0.887,0.887,0.884,0.89,0.005,0.896,0.879,0.017,0.015,0.015,0.013,0.015,0.016,0.001,0.017,0.013,351.35,12.415,351.35,12.415,0.593,0.512,0.529,0.371,0.483,0.556,0.058,0.593,0.409,0.86,0.825,0.834,0.785,0.809,0.842,0.022,0.86,0.785,56.34,2.078,0.975,0.798,0.574,0.625,1.164,0.454,1.626,0.574,0.0,15.978,4.226,2.231,0.592,0.775,6.0,4.458,12.764,0.592,29.381,29.427,28.12,30.533,1.444,31.685,26.901
1.094,4.83,0.0,61.418,0.018,0.728,0.928,6.965,6.965,29.837,348.25,348.25,1359.0,83.25,0.81,35.786,152,83.25,80.5,46,62.75,98.5,26.435,152,46,1627,1359.0,1342.0,1067,1281.0,1423.75,127.435,1627,1067,29.837,0.017,6.965,0.247,6.965,0.247,0.9,0.928,0.929,0.927,0.931,0.003,0.935,0.922,0.019,0.018,0.018,0.017,0.018,0.018,0.001,0.019,0.017,348.25,12.365,348.25,12.365,0.798,0.728,0.734,0.664,0.696,0.752,0.041,0.798,0.664,0.858,0.81,0.806,0.77,0.797,0.822,0.022,0.858,0.77,61.418,2.006,1.094,1.018,0.564,0.716,1.314,0.448,2.006,0.564,0.0,12.326,4.83,3.78,0.635,0.875,7.169,4.194,12.326,0.635,35.786,35.977,35.006,36.488,1.156,38.004,33.086
1.234,4.619,0.0,60.829,0.022,0.926,0.965,7.024,7.024,29.836,351.2,351.2,2536.1,8.75,0.821,45.793,17,8.75,8.0,4,6.75,11.0,3.223,17,4,2722,2536.1,2569.0,2175,2479.75,2622.0,148.855,2722,2278,29.836,0.017,7.024,0.212,7.024,0.212,0.95,0.965,0.965,0.964,0.966,0.002,0.968,0.962,0.023,0.022,0.022,0.021,0.022,0.022,0.0,0.023,0.021,351.2,10.624,351.2,10.624,0.956,0.926,0.93,0.888,0.914,0.939,0.017,0.956,0.888,0.848,0.821,0.826,0.785,0.809,0.832,0.016,0.848,0.785,60.829,3.188,1.234,0.953,0.695,0.802,1.399,0.671,1.86,0.695,0.0,15.304,4.619,2.741,0.73,0.836,7.118,4.656,15.304,0.73,45.793,46.172,44.915,46.73,1.174,47.588,42.96
