pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,num_fields_total,weighted_avg_activity,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_mean,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_mean,pos_error_max_max,pos_error_max_mean,pos_error_max_min,pos_error_max_std,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_min,pos_error_min_std,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,prob_dead_neurons,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
1.662,5.964,0.0,65.55,0.027,0.979,7.074,353.7,74.127,7.62,7.074,7.06,6.74,6.855,7.195,0.258,7.62,6.74,0.027,381,353.7,353.0,337,342.75,359.75,12.877,381,337,0.979,154.0,65.55,4.0,53.509,3.531,1.662,1.408,0.912,1.18,1.875,0.678,2.778,0.912,0.0,0.0,0.0,0.0,16.466,5.964,5.024,0.81,1.36,8.771,4.992,16.466,0.81,0.0,74.127,74.142,74.026,74.227,0.15,74.361,73.75
1.721,5.878,0.0,66.462,0.028,0.981,7.016,350.8,71.147,7.52,7.016,7.02,6.54,6.92,7.11,0.214,7.3,6.66,0.028,376,350.8,351.0,327,346.0,355.5,10.717,365,333,0.981,168.0,66.462,6.0,51.802,2.902,1.721,1.6,0.924,1.215,2.196,0.568,2.902,0.924,0.0,0.0,0.0,0.0,12.509,5.878,6.217,0.922,1.333,9.928,4.214,12.509,0.922,0.05,71.147,71.14,71.074,71.23,0.118,71.352,70.889
2.14,7.541,0.0,76.625,0.028,0.981,7.086,354.3,66.678,7.54,7.086,7.08,6.74,6.92,7.19,0.192,7.54,6.74,0.028,377,354.3,354.0,337,346.0,359.5,9.603,377,337,0.981,179.0,76.625,7.25,45.536,4.702,2.14,1.995,1.054,1.414,2.552,0.903,3.36,1.054,0.0,0.0,0.0,0.0,18.495,7.541,7.252,1.157,2.792,10.08,4.763,18.495,1.157,0.1,66.678,66.705,66.627,66.765,0.154,66.923,66.457
1.913,7.88,0.0,92.888,0.028,0.981,7.079,353.95,63.758,7.48,7.079,7.09,6.84,6.935,7.16,0.167,7.48,6.84,0.028,374,353.95,354.5,342,346.75,358.0,8.351,374,342,0.981,180.5,92.888,9.0,60.96,3.035,1.913,1.79,0.989,1.323,2.49,0.702,3.035,0.989,0.0,0.0,0.0,0.0,17.507,7.88,7.229,1.109,2.147,11.785,5.42,17.507,1.109,0.15,63.758,63.74,63.694,63.794,0.083,63.944,63.642
3.145,12.271,0.0,112.825,0.027,0.979,7.093,354.65,59.362,7.46,7.093,7.08,6.8,6.98,7.19,0.184,7.46,6.8,0.027,373,354.65,354.0,340,349.0,359.5,9.183,373,340,0.979,176.0,112.825,8.75,46.151,5.742,3.145,2.546,1.263,2.032,4.128,1.432,5.742,1.263,0.0,0.0,0.0,0.0,23.618,12.271,10.601,1.413,7.82,17.318,6.544,23.618,1.413,0.2,59.362,59.338,59.291,59.439,0.114,59.577,59.11
2.465,8.277,0.0,78.513,0.027,0.979,7.043,352.15,56.356,7.58,7.043,6.99,6.72,6.91,7.19,0.218,7.58,6.72,0.027,379,352.15,349.5,336,345.5,359.5,10.901,379,336,0.979,160.5,78.513,7.0,50.902,5.112,2.465,2.272,1.28,1.61,2.927,1.05,4.731,1.28,0.0,0.0,0.0,0.0,21.226,8.277,6.203,1.378,3.702,13.229,5.708,21.226,1.378,0.25,56.356,56.342,56.309,56.392,0.078,56.473,56.233
3.663,12.052,0.0,96.425,0.028,0.976,7.079,353.95,51.912,7.62,7.079,7.12,6.64,6.95,7.185,0.234,7.34,6.64,0.028,381,353.95,356.0,332,347.5,359.25,11.724,367,332,0.976,171.0,96.425,6.0,51.267,9.247,3.663,3.232,1.092,2.11,4.587,2.086,7.386,1.092,0.0,0.0,0.0,0.0,24.989,12.052,13.311,1.024,6.62,17.923,6.965,24.989,1.024,0.3,51.912,51.913,51.823,51.988,0.106,52.078,51.634
5.314,17.019,0.0,120.712,0.027,0.979,6.95,347.5,48.902,7.32,6.95,7.0,6.58,6.79,7.08,0.21,7.32,6.58,0.027,366,347.5,350.0,329,339.5,354.0,10.524,366,329,0.979,186.5,120.712,38.0,42.676,12.48,5.314,4.334,2.026,3.097,7.357,2.892,12.48,2.026,0.0,0.0,0.0,0.0,33.921,17.019,14.774,4.719,9.841,24.18,8.818,33.921,4.719,0.35,48.902,48.9,48.807,48.992,0.128,49.129,48.677
4.637,15.569,0.0,126.488,0.028,0.981,7.048,352.4,44.458,7.38,7.048,7.01,6.6,6.94,7.18,0.174,7.38,6.6,0.028,369,352.4,350.5,330,347.0,359.0,8.714,369,330,0.981,192.5,126.488,45.0,40.449,10.942,4.637,3.647,1.993,2.908,5.709,2.508,6.56,1.993,0.0,0.0,0.0,0.0,35.027,15.569,13.245,3.676,9.639,20.536,8.148,35.027,3.676,0.4,44.458,44.496,44.432,44.539,0.132,44.584,44.282
6.178,18.53,0.0,133.525,0.027,0.974,7.008,350.4,41.494,7.32,7.008,6.98,6.68,6.855,7.155,0.184,7.32,6.68,0.027,366,350.4,349.0,334,342.75,357.75,9.189,366,334,0.974,176.75,133.525,38.25,37.909,16.481,6.178,5.332,2.041,3.632,6.994,3.732,10.643,2.041,0.0,0.0,0.0,0.0,37.777,18.53,18.018,4.367,14.079,21.555,8.563,31.758,4.367,0.45,41.494,41.507,41.465,41.563,0.097,41.643,41.355
