pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
72.461,50.716,0.0,166.5,0.027,0.984,7.32,29.84,366
88.127,56.184,0.0,186.25,0.028,0.966,7.1,29.861,355
70.299,52.35,0.0,166.5,0.028,0.98,7.06,29.805,353
59.304,46.111,0.0,147.5,0.028,0.983,6.94,29.822,347
77.75,60.71,0.0,189.0,0.028,0.989,7.0,29.859,350
63.116,44.805,0.0,151.0,0.028,0.965,6.94,29.832,347
78.543,59.238,0.0,183.0,0.028,0.986,7.24,29.831,362
74.179,57.547,0.0,182.0,0.027,0.988,6.92,29.811,346
90.182,56.474,0.0,188.5,0.028,0.98,7.02,29.844,351
58.947,40.777,0.0,142.0,0.028,0.977,6.96,29.838,348
48.823,30.286,0.0,106.5,0.028,0.986,6.98,29.831,349
49.073,48.551,0.0,154.5,0.027,0.97,7.42,29.846,371
65.6,60.85,0.0,177.5,0.028,0.986,7.28,29.824,364
39.85,42.974,0.0,186.0,0.027,0.978,7.16,29.843,358
51.679,33.396,0.0,122.5,0.028,0.977,7.04,29.875,352
51.702,36.759,0.0,132.5,0.028,0.989,7.3,29.864,365
58.659,40.882,0.0,142.0,0.027,0.987,7.46,29.87,373
58.444,52.229,0.0,170.0,0.028,0.984,7.34,29.846,367
64.573,58.364,0.0,185.5,0.027,0.976,7.58,29.849,379
66.244,47.03,0.0,156.5,0.027,0.981,7.18,29.852,359
