pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
1.114,2.547,0.0,25.75,0.012,0.319,0.769,6.2,6.2,50.458,310,310,735,1039,0.775,35.538
0.844,0.819,0.0,5.0,0.01,0.188,0.738,6.28,6.28,50.365,314,314,298,1356,0.79,29.793
1.214,1.636,0.0,11.5,0.01,0.215,0.762,6.52,6.52,50.44,326,326,533,1383,0.79,30.247
1.203,3.176,0.0,43.625,0.012,0.317,0.78,6.12,6.12,50.411,306,306,662,1161,0.805,34.784
1.021,3.173,0.0,62.0,0.012,0.25,0.759,6.4,6.4,50.355,320,320,485,1166,0.767,32.99
0.921,0.906,0.0,5.5,0.012,0.273,0.753,6.3,6.3,50.38,315,315,595,1131,0.782,34.169
0.792,0.665,0.0,4.0,0.011,0.211,0.751,6.34,6.34,50.455,317,317,415,1329,0.77,30.832
0.87,1.04,0.0,10.25,0.01,0.187,0.76,6.64,6.64,50.415,332,332,340,1392,0.818,29.97
0.875,0.773,0.0,4.5,0.012,0.292,0.775,6.44,6.44,50.415,322,322,568,1085,0.802,34.175
1.022,0.997,0.0,6.0,0.011,0.249,0.758,6.42,6.42,50.484,321,321,518,1271,0.815,32.304
0.936,2.203,0.0,42.25,0.01,0.217,0.764,6.54,6.54,50.384,327,327,448,1372,0.797,30.2
1.236,3.178,0.0,35.5,0.011,0.198,0.768,6.46,6.46,50.372,323,323,417,1316,0.82,30.147
1.08,2.978,0.0,43.917,0.011,0.241,0.76,6.48,6.48,50.358,324,324,396,1321,0.795,31.227
0.975,0.851,0.0,6.929,0.011,0.244,0.755,6.3,6.3,50.24,315,315,550,1451,0.787,30.836
