generation,entity_id,alpha,theta,max_field_sizes,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
0,12,6.72,1.32,30,1.911,1.469,4.263,0.609,1.745,1.57,1.865,2.178,1.469,2.684,1.212,14.227,2.936,1.613,1.423,1.82,2.033,1.212,0.0,0.0,0.0,0.0,21.225,6.5,106.0,26.25,0.029,1.0,4.066,3.88,4.28,0.101,4.05,4.0,4.125,4.28,3.88,203.3,194.0,214.0,5.041,202.5,200.0,206.25,214.0,194.0,0.09170163524379406
0,13,9.92,2.52,86,4.165,2.634,8.029,1.307,3.932,3.256,4.717,6.024,2.634,4.632,2.032,14.604,3.12,3.358,2.667,5.658,9.111,2.032,0.0,0.0,0.0,0.0,29.663,10.0,93.25,25.013,0.026,1.0,3.84,3.6,3.96,0.094,3.84,3.795,3.9,3.96,3.7,192.0,180.0,198.0,4.722,192.0,189.75,195.0,198.0,185.0,0.0054842078829202764
0,14,5.58,4.78,38,3.459,2.372,4.114,0.427,3.479,3.223,3.754,4.114,2.937,3.115,2.333,4.122,0.544,2.914,2.704,3.618,4.122,2.333,0.0,0.0,0.0,0.0,16.975,10.75,28.0,4.627,0.029,1.0,2.258,2.06,2.4,0.082,2.25,2.215,2.325,2.4,2.06,112.9,103.0,120.0,4.122,112.5,110.75,116.25,120.0,103.0,0.013254132446025435
0,15,10.22,1.0,6,3.495,2.573,5.525,0.825,3.07,2.943,4.08,5.525,2.573,5.036,1.939,14.637,4.175,2.536,2.287,7.626,14.637,1.939,0.0,0.0,0.0,0.0,30.638,8.5,100.0,30.378,0.03,1.0,1.024,1.0,1.1,0.025,1.02,1.0,1.04,1.1,1.0,51.2,50.0,55.0,1.249,51.0,50.0,52.0,55.0,50.0,0.012664759553910391
0,16,4.26,2.2,64,1.759,1.121,3.017,0.522,1.676,1.367,1.899,2.434,1.121,3.487,0.952,12.322,3.46,1.865,1.259,3.988,7.6,0.952,0.0,0.0,0.0,0.0,33.838,5.0,120.0,36.003,0.027,0.998,8.128,7.8,8.58,0.214,8.09,7.98,8.33,8.58,7.8,406.4,390.0,429.0,10.698,404.5,399.0,416.5,429.0,390.0,0.11088975715305244
0,17,11.98,4.56,74,7.219,4.973,9.92,1.177,7.0,6.342,8.003,9.92,4.973,5.556,3.242,8.039,1.161,5.215,4.922,6.344,8.039,3.242,0.0,0.0,0.0,0.0,24.6,13.75,33.0,4.978,0.027,1.0,1.653,1.54,1.82,0.07,1.64,1.62,1.68,1.74,1.54,82.65,77.0,91.0,3.497,82.0,81.0,84.0,87.0,77.0,0.00012046321099578285
0,18,3.78,2.98,83,2.981,1.423,8.228,1.796,2.385,1.953,3.032,3.345,1.423,8.466,1.193,25.52,6.585,6.438,4.207,10.901,14.29,1.193,0.0,0.0,0.0,0.0,70.85,5.5,145.0,42.087,0.026,0.998,9.095,8.5,9.58,0.253,9.14,8.98,9.265,9.58,8.68,454.75,425.0,479.0,12.653,457.0,449.0,463.25,479.0,434.0,0.024095410278086093
0,19,6.64,5.32,28,4.274,3.118,5.725,0.591,4.153,3.911,4.595,5.31,3.118,3.658,2.596,4.983,0.572,3.536,3.202,4.059,4.983,2.596,0.0,0.0,0.0,0.0,18.125,11.5,24.25,3.595,0.029,1.0,1.456,1.32,1.64,0.076,1.44,1.4,1.505,1.64,1.32,72.8,66.0,82.0,3.789,72.0,70.0,75.25,82.0,66.0,0.0047861033740249845
1,0,0.86,4.42,49,1.338,0.52,4.643,0.884,1.022,0.893,1.514,2.184,0.52,6.404,0.703,20.452,4.635,5.647,3.168,8.101,13.192,0.703,0.0,0.0,0.0,0.0,78.138,3.75,174.0,47.507,0.022,0.772,23.808,22.16,25.64,0.883,23.74,23.125,24.275,25.64,22.16,1190.4,1108.0,1282.0,44.137,1187.0,1156.25,1213.75,1282.0,1108.0,0.1877832595306418
1,1,6.14,1.02,28,1.513,1.03,2.702,0.477,1.307,1.146,1.662,2.247,1.03,3.972,0.95,11.393,3.641,1.893,1.081,5.84,11.393,0.95,0.0,0.0,0.0,0.0,48.812,4.75,134.75,49.356,0.029,1.0,5.285,5.14,5.48,0.092,5.26,5.22,5.345,5.48,5.14,264.25,257.0,274.0,4.614,263.0,261.0,267.25,274.0,257.0,0.1509664974520164
