generation,entity_id,field_ratio_threshold,J1,J0,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,avg_accum_field_coverage_per_neuron_median,avg_accum_field_coverage_per_neuron_q1,avg_accum_field_coverage_per_neuron_q3,avg_accum_field_coverage_per_neuron_whishi,avg_accum_field_coverage_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
19,0,0.12,0.14,-0.8,48.658,46.89,49.686,0.817,48.862,47.955,49.333,49.686,46.89,28.618,26.493,30.61,0.957,28.629,27.926,29.141,30.61,26.493,0.477,0.021,3.037,0.748,101.582,95.763,106.155,2.845,0.001,0.019,113.852,113.16,114.58,0.359,113.89,113.68,114.1,114.58,113.16,35.957,0.006,35.958,35.953,35.961,35.967,35.944,5692.6,5658.0,5729.0,17.943,5694.5,5684.0,5705.0,5729.0,5658.0,3.845764729205675e-27
19,1,0.61,0.22,-0.62,48.901,46.688,51.256,1.088,48.951,48.279,49.583,51.256,46.688,28.592,27.287,30.479,0.857,28.538,27.99,28.946,30.357,27.287,0.39,0.012,3.087,0.715,102.382,96.0,111.357,4.462,0.001,0.019,113.988,112.6,114.76,0.472,114.06,113.71,114.29,114.76,113.5,35.957,0.003,35.956,35.955,35.96,35.964,35.952,5699.4,5630.0,5738.0,23.61,5703.0,5685.5,5714.5,5738.0,5675.0,2.8403249650934063e-27
19,2,0.55,0.14,-0.04,49.271,48.056,50.087,0.5,49.322,49.064,49.565,50.087,48.843,28.49,26.91,29.423,0.604,28.424,28.25,28.997,29.423,27.57,0.538,0.009,3.764,0.825,104.225,98.87,109.813,2.677,0.001,0.022,113.87,113.22,114.8,0.356,113.85,113.695,113.945,113.96,113.58,35.954,0.006,35.954,35.949,35.958,35.967,35.94,5693.5,5661.0,5740.0,17.792,5692.5,5684.75,5697.25,5716.0,5666.0,1.787499511248203e-27
19,3,0.41,0.22,-0.32,48.987,46.904,50.201,0.871,49.405,48.299,49.617,50.201,46.904,28.384,27.561,29.772,0.624,28.266,27.917,28.558,29.425,27.561,0.115,0.003,0.337,0.084,103.079,94.494,111.494,4.284,0.001,0.019,113.83,113.38,114.66,0.329,113.71,113.585,114.065,114.66,113.38,35.955,0.005,35.956,35.952,35.958,35.967,35.946,5691.5,5669.0,5733.0,16.436,5685.5,5679.25,5703.25,5733.0,5669.0,2.5485326774952874e-27
19,4,0.51,0.84,-0.38,48.891,47.375,49.991,0.653,48.979,48.594,49.287,49.991,48.357,28.489,27.384,29.816,0.667,28.564,27.877,28.966,29.816,27.384,0.359,0.023,2.26,0.54,101.258,97.289,106.222,2.457,0.001,0.019,113.99,113.42,114.7,0.342,113.97,113.735,114.185,114.7,113.42,35.957,0.005,35.958,35.954,35.96,35.968,35.948,5699.5,5671.0,5735.0,17.084,5698.5,5686.75,5709.25,5735.0,5671.0,2.8767224331732077e-27
19,5,0.3,0.8,-0.64,48.955,47.761,49.893,0.566,49.024,48.669,49.363,49.893,47.761,28.69,27.418,29.783,0.729,28.745,28.178,29.193,29.783,27.418,0.25,0.006,1.494,0.34,101.4,96.355,108.956,3.013,0.001,0.019,113.947,113.36,114.76,0.312,113.89,113.745,114.105,114.4,113.36,35.957,0.005,35.956,35.955,35.961,35.964,35.951,5697.35,5668.0,5738.0,15.599,5694.5,5687.25,5705.25,5720.0,5668.0,2.654935736899238e-27
19,6,0.35,0.54,-0.64,48.991,46.58,50.298,0.917,49.217,48.685,49.502,50.298,47.981,28.423,27.039,29.732,0.762,28.615,27.768,29.055,29.732,27.039,0.561,0.006,3.655,0.98,101.301,98.006,104.868,2.433,0.001,0.019,113.779,112.84,114.68,0.397,113.73,113.535,113.97,114.38,113.3,35.956,0.005,35.957,35.953,35.96,35.967,35.948,5688.95,5642.0,5734.0,19.868,5686.5,5676.75,5698.5,5719.0,5665.0,2.5373677203507688e-27
19,7,0.12,1.16,-0.12,49.136,47.007,49.986,0.788,49.338,48.97,49.755,49.986,48.254,28.535,26.497,29.312,0.667,28.608,28.307,28.97,29.312,27.64,0.356,0.0,2.864,0.637,102.843,97.967,107.04,2.689,0.001,0.02,113.84,113.38,114.44,0.347,113.68,113.595,114.1,114.44,113.38,35.956,0.005,35.955,35.953,35.958,35.962,35.947,5692.0,5669.0,5722.0,17.335,5684.0,5679.75,5705.0,5722.0,5669.0,2.1161074503503228e-27
19,8,0.24,0.46,-0.22,49.008,46.783,49.799,0.687,49.234,48.75,49.472,49.799,48.175,28.368,27.037,29.414,0.67,28.449,27.861,28.841,29.414,27.037,0.136,0.0,0.811,0.168,101.099,96.305,111.426,3.455,0.001,0.02,114.07,113.22,114.72,0.368,114.08,113.91,114.33,114.72,113.44,35.958,0.006,35.958,35.954,35.962,35.97,35.944,5703.5,5661.0,5736.0,18.416,5704.0,5695.5,5716.5,5736.0,5672.0,2.4833979220821722e-27
19,9,0.64,0.16,-0.74,49.133,47.969,50.328,0.603,49.275,48.663,49.533,50.328,47.969,28.211,27.169,29.174,0.585,28.34,27.608,28.654,29.174,27.169,0.424,0.003,3.009,0.795,100.437,96.649,106.55,2.659,0.001,0.019,113.772,113.14,114.68,0.403,113.75,113.51,113.94,114.56,113.14,35.955,0.005,35.956,35.953,35.96,35.963,35.943,5688.6,5657.0,5734.0,20.148,5687.5,5675.5,5697.0,5728.0,5657.0,2.124577516619998e-27
