pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.885,6.394,0.0,93.75,0.014,0.447,0.992,23.48,23.48,39.962,1174,1174,750,513,0.995,41.202
0.405,4.014,0.0,80.0,0.014,0.437,0.992,23.12,23.12,39.951,1156,1156,737,553,0.995,40.02
0.907,6.833,0.0,78.0,0.014,0.398,0.992,23.64,23.64,39.965,1182,1182,668,583,0.998,39.363
0.388,3.443,0.0,68.5,0.014,0.43,0.992,22.6,22.6,39.951,1130,1130,803,519,0.995,40.612
0.759,9.061,0.0,169.5,0.015,0.516,0.992,23.1,23.1,39.949,1155,1155,714,388,0.998,41.819
0.187,0.26,0.0,1.25,0.014,0.427,0.992,23.66,23.66,39.959,1183,1183,695,533,0.99,40.051
0.263,1.817,0.0,36.0,0.014,0.424,0.992,23.74,23.74,39.947,1187,1187,660,581,1.0,39.616
0.196,0.49,0.0,8.5,0.014,0.445,0.992,23.46,23.46,39.962,1173,1173,604,501,1.0,40.075
0.186,0.292,0.0,2.0,0.014,0.438,0.992,23.32,23.32,39.948,1166,1166,686,508,0.998,40.093
0.418,4.467,0.0,89.0,0.014,0.468,0.992,23.98,23.98,39.958,1199,1199,687,481,0.993,41.271
1.748,13.23,0.0,131.333,0.014,0.447,0.992,23.76,23.76,39.963,1188,1188,670,541,0.995,40.235
0.193,0.272,0.0,1.5,0.014,0.425,0.992,23.26,23.26,39.953,1163,1163,717,517,0.993,41.229
0.183,0.265,0.0,1.5,0.015,0.476,0.992,23.34,23.34,39.961,1167,1167,688,452,0.99,41.347
0.19,0.27,0.0,1.5,0.015,0.48,0.992,23.22,23.22,39.959,1161,1161,761,492,0.995,41.514
0.261,0.873,0.0,16.5,0.014,0.464,0.992,23.62,23.62,39.964,1181,1181,816,523,1.0,41.138
0.417,3.294,0.0,51.0,0.014,0.422,0.992,23.18,23.18,39.956,1159,1159,719,567,1.0,39.602
0.294,2.364,0.0,47.0,0.015,0.515,0.992,22.78,22.78,39.957,1139,1139,817,415,0.998,42.196
0.174,0.26,0.0,1.5,0.015,0.472,0.992,23.1,23.1,39.96,1155,1155,765,415,0.995,41.793
0.562,4.902,0.0,69.5,0.014,0.439,0.992,23.26,23.26,39.956,1163,1163,759,532,0.998,41.164
0.164,0.244,0.0,1.25,0.014,0.443,0.992,23.32,23.32,39.952,1166,1166,756,464,0.995,40.945
