pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
1.292,5.884,0.0,76.5,0.015,0.487,0.87,6.74,6.74,29.847,337,337,733,237,0.797,28.526
0.786,1.475,0.0,12.5,0.015,0.532,0.872,6.92,6.92,29.837,346,346,826,277,0.82,29.475
1.105,6.51,0.0,92.0,0.014,0.448,0.87,7.1,7.1,29.843,355,355,588,385,0.82,26.261
1.397,8.019,0.0,91.0,0.014,0.432,0.871,7.18,7.18,29.851,359,359,578,369,0.833,26.827
1.052,5.326,0.0,76.25,0.014,0.406,0.87,7.04,7.04,29.863,352,352,547,330,0.812,26.706
0.915,3.431,0.0,34.0,0.014,0.449,0.869,7.0,7.0,29.843,350,350,554,344,0.825,26.676
0.752,2.79,0.0,54.25,0.014,0.489,0.87,7.04,7.04,29.829,352,352,623,306,0.81,26.999
1.616,9.904,0.0,106.5,0.014,0.409,0.87,7.34,7.34,29.846,367,367,603,371,0.873,26.28
0.83,2.633,0.0,36.25,0.014,0.469,0.87,7.16,7.16,29.819,358,358,687,370,0.807,27.751
0.597,0.691,0.0,4.75,0.014,0.444,0.869,7.02,7.02,29.854,351,351,587,332,0.825,26.589
0.719,1.701,0.0,32.0,0.015,0.509,0.87,6.6,6.6,29.864,330,330,684,262,0.78,28.138
0.712,2.862,0.0,56.409,0.015,0.47,0.871,6.94,6.94,29.855,347,347,598,311,0.835,27.637
0.593,0.676,0.0,5.25,0.015,0.488,0.871,6.84,6.84,29.834,342,342,635,273,0.82,27.7
0.662,2.067,0.0,39.0,0.014,0.402,0.87,7.22,7.22,29.856,361,361,560,354,0.802,26.63
0.711,1.416,0.0,13.75,0.014,0.434,0.871,6.92,6.92,29.824,346,346,626,283,0.843,27.506
0.57,0.659,0.0,5.75,0.014,0.453,0.87,7.06,7.06,29.821,353,353,572,336,0.835,26.419
0.628,0.7,0.0,4.5,0.015,0.532,0.87,6.62,6.62,29.835,331,331,697,256,0.792,28.86
1.107,6.607,0.0,119.0,0.014,0.46,0.871,6.92,6.92,29.834,346,346,625,322,0.825,27.156
0.733,3.241,0.0,64.071,0.014,0.464,0.869,7.2,7.2,29.842,360,360,500,373,0.833,25.757
1.084,9.513,0.0,189.5,0.014,0.388,0.871,7.16,7.16,29.82,358,358,509,379,0.83,25.632
0.619,0.681,0.0,4.0,0.014,0.458,0.872,6.94,6.94,29.855,347,347,635,273,0.795,27.616
1.371,8.566,0.0,97.25,0.014,0.435,0.871,7.18,7.18,29.825,359,359,521,338,0.838,26.423
0.822,3.944,0.0,46.375,0.014,0.43,0.869,7.3,7.3,29.854,365,365,535,335,0.82,26.278
1.085,6.616,0.0,90.5,0.015,0.461,0.87,6.68,6.68,29.823,334,334,674,279,0.825,27.901
0.772,1.43,0.0,20.0,0.015,0.444,0.87,6.98,6.98,29.853,349,349,479,320,0.81,27.026
0.805,2.295,0.0,41.5,0.014,0.436,0.869,7.06,7.06,29.836,353,353,606,389,0.83,27.023
0.751,2.87,0.0,56.0,0.014,0.476,0.87,7.02,7.02,29.854,351,351,551,302,0.802,27.178
2.322,12.994,0.0,113.25,0.015,0.487,0.87,6.82,6.82,29.831,341,341,665,280,0.782,27.834
0.923,5.36,0.0,106.05,0.015,0.501,0.868,6.82,6.82,29.867,341,341,631,277,0.807,27.756
0.642,2.053,0.0,40.0,0.015,0.493,0.871,6.9,6.9,29.838,345,345,609,281,0.8,27.996
1.186,8.878,0.0,125.0,0.014,0.437,0.87,7.18,7.18,29.85,359,359,486,281,0.818,27.018
0.513,0.504,0.0,3.0,0.014,0.433,0.87,7.2,7.2,29.803,360,360,553,380,0.845,26.142
