pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
1.76,8.661,0.0,95.75,0.014,0.409,0.871,7.14,7.14,29.842,357,357,572,375,0.838,26.068
0.689,2.294,0.0,43.5,0.015,0.5,0.871,6.8,6.8,29.856,340,340,667,272,0.82,28.673
0.478,0.535,0.0,4.25,0.014,0.392,0.869,7.34,7.34,29.843,367,367,400,372,0.853,25.489
0.743,3.763,0.0,74.5,0.013,0.311,0.868,7.58,7.58,29.814,379,379,378,520,0.838,24.127
1.058,5.746,0.0,66.75,0.014,0.441,0.869,7.08,7.08,29.818,354,354,549,319,0.835,27.39
0.592,0.721,0.0,6.35,0.014,0.439,0.87,7.06,7.06,29.794,353,353,639,374,0.853,26.922
0.484,0.658,0.0,9.0,0.014,0.427,0.869,7.16,7.16,29.854,358,358,481,320,0.83,27.271
0.927,4.651,0.0,75.75,0.014,0.412,0.87,7.28,7.28,29.864,364,364,559,395,0.858,26.308
0.768,1.06,0.0,8.5,0.015,0.485,0.871,6.8,6.8,29.839,340,340,707,282,0.818,28.314
0.607,0.63,0.0,4.75,0.016,0.524,0.871,6.8,6.8,29.842,340,340,667,273,0.807,28.906
0.665,0.812,0.0,6.0,0.014,0.485,0.872,7.1,7.1,29.803,355,355,652,305,0.828,27.424
0.661,0.689,0.0,4.0,0.014,0.484,0.869,7.02,7.02,29.843,351,351,580,283,0.853,27.203
0.579,0.598,0.0,4.5,0.015,0.506,0.871,6.8,6.8,29.844,340,340,571,265,0.812,27.503
0.644,2.331,0.0,43.3,0.014,0.397,0.869,7.26,7.26,29.854,363,363,452,325,0.828,26.509
1.405,10.426,0.0,146.25,0.013,0.363,0.869,7.44,7.44,29.816,372,372,531,426,0.815,25.573
0.627,1.685,0.0,31.75,0.014,0.47,0.87,7.24,7.24,29.834,362,362,545,294,0.86,27.477
0.718,2.033,0.0,37.375,0.014,0.429,0.872,7.08,7.08,29.862,354,354,514,329,0.82,27.094
0.694,1.413,0.0,25.2,0.015,0.506,0.869,6.84,6.84,29.845,342,342,790,307,0.81,28.559
0.923,4.091,0.0,52.25,0.013,0.377,0.871,7.32,7.32,29.848,366,366,565,434,0.85,25.67
0.875,5.71,0.0,113.25,0.015,0.499,0.87,6.9,6.9,29.815,345,345,569,281,0.828,27.153
0.788,5.567,0.0,111.0,0.014,0.487,0.869,7.02,7.02,29.816,351,351,565,313,0.83,27.395
0.621,2.36,0.0,46.3,0.014,0.433,0.87,7.26,7.26,29.826,363,363,481,342,0.85,26.472
0.817,3.784,0.0,71.0,0.014,0.416,0.868,7.3,7.3,29.839,365,365,484,375,0.833,26.132
0.532,0.578,0.0,4.0,0.014,0.412,0.872,7.14,7.14,29.832,357,357,607,331,0.833,27.135
0.71,3.332,0.0,65.75,0.013,0.376,0.87,7.28,7.28,29.822,364,364,533,448,0.833,25.948
0.902,3.073,0.0,39.083,0.014,0.407,0.871,7.18,7.18,29.822,359,359,624,376,0.823,26.215
0.879,6.482,0.0,129.056,0.014,0.433,0.869,7.2,7.2,29.866,360,360,642,325,0.848,27.308
1.312,9.873,0.0,173.5,0.014,0.409,0.871,7.34,7.34,29.829,367,367,477,365,0.848,25.968
0.511,1.299,0.0,18.125,0.014,0.421,0.87,7.46,7.46,29.858,373,373,381,325,0.84,25.905
0.535,0.671,0.0,6.5,0.014,0.432,0.869,6.9,6.9,29.83,345,345,568,303,0.812,26.752
0.942,3.49,0.0,36.8,0.014,0.439,0.87,7.06,7.06,29.821,353,353,596,309,0.843,27.615
0.586,0.632,0.0,3.5,0.014,0.468,0.87,6.88,6.88,29.884,344,344,585,262,0.825,27.524
0.588,0.662,0.0,3.75,0.014,0.403,0.87,7.2,7.2,29.819,360,360,528,337,0.84,26.787
0.549,1.109,0.0,19.938,0.013,0.36,0.871,7.56,7.56,29.849,378,378,426,462,0.833,24.784
1.051,4.836,0.0,87.0,0.015,0.486,0.868,6.96,6.96,29.823,348,348,651,288,0.805,27.819
6.55,30.284,0.0,177.75,0.014,0.444,0.869,6.98,6.98,29.847,349,349,651,321,0.81,27.257
1.377,9.47,0.0,131.5,0.015,0.534,0.869,6.7,6.7,29.828,335,335,685,270,0.782,28.285
1.188,5.909,0.0,91.375,0.014,0.431,0.871,7.0,7.0,29.821,350,350,642,325,0.848,26.256
0.717,0.909,0.0,6.5,0.014,0.47,0.87,7.06,7.06,29.816,353,353,581,337,0.828,26.963
0.68,0.722,0.0,5.25,0.015,0.497,0.87,6.68,6.68,29.822,334,334,717,272,0.815,28.651
0.519,0.489,0.0,2.75,0.014,0.435,0.87,7.4,7.4,29.834,370,370,529,347,0.828,27.176
0.761,2.29,0.0,31.25,0.014,0.396,0.871,7.18,7.18,29.85,359,359,540,367,0.828,26.227
0.914,5.632,0.0,108.0,0.013,0.376,0.871,7.24,7.24,29.891,362,362,470,373,0.82,25.657
0.839,2.168,0.0,23.125,0.014,0.437,0.871,7.18,7.18,29.82,359,359,614,356,0.79,26.625
0.633,1.049,0.0,16.5,0.014,0.457,0.868,6.96,6.96,29.852,348,348,575,331,0.835,26.555
1.722,6.264,0.0,44.5,0.015,0.478,0.871,6.78,6.78,29.851,339,339,682,307,0.825,27.744
0.681,0.914,0.0,8.75,0.015,0.503,0.871,6.88,6.88,29.847,344,344,643,258,0.79,28.009
1.266,9.476,0.0,156.0,0.014,0.394,0.87,7.1,7.1,29.806,355,355,597,375,0.795,26.109
2.079,12.119,0.0,156.5,0.014,0.438,0.871,7.26,7.26,29.859,363,363,584,355,0.825,26.61
0.772,1.082,0.0,13.5,0.015,0.466,0.869,6.86,6.86,29.867,343,343,674,251,0.81,28.025
0.668,1.351,0.0,20.0,0.014,0.487,0.872,7.06,7.06,29.839,353,353,676,331,0.81,27.575
1.327,8.258,0.0,139.944,0.012,0.308,0.87,7.72,7.72,29.849,386,386,387,572,0.838,23.419
0.814,1.789,0.0,16.5,0.015,0.47,0.871,6.76,6.76,29.81,338,338,748,280,0.825,28.423
3.107,17.727,0.0,167.75,0.014,0.449,0.869,7.08,7.08,29.842,354,354,545,367,0.83,26.582
0.551,0.56,0.0,3.5,0.014,0.448,0.87,7.1,7.1,29.843,355,355,569,317,0.835,27.077
0.848,4.779,0.0,92.5,0.014,0.495,0.871,7.28,7.28,29.82,364,364,544,303,0.843,27.06
0.533,0.622,0.0,7.125,0.014,0.444,0.871,7.08,7.08,29.839,354,354,521,320,0.82,26.659
0.547,0.556,0.0,3.5,0.014,0.41,0.867,7.02,7.02,29.84,351,351,456,343,0.823,26.532
0.728,1.51,0.0,26.75,0.014,0.435,0.869,6.94,6.94,29.839,347,347,710,328,0.823,27.446
1.09,4.053,0.0,55.833,0.015,0.545,0.871,6.68,6.68,29.844,334,334,823,231,0.79,29.484
0.615,0.644,0.0,4.0,0.014,0.451,0.871,6.96,6.96,29.814,348,348,608,389,0.802,26.787
0.624,0.771,0.0,6.5,0.015,0.484,0.87,6.86,6.86,29.806,343,343,639,309,0.812,27.624
1.622,9.357,0.0,106.25,0.014,0.456,0.87,6.8,6.8,29.853,340,340,647,315,0.823,26.874
0.923,4.614,0.0,62.75,0.014,0.444,0.871,7.12,7.12,29.825,356,356,560,346,0.845,26.762
0.933,6.056,0.0,120.357,0.014,0.427,0.871,7.16,7.16,29.875,358,358,633,364,0.845,26.68
0.513,0.645,0.0,5.25,0.013,0.367,0.871,7.68,7.68,29.825,384,384,429,474,0.823,24.51
1.33,7.887,0.0,91.75,0.014,0.441,0.871,7.12,7.12,29.858,356,356,611,315,0.823,27.473
0.601,0.723,0.0,5.5,0.014,0.453,0.872,6.98,6.98,29.848,349,349,672,308,0.83,27.336
