pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.717,0.91,0.0,6.5,0.014,0.448,0.873,7.06,7.06,29.875,353,353,600,321,0.843,27.254
0.65,0.62,0.0,3.0,0.014,0.433,0.876,6.84,6.84,29.815,342,342,752,355,0.818,28.413
1.187,8.494,0.0,144.75,0.014,0.466,0.881,7.3,7.3,29.831,365,365,717,363,0.858,27.911
0.681,2.222,0.0,43.167,0.013,0.394,0.86,7.06,7.06,29.844,353,353,512,399,0.82,25.341
1.531,9.081,0.0,125.75,0.013,0.381,0.87,7.2,7.2,29.824,360,360,679,508,0.815,25.703
1.513,8.282,0.0,112.5,0.014,0.419,0.876,7.12,7.12,29.896,356,356,635,308,0.828,27.401
1.342,8.82,0.0,153.5,0.014,0.434,0.874,7.14,7.14,29.843,357,357,647,370,0.84,27.188
2.754,14.831,0.0,146.0,0.013,0.349,0.883,7.22,7.22,29.841,361,361,815,521,0.828,26.955
1.833,11.354,0.0,164.25,0.014,0.442,0.877,6.88,6.88,29.829,344,344,711,340,0.815,27.424
2.208,10.197,0.0,89.5,0.014,0.371,0.879,7.34,7.34,29.846,367,367,755,486,0.815,27.238
0.904,6.851,0.0,136.5,0.014,0.403,0.867,7.3,7.3,29.838,365,365,469,463,0.812,25.416
0.671,0.721,0.0,4.5,0.014,0.461,0.867,6.86,6.86,29.837,343,343,668,320,0.802,26.998
1.129,8.718,0.0,173.75,0.014,0.438,0.87,7.08,7.08,29.836,354,354,635,373,0.797,27.725
2.639,14.503,0.0,118.7,0.013,0.336,0.861,7.26,7.26,29.84,363,363,521,513,0.828,24.911
0.82,1.662,0.0,26.786,0.014,0.44,0.867,6.72,6.72,29.833,336,336,610,314,0.81,27.286
0.688,2.906,0.0,57.0,0.013,0.351,0.863,7.36,7.36,29.855,368,368,457,510,0.855,24.796
0.728,1.167,0.0,14.0,0.015,0.481,0.872,6.78,6.78,29.855,339,339,775,279,0.807,28.927
0.844,2.126,0.0,27.0,0.014,0.457,0.873,7.26,7.26,29.825,363,363,609,373,0.843,26.673
0.563,0.552,0.0,4.0,0.015,0.464,0.873,6.94,6.94,29.853,347,347,651,309,0.825,28.174
0.801,3.101,0.0,43.692,0.015,0.497,0.866,7.04,7.04,29.844,352,352,607,274,0.805,27.693
0.903,4.223,0.0,73.5,0.015,0.555,0.877,6.7,6.7,29.865,335,335,837,238,0.807,29.442
0.812,3.031,0.0,42.5,0.014,0.397,0.876,7.1,7.1,29.819,355,355,634,372,0.833,26.735
1.709,6.019,0.0,64.0,0.015,0.451,0.877,6.78,6.78,29.826,339,339,813,301,0.78,28.986
0.945,5.743,0.0,113.75,0.014,0.413,0.868,6.92,6.92,29.837,346,346,750,334,0.815,27.996
3.383,18.431,0.0,190.0,0.015,0.494,0.878,6.84,6.84,29.837,342,342,851,310,0.812,29.217
1.257,8.461,0.0,139.25,0.014,0.432,0.878,7.54,7.54,29.836,377,377,606,376,0.86,26.95
1.046,5.428,0.0,98.0,0.014,0.428,0.882,7.1,7.1,29.862,355,355,728,333,0.83,28.558
0.882,2.972,0.0,41.75,0.014,0.433,0.864,7.02,7.02,29.835,351,351,691,366,0.825,27.588
0.734,1.056,0.0,14.25,0.014,0.452,0.874,6.86,6.86,29.859,343,343,867,354,0.807,28.546
0.498,0.533,0.0,3.5,0.014,0.42,0.882,7.38,7.38,29.868,369,369,669,372,0.818,27.113
0.685,1.105,0.0,17.5,0.014,0.456,0.878,6.98,6.98,29.816,349,349,647,319,0.815,27.419
0.828,2.587,0.0,37.0,0.015,0.494,0.876,7.08,7.08,29.838,354,354,995,325,0.855,28.844
1.195,6.525,0.0,73.5,0.014,0.354,0.855,7.28,7.28,29.854,364,364,420,487,0.838,24.914
0.574,0.614,0.0,4.0,0.015,0.446,0.867,7.08,7.08,29.828,354,354,698,363,0.83,27.673
0.64,0.804,0.0,7.0,0.015,0.493,0.871,7.06,7.06,29.833,353,353,735,323,0.848,27.785
0.506,0.554,0.0,4.75,0.014,0.428,0.867,6.96,6.96,29.832,348,348,482,355,0.843,26.07
0.511,0.522,0.0,3.0,0.014,0.392,0.875,7.24,7.24,29.888,362,362,519,344,0.81,26.469
0.835,2.061,0.0,19.5,0.015,0.488,0.876,6.92,6.92,29.826,346,346,733,274,0.812,28.788
0.584,0.583,0.0,4.25,0.014,0.441,0.876,7.16,7.16,29.874,358,358,759,406,0.815,27.172
0.579,0.6,0.0,4.0,0.014,0.451,0.872,7.0,7.0,29.854,350,350,754,323,0.835,27.682
0.641,1.346,0.0,21.75,0.014,0.389,0.879,7.46,7.46,29.81,373,373,590,416,0.85,26.636
1.297,5.505,0.0,82.75,0.014,0.439,0.869,7.06,7.06,29.844,353,353,724,326,0.82,27.6
0.6,0.691,0.0,7.563,0.013,0.352,0.875,7.16,7.16,29.83,358,358,549,403,0.833,25.655
1.013,5.358,0.0,75.7,0.014,0.422,0.869,7.02,7.02,29.841,351,351,714,388,0.812,27.302
0.579,0.796,0.0,6.75,0.014,0.407,0.867,7.12,7.12,29.859,356,356,619,389,0.812,26.851
0.596,0.805,0.0,10.75,0.014,0.421,0.878,7.32,7.32,29.851,366,366,575,447,0.82,26.513
1.191,4.604,0.0,46.5,0.013,0.388,0.859,7.12,7.12,29.819,356,356,700,509,0.835,25.617
1.046,4.585,0.0,52.5,0.015,0.491,0.876,6.8,6.8,29.862,340,340,691,288,0.802,27.93
0.8,5.303,0.0,105.6,0.015,0.503,0.874,7.0,7.0,29.867,350,350,594,245,0.812,27.929
0.623,0.635,0.0,3.5,0.014,0.419,0.855,6.78,6.78,29.835,339,339,641,489,0.795,25.668
0.991,3.188,0.0,58.75,0.015,0.47,0.866,6.68,6.68,29.852,334,334,794,341,0.8,28.6
1.476,7.611,0.0,87.933,0.015,0.455,0.869,6.68,6.68,29.851,334,334,807,329,0.8,28.468
1.49,10.619,0.0,124.0,0.013,0.349,0.868,7.46,7.46,29.839,373,373,563,494,0.848,25.228
0.536,0.524,0.0,2.5,0.014,0.411,0.87,7.16,7.16,29.818,358,358,603,365,0.84,26.49
1.304,8.098,0.0,109.0,0.014,0.475,0.861,7.24,7.24,29.83,362,362,618,355,0.825,26.735
2.477,13.613,0.0,140.075,0.015,0.493,0.881,6.98,6.98,29.845,349,349,654,293,0.833,28.087
0.953,4.0,0.0,75.0,0.014,0.41,0.87,6.98,6.98,29.796,349,349,674,337,0.81,27.614
1.58,9.775,0.0,129.083,0.014,0.412,0.875,7.08,7.08,29.81,354,354,705,459,0.828,26.745
0.91,3.869,0.0,54.5,0.014,0.448,0.872,6.88,6.88,29.84,344,344,680,352,0.833,27.09
0.718,2.52,0.0,35.75,0.013,0.375,0.852,7.42,7.42,29.83,371,371,417,523,0.83,24.009
1.528,7.567,0.0,89.0,0.014,0.479,0.87,7.1,7.1,29.849,355,355,661,311,0.812,27.743
0.711,0.739,0.0,4.75,0.015,0.5,0.884,6.76,6.76,29.847,338,338,873,269,0.807,29.558
2.951,16.941,0.0,143.0,0.014,0.439,0.878,7.24,7.24,29.812,362,362,695,368,0.825,27.921
2.27,13.386,0.0,130.0,0.013,0.369,0.873,7.26,7.26,29.846,363,363,765,532,0.825,26.48
0.665,0.987,0.0,13.0,0.014,0.436,0.874,7.2,7.2,29.82,360,360,607,382,0.838,26.394
0.801,4.199,0.0,83.5,0.014,0.452,0.866,7.04,7.04,29.839,352,352,635,322,0.815,27.167
0.617,0.719,0.0,6.786,0.015,0.446,0.865,7.04,7.04,29.83,352,352,592,356,0.848,26.913
0.859,2.931,0.0,34.167,0.014,0.405,0.865,7.16,7.16,29.838,358,358,641,417,0.807,26.004
1.443,6.975,0.0,102.5,0.015,0.483,0.867,7.04,7.04,29.818,352,352,635,288,0.8,27.259
1.002,4.101,0.0,53.045,0.015,0.509,0.872,7.0,7.0,29.814,350,350,697,273,0.85,28.586
0.655,0.787,0.0,7.25,0.015,0.49,0.877,6.94,6.94,29.813,347,347,762,256,0.772,29.133
0.649,1.471,0.0,19.5,0.013,0.345,0.87,7.48,7.48,29.81,374,374,551,439,0.84,25.96
1.725,12.189,0.0,141.5,0.015,0.503,0.862,6.6,6.6,29.806,330,330,732,270,0.805,29.22
0.778,2.8,0.0,53.5,0.014,0.437,0.861,7.28,7.28,29.82,364,364,481,326,0.815,27.062
0.679,1.687,0.0,32.0,0.014,0.449,0.88,7.3,7.3,29.849,365,365,657,366,0.855,27.54
5.309,23.089,0.0,182.0,0.015,0.491,0.872,7.04,7.04,29.837,352,352,640,306,0.812,27.789
1.064,4.776,0.0,58.5,0.014,0.442,0.877,7.06,7.06,29.856,353,353,538,328,0.84,27.279
0.69,0.724,0.0,4.5,0.015,0.481,0.872,6.78,6.78,29.842,339,339,829,337,0.81,29.145
0.887,3.644,0.0,69.583,0.013,0.378,0.864,7.2,7.2,29.818,360,360,572,425,0.812,25.943
1.229,3.834,0.0,59.25,0.013,0.374,0.872,7.12,7.12,29.845,356,356,890,520,0.82,26.682
0.946,2.853,0.0,39.25,0.013,0.377,0.859,6.68,6.68,29.852,334,334,721,419,0.795,26.603
0.664,1.844,0.0,25.5,0.014,0.413,0.853,7.16,7.16,29.795,358,358,466,451,0.84,25.281
0.651,0.598,0.0,3.0,0.013,0.342,0.872,7.2,7.2,29.836,360,360,685,530,0.815,25.738
0.992,5.295,0.0,101.5,0.014,0.44,0.871,6.96,6.96,29.84,348,348,600,357,0.81,27.094
0.903,6.488,0.0,129.25,0.013,0.354,0.859,6.94,6.94,29.837,347,347,564,451,0.805,25.763
1.041,5.417,0.0,104.0,0.015,0.465,0.87,6.84,6.84,29.829,342,342,690,322,0.843,28.076
0.766,4.577,0.0,91.0,0.015,0.49,0.868,6.9,6.9,29.844,345,345,565,287,0.833,27.386
1.307,6.007,0.0,70.75,0.015,0.46,0.878,7.04,7.04,29.863,352,352,702,317,0.83,28.133
0.667,2.098,0.0,40.75,0.015,0.464,0.87,7.24,7.24,29.842,362,362,573,313,0.818,27.459
0.905,3.477,0.0,35.5,0.013,0.383,0.879,7.36,7.36,29.82,368,368,607,423,0.853,26.245
1.212,5.155,0.0,43.25,0.014,0.404,0.868,7.08,7.08,29.836,354,354,613,420,0.833,26.938
1.622,8.116,0.0,70.75,0.014,0.415,0.873,7.28,7.28,29.853,364,364,585,341,0.823,26.647
1.18,5.8,0.0,66.344,0.015,0.435,0.854,6.72,6.72,29.821,336,336,601,351,0.833,27.08
1.054,6.278,0.0,89.0,0.014,0.423,0.871,7.18,7.18,29.844,359,359,623,344,0.858,27.678
1.383,8.642,0.0,156.5,0.014,0.414,0.872,7.4,7.4,29.832,370,370,540,424,0.833,26.692
0.824,2.254,0.0,42.75,0.014,0.46,0.873,7.22,7.22,29.821,361,361,790,353,0.835,27.925
0.962,5.488,0.0,98.0,0.014,0.451,0.87,7.0,7.0,29.831,350,350,570,341,0.83,26.924
0.654,0.794,0.0,5.0,0.014,0.361,0.867,7.2,7.2,29.825,360,360,514,408,0.815,26.17
0.671,0.742,0.0,5.5,0.015,0.48,0.87,7.04,7.04,29.844,352,352,623,373,0.833,27.956
1.014,5.203,0.0,72.5,0.013,0.409,0.864,7.18,7.18,29.848,359,359,533,444,0.835,25.873
