pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity,activity_false_negatives_num_max,activity_false_negatives_num_mean,activity_false_negatives_num_median,activity_false_negatives_num_min,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_std,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,activity_false_positives_num_max,activity_false_positives_num_mean,activity_false_positives_num_median,activity_false_positives_num_min,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_std,activity_false_positives_num_whishi,activity_false_positives_num_whislo,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_std,ignored_field_connections_ratio_mean,ignored_field_connections_ratio_median,ignored_field_connections_ratio_q1,ignored_field_connections_ratio_q3,ignored_field_connections_ratio_std,ignored_field_connections_ratio_whishi,ignored_field_connections_ratio_whislo,max_field_sizes,mean_field_activity_max,mean_field_activity_mean,mean_field_activity_median,mean_field_activity_min,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_std,mean_field_activity_whishi,mean_field_activity_whislo,num_fields_active_mean,num_fields_active_std,num_fields_total_mean,num_fields_total_std,perc_correct_fields_max,perc_correct_fields_mean,perc_correct_fields_median,perc_correct_fields_min,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_std,perc_correct_fields_whishi,perc_correct_fields_whislo,perc_unique_field_combinations_max,perc_unique_field_combinations_mean,perc_unique_field_combinations_median,perc_unique_field_combinations_min,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_std,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,pos_error_max_mean,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_mean,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
3.388,12.196,0.0,115.775,0.027,0.961,0.0,3.64,3.64,10.837,182.0,182.0,18725.85,0.1,0.558,26.986,1,0.1,0.0,0,0.0,0.0,0.3,0,0,18756,18725.85,18724.5,18694,18715.25,18743.0,18.502,18756,18694,10.837,0.015,3.64,0.154,3.64,0.154,0.0,0.0,0.0,0.0,0.0,0,0,11,0.028,0.027,0.027,0.026,0.027,0.027,0.0,0.028,0.027,182.0,7.701,182.0,7.701,0.978,0.961,0.967,0.911,0.953,0.972,0.016,0.978,0.941,0.602,0.558,0.555,0.525,0.542,0.574,0.021,0.602,0.525,115.775,6.378,3.388,3.108,1.751,2.46,4.049,1.232,6.378,1.751,0.0,21.482,12.196,12.072,5.254,8.275,15.851,4.992,21.482,5.254,26.986,26.982,26.954,27.02,0.046,27.078,26.895
3.648,14.221,0.0,129.338,0.027,0.961,0.0,3.801,3.801,11.837,190.05,190.05,18615.5,0.05,0.579,29.467,1,0.05,0.0,0,0.0,0.0,0.218,0,0,18654,18615.5,18620.0,18538,18608.0,18628.0,24.155,18654,18588,11.837,0.015,3.801,0.141,3.801,0.141,0.0,0.0,0.0,0.0,0.0,0,0,12,0.028,0.027,0.027,0.026,0.027,0.027,0.0,0.028,0.026,190.05,7.067,190.05,7.067,0.994,0.961,0.958,0.935,0.953,0.969,0.013,0.978,0.935,0.605,0.579,0.578,0.552,0.567,0.59,0.016,0.605,0.552,129.338,6.524,3.648,3.622,1.347,2.369,4.543,1.465,6.524,1.347,0.0,25.097,14.221,15.835,1.45,9.148,18.789,6.727,25.097,1.45,29.467,29.453,29.416,29.515,0.061,29.588,29.387
2.963,10.235,0.0,97.875,0.027,0.961,0.0,4.026,4.026,12.845,201.3,201.3,18500.65,0.0,0.609,31.934,0,0.0,0.0,0,0.0,0.0,0.0,0,0,18532,18500.65,18508.5,18452,18483.75,18519.75,23.863,18532,18452,12.845,0.018,4.026,0.191,4.026,0.191,0.0,0.0,0.0,0.0,0.0,0,0,13,0.028,0.027,0.027,0.026,0.027,0.027,0.0,0.028,0.026,201.3,9.561,201.3,9.561,0.984,0.961,0.961,0.945,0.953,0.966,0.01,0.984,0.945,0.65,0.609,0.609,0.572,0.592,0.625,0.02,0.65,0.572,97.875,6.1,2.963,2.414,1.357,1.874,3.606,1.367,6.1,1.357,0.0,23.579,10.235,9.481,2.104,4.444,13.692,6.181,23.579,2.104,31.934,31.935,31.86,31.996,0.077,32.069,31.819
2.763,10.696,0.0,103.5,0.027,0.969,0.0,4.206,4.206,13.84,210.3,210.3,18393.35,0.0,0.635,34.447,0,0.0,0.0,0,0.0,0.0,0.0,0,0,18425,18393.35,18399.0,18349,18371.75,18407.0,21.551,18425,18349,13.84,0.016,4.206,0.14,4.206,0.14,0.0,0.0,0.0,0.0,0.0,0,0,14,0.028,0.027,0.027,0.027,0.027,0.027,0.0,0.028,0.027,210.3,7.015,210.3,7.015,0.991,0.969,0.97,0.934,0.961,0.977,0.013,0.991,0.955,0.682,0.635,0.638,0.588,0.62,0.648,0.021,0.682,0.588,103.5,5.92,2.763,2.687,1.24,2.073,3.165,1.149,4.128,1.24,0.0,26.612,10.696,10.092,1.278,6.69,14.155,6.847,22.339,1.278,34.447,34.47,34.426,34.491,0.104,34.538,34.35
2.606,11.323,0.0,125.15,0.027,0.963,0.0,4.358,4.358,14.84,217.9,217.9,18296.6,0.0,0.646,36.954,0,0.0,0.0,0,0.0,0.0,0.0,0,0,18318,18296.6,18299.0,18250,18291.75,18304.0,13.537,18318,18285,14.84,0.015,4.358,0.177,4.358,0.177,0.0,0.0,0.0,0.0,0.0,0,0,15,0.028,0.027,0.027,0.027,0.027,0.027,0.0,0.028,0.027,217.9,8.826,217.9,8.826,0.986,0.963,0.966,0.94,0.954,0.971,0.013,0.986,0.94,0.675,0.646,0.641,0.615,0.639,0.655,0.015,0.675,0.615,125.15,4.35,2.606,2.483,1.086,1.911,3.304,0.878,4.35,1.086,0.0,18.756,11.323,11.206,0.999,6.869,16.696,5.763,18.756,0.999,36.954,36.947,36.915,36.986,0.061,37.058,36.851
2.474,9.034,0.0,98.062,0.027,0.971,0.0,4.534,4.534,15.84,226.7,226.7,18178.15,0.0,0.664,39.401,0,0.0,0.0,0,0.0,0.0,0.0,0,0,18206,18178.15,18185.0,18132,18175.0,18192.0,19.981,18206,18172,15.84,0.015,4.534,0.162,4.534,0.162,0.0,0.0,0.0,0.0,0.0,0,0,16,0.028,0.027,0.027,0.027,0.027,0.027,0.0,0.028,0.027,226.7,8.112,226.7,8.112,0.991,0.971,0.968,0.957,0.964,0.979,0.01,0.991,0.957,0.71,0.664,0.664,0.618,0.654,0.683,0.025,0.71,0.618,98.062,7.77,2.474,2.17,1.083,1.658,2.729,1.422,3.717,1.083,0.0,26.415,9.034,8.194,1.244,5.114,11.612,5.961,17.883,1.244,39.401,39.399,39.325,39.476,0.094,39.579,39.228
2.884,9.899,0.0,86.788,0.027,0.965,0.0,4.712,4.712,16.843,235.6,235.6,18074.75,0.05,0.678,41.899,1,0.05,0.0,0,0.0,0.0,0.218,0,0,18092,18074.75,18074.0,18045,18071.0,18083.25,12.401,18092,18053,16.843,0.018,4.712,0.149,4.712,0.149,0.0,0.0,0.0,0.0,0.0,0,0,17,0.028,0.027,0.027,0.027,0.027,0.027,0.0,0.028,0.027,235.6,7.446,235.6,7.446,0.98,0.965,0.966,0.946,0.958,0.972,0.009,0.98,0.946,0.705,0.678,0.682,0.635,0.672,0.692,0.019,0.705,0.648,86.788,8.286,2.884,1.586,1.166,1.435,3.695,2.041,6.707,1.166,0.0,31.525,9.899,6.006,1.184,2.571,15.708,9.022,31.525,1.184,41.899,41.91,41.82,41.982,0.105,42.097,41.675
2.092,7.206,0.0,82.538,0.027,0.966,0.0,4.859,4.859,17.835,242.95,242.95,17967.85,0.0,0.691,44.358,0,0.0,0.0,0,0.0,0.0,0.0,0,0,17988,17967.85,17972.0,17923,17962.75,17978.0,16.396,17988,17942,17.835,0.017,4.859,0.147,4.859,0.147,0.0,0.0,0.0,0.0,0.0,0,0,18,0.028,0.027,0.027,0.027,0.027,0.027,0.0,0.028,0.027,242.95,7.365,242.95,7.365,0.98,0.966,0.965,0.951,0.96,0.971,0.008,0.98,0.951,0.718,0.691,0.691,0.645,0.684,0.701,0.017,0.718,0.668,82.538,4.465,2.092,1.888,1.168,1.366,2.615,0.859,4.465,1.168,0.0,18.587,7.206,7.11,1.146,2.373,9.768,5.221,18.587,1.146,44.358,44.37,44.276,44.441,0.101,44.506,44.158
2.578,8.905,0.0,81.175,0.027,0.97,0.0,5.096,5.096,18.843,254.8,254.8,17855.95,0.0,0.709,46.833,0,0.0,0.0,0,0.0,0.0,0.0,0,0,17888,17855.95,17857.5,17821,17849.25,17864.25,16.206,17878,17837,18.843,0.017,5.096,0.172,5.096,0.172,0.0,0.0,0.0,0.0,0.0,0,0,19,0.028,0.027,0.027,0.027,0.027,0.028,0.0,0.028,0.027,254.8,8.612,254.8,8.612,0.988,0.97,0.969,0.957,0.963,0.977,0.009,0.988,0.957,0.735,0.709,0.711,0.678,0.697,0.72,0.016,0.735,0.678,81.175,5.85,2.578,2.215,1.129,1.681,2.877,1.293,4.308,1.129,0.0,22.825,8.905,7.067,1.095,3.884,13.299,6.395,22.825,1.095,46.833,46.849,46.779,46.883,0.096,46.963,46.708
2.138,7.376,0.0,77.412,0.028,0.972,0.0,5.159,5.159,19.837,257.95,257.95,17750.5,0.05,0.72,49.274,1,0.05,0.0,0,0.0,0.0,0.218,0,0,17778,17750.5,17757.0,17716,17745.25,17759.25,16.259,17778,17725,19.837,0.016,5.159,0.152,5.159,0.152,0.0,0.0,0.0,0.0,0.0,0,0,20,0.028,0.028,0.027,0.027,0.027,0.028,0.0,0.028,0.027,257.95,7.606,257.95,7.606,0.985,0.972,0.972,0.958,0.966,0.977,0.007,0.985,0.958,0.752,0.72,0.722,0.692,0.71,0.729,0.016,0.752,0.692,77.412,4.61,2.138,1.777,0.968,1.393,2.552,0.946,3.683,0.968,0.0,17.353,7.376,5.794,0.916,2.614,11.75,5.359,17.353,0.916,49.274,49.277,49.184,49.344,0.107,49.47,49.11
