pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
49.511,28.598,0.247,100.247,0.0,0.013,0.771,114.18,114.18,35.951,5709,5709,238,8029,1.0,21.818
49.587,28.728,0.108,102.892,0.0,0.015,0.772,114.1,114.1,35.955,5705,5705,228,8039,1.0,21.787
49.5,28.579,0.149,98.851,0.0,0.013,0.767,113.84,113.84,35.954,5692,5692,229,8015,1.0,21.781
49.526,28.625,0.04,101.04,0.0,0.016,0.771,113.62,113.62,35.944,5681,5681,237,8057,1.0,21.759
49.648,28.834,0.17,104.17,0.0,0.013,0.768,114.36,114.36,35.951,5718,5718,238,8114,1.0,21.778
49.521,28.615,0.206,100.794,0.0,0.013,0.769,114.14,114.14,35.957,5707,5707,235,8032,1.0,21.756
49.998,29.424,0.181,108.681,0.0,0.013,0.773,114.34,114.34,35.963,5717,5717,234,8067,1.0,21.766
49.603,28.757,0.224,103.276,0.0,0.015,0.77,113.64,113.64,35.957,5682,5682,244,8017,1.0,21.767
49.5,28.58,0.065,99.065,0.0,0.016,0.772,113.32,113.32,35.954,5666,5666,246,8039,1.0,21.82
49.537,28.644,0.025,101.475,0.0,0.013,0.772,113.58,113.58,35.956,5679,5679,238,8052,1.0,21.824
49.502,28.583,0.088,99.412,0.0,0.014,0.765,114.14,114.14,35.955,5707,5707,229,8045,1.0,21.787
49.76,29.024,0.079,105.921,0.0,0.015,0.773,113.62,113.62,35.959,5681,5681,248,7968,1.0,21.824
49.887,29.24,0.012,107.512,0.0,0.014,0.772,113.48,113.48,35.959,5674,5674,233,8005,1.0,21.78
49.511,28.598,0.247,100.253,0.0,0.015,0.77,114.22,114.22,35.952,5711,5711,242,8071,1.0,21.772
49.519,28.611,0.183,100.683,0.0,0.014,0.769,114.14,114.14,35.963,5707,5707,236,8057,1.0,21.757
49.607,28.763,0.152,103.348,0.0,0.015,0.768,113.3,113.3,35.955,5665,5665,239,8031,1.0,21.815
49.552,28.67,0.018,101.982,0.0,0.015,0.771,114.32,114.32,35.954,5716,5716,234,7988,1.0,21.837
49.667,28.867,0.009,104.509,0.0,0.014,0.77,113.5,113.5,35.963,5675,5675,242,8009,1.0,21.79
49.586,28.727,0.122,102.878,0.0,0.015,0.765,114.08,114.08,35.946,5704,5704,240,8056,1.0,21.76
49.737,28.985,0.098,105.598,0.0,0.015,0.766,113.92,113.92,35.962,5696,5696,242,7976,1.0,21.804
