pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
5.422,23.674,0.0,146.0,0.02,0.64,0,113.92,113.92,35.955,5696,5696,11392,345,1.0,80.488
4.846,22.393,0.0,119.75,0.019,0.632,0,113.56,113.56,35.954,5678,5678,11365,325,1.0,79.968
5.955,25.026,0.0,170.0,0.02,0.637,0,113.76,113.76,35.956,5688,5688,11296,331,1.0,80.271
5.414,24.25,0.0,176.5,0.019,0.629,0,114.74,114.74,35.957,5737,5737,11218,323,1.0,80.495
5.319,23.244,0.0,119.75,0.02,0.641,0,114.12,114.12,35.961,5706,5706,11312,348,1.0,80.49
5.508,23.871,0.0,119.75,0.02,0.646,0,113.98,113.98,35.956,5699,5699,11254,356,1.0,81.017
5.777,23.857,0.0,117.25,0.02,0.634,0,113.8,113.8,35.958,5690,5690,11197,360,1.0,81.097
5.905,24.777,0.0,152.0,0.02,0.639,0,113.94,113.94,35.95,5697,5697,11224,364,1.0,80.721
5.244,23.346,0.0,119.75,0.02,0.641,0,113.96,113.96,35.962,5698,5698,11299,378,1.0,80.599
5.861,25.01,0.0,170.5,0.02,0.641,0,114.1,114.1,35.962,5705,5705,11265,372,1.0,80.532
6.614,26.248,0.0,136.0,0.02,0.636,0,114.0,114.0,35.957,5700,5700,11175,354,1.0,80.863
5.346,23.49,0.0,119.75,0.02,0.639,0,114.06,114.06,35.96,5703,5703,11288,380,1.0,80.564
5.759,23.965,0.0,122.0,0.019,0.627,0,113.22,113.22,35.949,5661,5661,11276,351,1.0,80.333
5.572,24.182,0.0,119.75,0.02,0.639,0,113.46,113.46,35.959,5673,5673,11299,412,1.0,80.571
6.245,25.963,0.0,168.5,0.019,0.63,0,114.42,114.42,35.958,5721,5721,11227,357,1.0,80.575
5.736,24.505,0.0,152.0,0.02,0.646,0,113.68,113.68,35.955,5684,5684,11317,345,1.0,80.98
5.52,24.228,0.0,157.0,0.019,0.632,0,113.68,113.68,35.948,5684,5684,11271,372,1.0,80.297
5.753,24.166,0.0,127.0,0.019,0.623,0,114.4,114.4,35.956,5720,5720,11236,385,1.0,79.838
5.702,24.275,0.0,119.75,0.019,0.636,0,113.36,113.36,35.95,5668,5668,11270,367,1.0,80.182
5.147,22.707,0.0,119.75,0.02,0.637,0,113.8,113.8,35.961,5690,5690,11352,326,1.0,80.408
