pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total
50.498,52.327,0.0,177.0,0.011,0.342,7.32,29.84,366
32.486,48.49,0.0,180.0,0.016,0.473,7.1,29.861,355
41.204,51.065,0.0,167.0,0.013,0.408,7.06,29.805,353
40.731,47.871,0.0,163.0,0.018,0.571,6.94,29.822,347
29.069,39.604,0.0,165.25,0.013,0.371,7.0,29.859,350
42.662,39.432,0.0,150.5,0.013,0.378,6.94,29.832,347
29.959,35.499,0.0,137.5,0.011,0.334,7.24,29.831,362
32.09,45.759,0.0,176.0,0.016,0.477,6.92,29.811,346
24.799,43.75,0.0,187.75,0.015,0.433,7.02,29.844,351
33.344,32.535,0.0,105.25,0.014,0.408,6.96,29.838,348
27.432,40.286,0.0,147.5,0.012,0.364,6.98,29.831,349
37.515,41.803,0.0,176.5,0.009,0.283,7.42,29.846,371
55.302,64.813,0.0,181.75,0.011,0.324,7.28,29.824,364
26.86,41.503,0.0,166.5,0.016,0.48,7.16,29.843,358
57.402,58.003,0.0,182.5,0.012,0.355,7.04,29.875,352
51.43,50.638,0.0,160.25,0.012,0.353,7.3,29.864,365
57.642,47.27,0.0,161.75,0.01,0.284,7.46,29.87,373
47.744,38.534,0.0,132.0,0.009,0.234,7.34,29.846,367
36.01,45.238,0.0,146.5,0.013,0.414,7.58,29.849,379
32.628,52.3,0.0,159.75,0.014,0.46,7.18,29.852,359
