pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.787,0.737,0.0,5.5,0.011,0.218,0.759,6.32,6.32,50.432,316,316,448,1126,0.782,32.395
2.265,10.296,0.0,85.0,0.011,0.226,0.76,6.36,6.36,50.48,318,318,489,1151,0.825,32.052
0.919,0.883,0.0,5.5,0.011,0.282,0.759,6.24,6.24,50.244,312,312,464,1196,0.772,32.243
1.033,1.04,0.0,6.25,0.012,0.258,0.757,6.28,6.28,50.367,314,314,586,1049,0.787,34.617
0.883,0.781,0.0,5.75,0.01,0.188,0.759,6.48,6.48,50.428,324,324,366,1376,0.792,30.603
0.759,0.73,0.0,5.5,0.011,0.206,0.761,6.3,6.3,50.505,315,315,322,1107,0.792,31.424
1.248,6.924,0.0,138.1,0.011,0.24,0.761,6.26,6.26,50.458,313,313,425,1201,0.795,31.937
2.363,11.688,0.0,115.75,0.011,0.232,0.76,6.46,6.46,50.499,323,323,401,1354,0.777,30.583
1.015,1.858,0.0,30.95,0.011,0.252,0.76,6.34,6.34,50.411,317,317,391,1277,0.79,31.091
0.909,1.273,0.0,20.75,0.011,0.245,0.759,6.36,6.36,50.454,318,318,421,1121,0.79,32.03
1.503,7.224,0.0,124.25,0.011,0.268,0.759,6.34,6.34,50.403,317,317,429,1201,0.79,31.699
1.208,3.471,0.0,44.0,0.01,0.213,0.759,6.38,6.38,50.431,319,319,389,1315,0.787,30.513
0.917,0.94,0.0,5.25,0.011,0.259,0.76,6.48,6.48,50.405,324,324,460,1244,0.775,31.493
1.058,3.816,0.0,74.75,0.011,0.266,0.761,6.38,6.38,50.364,319,319,460,1190,0.78,31.971
0.723,0.642,0.0,4.0,0.01,0.176,0.759,6.7,6.7,50.514,335,335,291,1334,0.797,30.399
0.801,0.832,0.0,7.75,0.011,0.212,0.762,6.5,6.5,50.476,325,325,330,1252,0.78,31.188
1.199,4.724,0.0,54.719,0.01,0.173,0.759,6.7,6.7,50.365,335,335,323,1480,0.802,28.784
0.81,0.746,0.0,4.25,0.011,0.215,0.76,6.34,6.34,50.398,317,317,353,1302,0.775,30.864
0.761,0.72,0.0,4.25,0.01,0.209,0.76,6.6,6.6,50.444,330,330,394,1414,0.802,30.159
0.914,0.808,0.0,6.045,0.011,0.303,0.758,6.0,6.0,50.444,300,300,516,1165,0.782,33.251
0.92,0.896,0.0,6.5,0.011,0.23,0.762,6.44,6.44,50.369,322,322,475,1282,0.812,31.681
1.808,10.743,0.0,147.0,0.011,0.218,0.759,6.5,6.5,50.354,325,325,306,1235,0.782,31.027
1.323,5.657,0.0,57.75,0.011,0.253,0.761,6.32,6.32,50.455,316,316,437,1168,0.772,32.945
0.79,0.765,0.0,6.0,0.011,0.18,0.761,6.46,6.46,50.398,323,323,361,1241,0.81,30.263
1.199,6.403,0.0,127.25,0.012,0.241,0.76,6.22,6.22,50.483,311,311,490,1093,0.787,33.492
0.894,0.743,0.0,5.0,0.012,0.281,0.761,6.04,6.04,50.315,302,302,514,1170,0.777,33.865
0.848,0.958,0.0,12.8,0.01,0.221,0.762,6.52,6.52,50.411,326,326,335,1367,0.755,30.008
0.899,1.928,0.0,22.25,0.011,0.202,0.759,6.64,6.64,50.434,332,332,343,1260,0.797,30.056
1.03,4.634,0.0,92.0,0.011,0.214,0.761,6.54,6.54,50.329,327,327,406,1371,0.79,30.191
0.786,0.703,0.0,5.75,0.011,0.212,0.762,6.4,6.4,50.314,320,320,342,1279,0.805,30.661
0.798,0.898,0.0,6.0,0.011,0.245,0.762,6.38,6.38,50.501,319,319,344,1165,0.787,32.337
0.958,1.122,0.0,9.75,0.01,0.199,0.76,6.52,6.52,50.502,326,326,424,1298,0.805,31.141
0.899,0.806,0.0,4.75,0.011,0.208,0.761,6.54,6.54,50.44,327,327,452,1308,0.802,31.975
0.86,0.852,0.0,5.5,0.011,0.249,0.759,6.18,6.18,50.247,309,309,518,1082,0.82,32.422
0.902,0.902,0.0,5.0,0.011,0.232,0.759,6.38,6.38,50.461,319,319,385,1336,0.802,31.207
0.82,0.726,0.0,4.0,0.011,0.239,0.762,6.36,6.36,50.344,318,318,469,1306,0.805,31.739
1.545,9.165,0.0,107.25,0.011,0.242,0.761,6.36,6.36,50.355,318,318,353,1118,0.812,32.404
1.201,8.869,0.0,177.0,0.011,0.239,0.761,6.2,6.2,50.412,310,310,424,1172,0.77,32.1
1.35,4.384,0.0,71.75,0.011,0.224,0.758,6.34,6.34,50.39,317,317,499,1213,0.777,32.23
0.86,1.215,0.0,15.409,0.011,0.214,0.761,6.18,6.18,50.437,309,309,430,1241,0.8,32.589
0.95,1.545,0.0,24.889,0.01,0.218,0.761,6.5,6.5,50.442,325,325,382,1420,0.8,29.574
1.182,5.345,0.0,68.4,0.011,0.226,0.761,6.36,6.36,50.38,318,318,436,1163,0.77,32.077
1.357,4.734,0.0,54.5,0.011,0.217,0.759,6.44,6.44,50.52,322,322,455,1268,0.772,31.216
0.828,0.734,0.0,4.0,0.011,0.192,0.76,6.36,6.36,50.41,318,318,346,1272,0.787,30.304
0.83,0.804,0.0,3.75,0.011,0.207,0.76,6.48,6.48,50.412,324,324,382,1197,0.802,31.199
0.881,0.894,0.0,4.5,0.011,0.199,0.762,6.44,6.44,50.448,322,322,471,1249,0.802,31.642
0.811,0.764,0.0,5.25,0.011,0.223,0.759,6.28,6.28,50.44,314,314,496,1056,0.785,32.963
0.902,0.904,0.0,6.5,0.011,0.241,0.76,6.38,6.38,50.475,319,319,532,1307,0.79,31.868
0.996,1.2,0.0,8.0,0.011,0.222,0.759,6.32,6.32,50.369,316,316,461,1122,0.76,32.624
0.786,1.041,0.0,7.5,0.01,0.177,0.76,6.78,6.78,50.427,339,339,283,1561,0.825,27.912
0.843,0.876,0.0,5.25,0.011,0.224,0.759,6.34,6.34,50.461,317,317,416,1189,0.79,31.371
0.688,0.591,0.0,3.25,0.011,0.225,0.762,6.5,6.5,50.373,325,325,370,1279,0.8,31.212
1.016,2.647,0.0,36.5,0.011,0.222,0.761,6.4,6.4,50.395,320,320,438,1353,0.792,30.609
0.804,0.667,0.0,4.5,0.011,0.242,0.76,6.44,6.44,50.32,322,322,416,1205,0.797,32.226
0.915,0.875,0.0,7.0,0.011,0.223,0.758,6.54,6.54,50.471,327,327,448,1238,0.823,32.642
0.755,0.676,0.0,4.5,0.01,0.173,0.759,6.7,6.7,50.396,335,335,336,1488,0.8,28.913
1.031,1.158,0.0,8.25,0.011,0.215,0.761,6.32,6.32,50.423,316,316,462,1260,0.79,30.915
0.821,1.035,0.0,15.833,0.011,0.227,0.76,6.52,6.52,50.273,326,326,456,1056,0.843,32.826
0.924,1.062,0.0,15.385,0.011,0.254,0.762,6.38,6.38,50.379,319,319,689,1156,0.797,33.674
0.89,0.94,0.0,5.5,0.011,0.207,0.758,6.58,6.58,50.458,329,329,412,1287,0.79,30.516
0.858,1.014,0.0,7.5,0.01,0.178,0.757,6.64,6.64,50.4,332,332,358,1392,0.795,29.896
1.072,3.24,0.0,45.5,0.011,0.239,0.759,6.12,6.12,50.474,306,306,444,1183,0.777,32.043
2.032,12.182,0.0,168.0,0.011,0.325,0.76,6.28,6.28,50.481,314,314,604,1152,0.775,33.565
0.892,0.877,0.0,5.25,0.01,0.169,0.759,6.52,6.52,50.467,326,326,375,1465,0.79,29.313
0.726,1.057,0.0,13.5,0.011,0.192,0.759,6.46,6.46,50.363,323,323,343,1222,0.797,31.161
0.836,0.835,0.0,5.0,0.01,0.172,0.761,6.62,6.62,50.466,331,331,367,1355,0.812,29.923
0.904,1.081,0.0,8.5,0.011,0.258,0.761,6.2,6.2,50.353,310,310,451,1063,0.8,32.588
1.347,8.929,0.0,178.0,0.011,0.238,0.759,6.3,6.3,50.464,315,315,450,1264,0.787,31.998
0.712,0.732,0.0,5.5,0.011,0.223,0.76,6.56,6.56,50.29,328,328,355,1147,0.797,32.002
