pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.919
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.92
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.92
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.92
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.918
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.921
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.919
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.922
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.917
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.921
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.918
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.924
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.917
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.918
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.923
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.921
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.915
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.913
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.923
0.995,0.559,0.25,1.75,0.04,1.0,1.0,1.0,4.0,50.0,50.0,19600,0,0.125,1028.918
